[Normal Axes]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
shields_rendguard_of_carnage|Rendguard of Carnage|Carnagen rendguard|Escudo Estraçalhador da Carnificina|Страж кровавой бойни|屠殺護衛|大虐殺のレンドガード|학살의 렌드가드 (Rendguard of Carnage)|Schnittwächter des Gemetzels|Garde de Carnage|Guardia Desgarradora de la Masacre|Strażnik Rozdarcia Rzezi
shields_spellbinders_magebarrier|Spellbinder's Magebarrier|Spellbinderin Magebarrier|Barreira Mágica do Encantador|Магический барьер Чародея|縛法者的魔法屏障|スペルバインダーのメイジバリア|주문 결속자의 마법 장벽 (Spellbinder's Magebarrier)|Magierbarriere des Zauberbinders|Déflecteur magique de l'ensorceleur|Barrera Mágica del Hechicero|Bariera Maga Zaklinacza
shields_gabriels_unholy_oath|Gabriel's Unholy Oath|Gabrielin epäpyhä vala|Juramento Profano de Gabriel|Нечестивая клятва Габриэля|加百列的邪惡誓言|ガブリエルの不浄なる誓い|가브리엘의 불경한 서약 (Gabriel's Unholy Oath)|Gabriels Unheiliger Eid|Le serment impie de Gabriel|Juramento Profano de Gabriel|Nieświęta Przysięga Gabriela
shields_fallen_gladiators_shield|Pit Ravager's Cetratus|Pit Ravagerin Cetratus|Cetratus do Devorador de Poços|Цетратус Разрушителя Ям |深淵掠奪者之皮盾|ピット・ラヴェジャーのケトラタス |피트 파괴자의 세트라투스 (Pit Ravager's Cetratus)|Cetratus des Grubenverwüsters|Cetratus du Ravageur des Fosse |Cetratus del Devastador del Foso|Cetratus Pit Ravagera
shields_suomi_finland_suatana|SUOMI FINLAND SUATANA|SUOMI FINLAND SUATANA |FINLÂNDIA SATANÁS |ФИНЛЯНДИЯ САТАНА |蘇米·芬蘭·蘇阿塔納 |フィンランドのサタン |수오미 핀란드 수아타나 (SUOMI FINLAND SUATANA)|FINNLAND SATAN|FINLANDE SATAN |SUOMI FINLAND SUATANA|SUOMI FINLAND SUATANA
shields_shadow_lantern|Shadow Lantern|Varjolyhty|Lanterna das Sombras |Теневой фонарь |暗影燈籠 |シャドウランタン|그림자 랜턴 (Shadow Lantern)|Schattenlaterne|Lanterne d'ombre |Linterna de sombra |Latarnia Cieni
shields_the_event_horizon|The Event Horizon|The Event Horizon|El horizonte de eventos |Горизонт событий |事件視界 |イベントの地平線 |이벤트 호라이즌 (The Event Horizon) |Der Ereignishorizont|L'horizon de l'événement |El horizonte de eventos |Horyzont Zdarzeń
shields_meowgis_bulwark|Meowgi´s Bulwark||Baluarte de Meowgi|Оплот Мяуги|喵吉壁壘|ミャウギの防壁|먀우기의 방벽|Meowgis Bollwerk|Rempart de Meowgi|Baluarte de Meowgi|Bastion Meowgiego
shields_overgrowth|Overgrowth||Supercrescimento |Разрастание|蔓生|過剰成長 |과성장|Überwucherung |Prolifération |Crecimiento Descontrolado|Rozrost
|||||||||||
lore_shields_hallgars_blood_forged|Amidst the heavens' mountain, Saint Hallgar faced demons, turning a last stand into a defiant triumph. Forged from their blood, the Bloodforged Aegis of Hallgar symbolizes courage, guarding against darkness, inspiring hope, and ensuring virtue prevails.|Keskellä taivaan vuorta Saint Hallgar kohtasi demonit ja muutti viimeisen kannan uhmakkaaksi voitoksi. Heidän verestään taottu Bloodforged Aegis of Hallgar symboloi rohkeutta, pimeydeltä suojaamista, toivon inspiroimista ja hyveen voiton varmistamista.|Em meio à montanha dos céus, St. Hallgar enfrentou demônios, transformando uma última resistência em um triunfo desafiador. Forjada com seu sangue, a Égide Forjada em Sangue de Hallgar simboliza a coragem, protegendo contra a escuridão, inspirando esperança e garantindo que a virtude prevaleça.|Посреди небесной горы Святой Халлгар столкнулся лицом к лицу с демонами, превратив последнюю битву в дерзкий триумф. Выкованная из их крови, Выкованная Кровью Эгида Халлгара символизирует мужество, защиту от тьмы, вселяющую надежду и обеспечивающую торжество добродетели.|天山之中, 聖人哈爾加面對惡魔, 最後的抵抗變成了反抗的勝利. 由他們的鮮血鑄造而成的哈爾加血鑄神盾, 象徵勇氣、抵禦黑暗、  激發希望並確保美德盛行|天の山の中、聖ハルガーは悪魔に立ち向かい、最後の抵抗を果敢な勝利へと変えた。彼らの血から鍛え上げられたハルガーの血の盾は、勇気、闇からの守り、希望の鼓舞、そして美徳の勝利を象徴する。|천상의 산맥 한가운데서, 성자 할가르는 악마들에 맞섰고, 최후의 저항을 불굴의 승리로 바꾸어냈습니다. 그들의 피로 단련된 할가르의 블러드포지드 이지스는 용기의 상징이 되었으며, 어둠을 물리치고 희망을 불러일으키며, 미덕이 승리하도록 지켜줍니다.|Inmitten des Himmelsgebirges stellte sich der Heilige Hallgar Dämonen und verwandelte einen letzten Widerstand in einen trotzigen Triumph. Aus ihrem Blut geschmiedet, symbolisiert die blutgeschmiedete Aegis von Hallgar Mut, schützt vor der Dunkelheit, weckt Hoffnung und stellt sicher, dass die Tugend siegt.|Au milieu de la montagne céleste, St. Hallgar a affronté les démons, transformant un dernier combat en un triomphe provocateur. Forgée à partir de son sang, l'égide sanglante d'Hallgar symbolise le courage, la protection contre la noirceur des ténèbres, l'inspiration de l'espoir et la victoire de la vertu.|En medio de la montaña celestial, San Hallgar se enfrentó a los demonios, convirtiendo una última defensa en un triunfo desafiante. Forjada con su sangre, la Égida Forjada en Sangre de Hallgar simboliza el coraje, protegiendo contra la oscuridad, inspirando esperanza y asegurando que la virtud prevalezca.|Pośród gór niebios św. Hallgar stanął twarzą w twarz z demonami, zamieniając ostatni bastion w zwycięstwo w oporze. Wykuta z ich krwi, Krwawa Aegida Hallgara symbolizuje odwagę, chroniąc przed ciemnością, inspirując nadzieję i zapewniając, że cnota zwycięży.
lore_shields_tomis_vibrant_aura|The shield's power is not without its trials. Its vibrant aura is tied to the wielder's heart and resolve. In moments of doubt or fear, the aura would dim, and the shield's protective capabilities wane. Only through unwavering faith in the cause of justice and a steadfast commitment to protecting the innocent could the shield unleash its full potential.|Kilven voima ei ole ilman koettelemuksia. Sen eloisa aura on sidottu hoitajan sydämeen ja päättäväisyyteen. Epäilyn tai pelon hetkinä aura himmenee ja kilven suojaavat ominaisuudet heikkenevät. Ainoastaan ​​horjumattoman uskon avulla oikeudenmukaisuuteen ja vankkumattoman sitoutumisen kautta viattomien suojelemiseen, kilpi saattoi vapauttaa täyden potentiaalinsa.|O poder do escudo tem suas dificuldades. Sua aura vibrante está ligada ao coração e à determinação do portador. Em momentos de dúvida ou medo, a aura se enfraquece e a capacidade de proteção do escudo diminui. Somente por meio de uma fé inabalável de proteger os inocentes é que o escudo poderia liberar todo o seu potencial.|"Сила щита не обходится без испытаний. Его яркая аура связана с сердцем и решимостью владельца. В моменты сомнений или страха аура тускнеет, и защитные возможности щита ослабевают. Только благодаря непоколебимой вере в дело правосудия и непоколебимой приверженности делу защиты невинных ""щит"" мог полностью раскрыть свой потенциал."|盾牌的力量並非沒有經過考驗. 其充滿活力的光環與持有者的內心和決心息息相關. 在懷疑或恐懼的時刻, 光環會變暗, 護盾的保護能力也會減弱. 只有透過對正義事業堅定不移的信念和對保護無辜者的堅定承諾, 盾牌才能充分發揮其潛力|盾の力には試練が伴う。その鮮やかなオーラは、持ち主の心と決意に結びついている。疑念や恐怖に駆られた瞬間、オーラは薄れ、盾の防御力も弱まる。揺るぎない正義への信仰と、罪なき者を守るという揺るぎない決意によってのみ、盾はその真の力を発揮することができるのだ。|이 방패의 힘은 시련 없이는 발휘되지 않습니다. 그 찬란한 오라는 착용자의 마음과 결의에 연결되어 있습니다. 의심이나 두려움이 드리우는 순간, 오라는 빛을 잃고 방패의 보호력은 약화됩니다. 정의를 향한 흔들림 없는 믿음과 무고한 자를 지키겠다는 굳건한 헌신을 통해서만, 이 방패는 진정한 힘을 발휘할 수 있습니다.|Die Macht des Schildes ist nicht ohne Prüfungen. Seine lebendige Aura ist eng mit dem Herzen und der Entschlossenheit des Trägers verbunden. In Momenten des Zweifels oder der Angst verdunkelte sich die Aura, und die Schutzwirkung des Schildes schwand. Nur durch unerschütterlichen Glauben an die Sache der Gerechtigkeit und den unerschütterlichen Einsatz für den Schutz der Unschuldigen konnte der Schild sein volles Potenzial entfalten.|Le pouvoir du bouclier n'est pas exempt de défauts. Son aura vibrante est liée au cœur et à la détermination de son porteur. Dans les moments de doute ou de peur, l'aura s'estompe et les capacités protectrices du bouclier s'amenuisent. Seule une foi inébranlable en la cause de la justice et une volonté sans faille de protéger les innocents permettent au bouclier de déployer tout son potentiel.|El poder del escudo tiene sus pruebas. Su aura vibrante está ligada al corazón y la resolución de su portador. En momentos de duda o miedo, el aura se atenuaría y las capacidades protectoras del escudo menguarían. Solo a través de una fe inquebrantable en la causa de la justicia y un compromiso firme de proteger a los inocentes podría el escudo desatar todo su potencial.|Moc tarczy nie jest pozbawiona prób. Jej żywa aura jest związana z sercem i determinacją dzierżącego. W chwilach wątpliwości lub strachu aura przygasa, a ochronne możliwości tarczy słabną. Tylko dzięki niezachwianej wierze w sprawę sprawiedliwości i niezłomnemu zobowiązaniu do ochrony niewinnych tarcza mogła uwolnić swój pełny potencjał.
lore_shields_shield_of_abyss|From the abyss they rise and go against everything pure. Trust no-one, as the abyss is unforgiving.|Syvyydestä he nousevat ja käyvät kaikkea puhdasta vastaan. Älä luota kehenkään, sillä kuilu on anteeksiantamaton.|Do abismo, eles se erguem e vão contra tudo o que é puro. Não confie em ninguém, pois o abismo é implacável.|Из бездны они поднимаются и идут против всего чистого. Никому не доверяй, поскольку бездна не прощает.|他們從深淵中升起並反對一切純粹的事物. 不要相信任何人, 因為深淵是無情的|彼らは深淵から立ち上がり、清らかなものすべてに抗う。誰も信じてはならない。深淵は容赦ない。|심연에서 솟아오른 그들은 순수한 모든 것에 반하여 움직입니다. 심연은 용서하지 않으니, 그 누구도 믿지 마십시오.|Aus dem Abgrund erheben sie sich und stellen sich gegen alles Reine. Traue niemandem, denn der Abgrund ist unversöhnlich.|Ils surgissent des abysses et vont à l'encontre de tout ce qui est pur. Ne faites confiance à personne, car l'abîme ne pardonne pas.|Desde el abismo se alzan y van en contra de todo lo puro. No confíes en nadie, pues el abismo es implacable.|Z otchłani powstają i idą przeciwko wszystkiemu, co czyste. Nie ufaj nikomu, ponieważ otchłań jest bezlitosna.
lore_shields_defenders_justice|A fine shield for those who do not live for vain reasons but for the well of others.|Hieno kilpi niille, jotka eivät elä turhasta syystä vaan toisten parhaaksi.|Um belo escudo para aqueles que não vivem por razões vãs, mas para o bem dos outros.|Прекрасный щит для тех, кто живет не ради тщеславия, а ради блага других.|對於那些不為徒勞的理由而生活, 而是為了他人的利益而生活的人來說, 這是一個很好的盾牌|虚しい目的のためではなく、他者の幸福のために生きる者にとって、これは素晴らしい盾である。|이 방패는 헛된 명예가 아니라 타인의 안녕을 위해 살아가는 이들에게 잘 어울립니다.|Ein edler Schild für diejenigen, die nicht aus eitlen Gründen, sondern zum Wohle anderer leben.|Un beau bouclier pour ceux qui ne vivent pas pour de vaniteuses raisons mais pour le bien d'autrui.|Un buen escudo para aquellos que no viven por razones vanas, sino por el bien de los demás.|Dobra tarcza dla tych, którzy nie żyją dla próżnych powodów, lecz dla dobra innych.
lore_shields_celestials_authority|From high up, the celestials guard the mortals with the authority of infinite knowledge of the cosmos.|Taivaalliset suojelevat kuolevaisia ​​korkealta ylhäältä käsin, jolla on loputon kosmoksen tiedon auktoriteetti.|Do alto, os celestiais protegem os mortais com a autoridade do conhecimento infinito dos cosmos.|С высоты небожители охраняют смертных властью бесконечного знания космоса.|天神們從高處以宇宙無限知識的權威守護著凡人|天界の者たちは、宇宙の無限の知識という権威をもって、高みから人間たちを守っている。|높은 하늘 위에서, 셀레스티얼들은 무한한 우주 지식의 권능으로 필멸자들을 수호합니다.|Von hoch oben beschützen die Himmlischen die Sterblichen mit der Autorität ihres unendlichen Wissens über den Kosmos.|Depuis les hauteurs, les célestes veillent sur les mortels avec l'autorité d'une connaissance infinie du cosmos.|Desde lo alto, los celestiales protegen a los mortales con la autoridad del conocimiento infinito del cosmos.|Z wysoka, niebiańscy strzegą śmiertelników autorytetem nieskończonej wiedzy kosmosu.
lore_shields_fallen_gladiators_shield|As he took his last stand against a thousand swords and blades, he contributes the legacy to those who wield this Shield.|Kun hän otti viimeisen kantansa tuhansia miekoja ja teriä vastaan, hän lahjoittaa perinnön niille, jotka käyttävät tätä kilpeä. |Em sua última luta contra milhares de espadas e lâminas, ele contribui com o legado para aqueles que empunham esse Escudo.|Приняв последний бой против тысячи мечей и клинков, он оставил свой след тем, кто владеет этим Щитом. |當他與一千把劍和刀片進行最後的抵抗時, 他將遺產貢獻給那些揮舞著這面盾牌的人 |千の剣と刃に最後の抵抗を挑み、彼はこの盾を振るう者たちにその遺産を託した。 |수천의 검과 칼날 앞에서 최후의 결전을 벌이며, 그는 이 방패를 쥐는 자에게 자신의 유산을 전했습니다.|Da er seinen letzten Kampf gegen tausend Schwerter und Klingen führte, hinterlässt er sein Vermächtnis denen, die diesen Schild führen.||Al tomar su última posición contra mil espadas y filos, él contribuye con el legado a aquellos que empuñan este Escudo.|Gdy stawiał swój ostatni bastion przeciwko tysiącu mieczy i kling, przekazuje dziedzictwo tym, którzy dzierżą tę Tarczę.
lore_shields_shadow_lantern|A dimm light piercing through the shadows..||Uma luz fraca atravessando as sombras. |Сквозь тени пробивается тусклый свет. |昏暗的光線穿透了陰影.. |薄暗い光が影を突き抜ける..|어둠을 꿰뚫는 희미한 빛..|Ein schwaches Licht dringt durch die Schatten.|Une faible lumière perçant les ombres. |Una luz tenue que atraviesa las sombras. |Słabe światło przebijające się przez cienie..
lore_shields_the_event_horizon|Powerful forces around this ethereal shield bend the space and time..||Forças poderosas ao redor desse escudo etéreo distorcem o espaço e o tempo. |Мощные силы, окружающие этот эфирный щит, искажают пространство и время. |這層縹緲的護盾周圍蘊藏著強大的力量，它扭曲著時空  |この幽玄な盾の周囲には、空間と時間を歪める強力な力が働いている。 |이 신비로운 방패를 둘러싼 강력한 힘들이 시공간을 휘게 한다. |Gewaltige Kräfte um diesen ätherischen Schutzschild herum verzerren Raum und Zeit.|Des forces puissantes entourant ce bouclier éthéré courbent l'espace-temps... |Poderosas fuerzas que rodean este escudo etéreo distorsionan el espacio y el tiempo. |Potężne siły wokół tej eterycznej tarczy zakrzywiają przestrzeń i czas..
lore_shields_overgrowth|The cells are alive, constantly multiplying and refusing to die..||As células estão vivas, multiplicando-se constantemente e recusando-se a morrer...|Клетки живы, они постоянно размножаются и отказываются умирать.|細胞充滿著生機，不斷增殖且絕不消亡……|細胞は活きており、絶え間なく増殖し死を拒む……|세포가 살아서 끊임없이 증식하며 죽기를 거부한다…|Die Zellen leben, vermehren sich unaufhörlich und weigern sich zu sterben ...|Les cellules sont vivantes, se multipliant sans cesse et refusant de mourir...|Las células están vivas, multiplicándose constantemente y negándose a morir.|Komórki żyją, nieustannie się mnożąc i nie dając uśmiercić...
|||||||||||
[rings]|||||||||||
rings_normal_bronze_ring|Bronze Ring|Pronssisormus|Anel de Bronze|Бронзовое Кольцо|青銅戒指|ブロンズリング|청동 반지 (Bronze Ring)|Bronzering|Anneau de bronze|Anillo de Bronce|Brązowy Pierścień
rings_normal_iron_ring|Iron Ring|Rautarengas|Anel de Ferro|Железное Кольцо|鐵戒指|アイアンリング|철 반지 (Iron Ring)|Eisenring|Anneau de fer|Anillo de Hierro|Żelazny Pierścień
rings_normal_ring|Ring|Rengas|Anel|Кольцо|戒指|リング|반지 (Ring)|Ring|Anneau|Anillo|Pierścień
rings_normal_socketed_ring|Socket Ring|Pistorasian rengas|Anel de Encaixe|Кольцо с гнездом|鑲孔戒指|ソケットリング|소켓 반지 (Socket Ring)|Fassungsring|Anneau à douille|Anillo con Ranura|Pierścień z Gniazdem
rings_normal_primal_ring|Primal Ring|Alkuperäinen sormus|Anel Primordial|Первичное кольцо|原始戒指|プライマルリング|원시 반지 (Primal Ring)|Urring|Anneau primordial|Anillo Primal|Pierścień Prymitywny
rings_normal_golden_ring|Golden Ring|Kultainen sormus |Anel de Ouro |Золотое кольцо |黃金戒指 |ゴールデンリング |황금 반지 (Golden Ring)|Goldring|Anneau d'or |Anillo de Oro|Złoty Pierścień
|||||||||||
[rings_unique]|||||||||||
rings_ras_band|Ra's Band|Ran Nauha|Anel de Ra|Группа Ра|拉的戒指|ラーのバンド|라의 반지 (Ra's Band)|Ras Band|Bandeau de Râ|Banda de Ra|Opaska Ra
rings_molten_ring|Molten Ring|Sulanut sormus|Anel Fundido|Расплавленное Кольцо|熔岩戒指|モルテンリング|용암 반지 (Molten Ring)|Geschmolzener Ring|Anneau en fusion|Anillo de Magma|Stopiony Pierścień
rings_dragonsteel_ring|Dragonsteel Ring|Lohikäärmeterässormus|Anel de Aço de Dragão|Кольцо из Драконьей Стали|龍鋼戒|ドラゴンスチールリング|드래곤강철 반지 (Dragonsteel Ring)|Drachenstahlring|Anneau de ferdragon|Anillo de Acero de Dragón|Smoczy Stalowy Pierścień
rings_stone_of_jordan|Stone of Premonition|Ennakon kivi |Pedra da Premonição|Камень Предчувствия|徵兆之石|予感の石 |예지의 돌 (Stone of Premonition)|Stein der Vorahnung|Pierre de prémonition|Piedra de la Premonición|Kamień Przepowiedni
rings_khodos_wedding_band|Khodo's Wedding Band|Khodon Vihkisormus|Aliança de Casamento de Khodo|Обручальное кольцо Ходо|科多的婚戒|コドのウェディングバンド|코도의 결혼 반지 (Khodo's Wedding Band)|Khodos Ehering|L'alliance de Khodo|Anillo de Bodas de Khodo|Ślubna Obrączka Khodo
rings_demon_eye_ring|Demon Eye Ring|Pirunsilmäsormus|Anel de Olho de Demônio|Кольцо с Глазом Демона|惡魔之眼戒指|悪魔の目のリング|악마의 눈 반지 (Demon Eye Ring)|Dämonenaugenring|Anneau d'oeil de démon|Anillo del Ojo de Demonio|Pierścień Oka Demona
rings_satanic_eye|Satanic Eye|Saatanallinen Silmä|Olho Satânico|Сатанинский Глаз|撒旦之眼|魔王の目|사탄 눈 (Satanic Eye)|Satanisches Auge|Oeil satanique|Ojo Satánico|Sataniczne Oko
rings_giants_band_of_strength|Giant's Band of Strength|Jättiläisen Voimasormus|Anel de Força do Gigante|Полоса силы гиганта|巨人力量指環|ジャイアントの強さのバンド|거인의 힘의 반지 (Giant's Band of Strength)|Riesenband der Stärke|Anneau de force du géant|Banda de Fuerza del Gigante|Opaska Giganta Siły
rings_iron_ring_of_prometeus|Iron Ring of Prometheus|Prometheuksen rautarengas|Anel de Ferro de Prometeus|Железное кольцо Прометея|普羅米修斯的鐵環|プロメテウスの鉄輪|프로메테우스의 철 반지 (Iron Ring of Prometheus)|Eiserner Ring des Prometheus|Anneau de fer de Prométhée|Anillo de Hierro de Prometeo|Żelazny Pierścień Prometeusza
rings_devlins_eternal_grace|St. Aaron's Eternal Rage|Pyhän Aaronin ikuinen raivo|Raiva Eterna de St. Aaron|Вечный гнев святого Аарона|聖亞倫的永恆憤怒|聖アーロンの永遠の怒り|성 아론의 영원한 분노 (St. Aaron's Eternal Rage)|St. Aarons Ewige Wut|Rage éternelle de St. Aaron|Ira Eterna de San Aarón|Wieczna Furia św. Aarona
rings_elven_grace|Elven Grace|Haltia Grace |Graça dos Elfos|Эльфийская Грация|精靈恩典|エルフの恵み |엘븐 그레이스 (Elven Grace)|Elfengnade|Grâce elfique|Gracia Élfica|Elfi Grace
rings_quickening_zephyr|Quickening Zephyr|Pikavauhtia Zephyr|Zéfiro Acelerado|Оживляющий Зефир|加速微風|クイックニングゼファー|빠른 제피르 (Quickening Zephyr)|Beschleunigender Zephyr|Zéphyr vivifiant|Céfiro Acelerador|Szybki Zefir
rings_mana_benders_will|Mana Bender's Will|Mana Benderin tahto|Vontade do Dobrador de Mana|Воля Маны Бендер|瑪娜班德的意志|マナベンダーの意志|마나 벤더의 의지 (Mana Bender's Will)|Manabeugers Wille|Volonté du façonneur de mana|Voluntad del Doblador de Maná|Wola Zaklinacza Many
rings_tectonic_frequency|Tectonic Frequency|Techtonic Frequency|Frequência Tectônica|Тектоническая Частота|科技頻率|テクトニック周波数|지각 주파수 (Tectonic Frequency)|Tektonische Frequenz|Fréquence tectonique|Frecuencia Tectónica|Tektoniczna Częstotliwość
rings_fury_of_tarethiel|Fury of Tarethiel|Tarethielin raivo|Fúria de Tarethiel|Ярость Таретиэля|塔雷希爾之怒|フューリーオブタレシエル|타레시엘의 분노 (Fury of Tarethiel)|Wut von Tarethiel|Courroux de Tarethiel|Furia de Tarethiel|Furia Tarethiela
rings_absence_of_constraint|The Absence of Constraint|The Absence of Constraint|A Ausência de Restrições|Отсутствие ограничений|無拘之處|束縛の不在|구속의 부재 (The Absence of Constraint)|Die Abwesenheit von Zwang|Absence de contrainte|La Ausencia de Restricción|Brak Ograniczeń
rings_mark_of_ferocity|Mark of Ferocity|Mark of Ferocity|Marca da Ferocidade|Знак Свирепости|兇猛印記|獰猛さの印|맹렬함의 표식 (Mark of Ferocity)|Zeichen der Wildheit|Marque de férocité|Marca de la Ferocidad|Znak Dzikości
rings_sanguine_bloodstone|Sanguine Bloodstone|Sanguine Bloodstone|Pedra de Sangue|Сангвинический Кровавик|紅潤血石|サンギュイン・ブラッドストーン|선혈의 혈석 (Sanguine Bloodstone)|Blutstein|Pierre de sang|Piedra de Sangre Sanguina|Sanguinowy Kamień Krwi
rings_archers_story|Archer's Story|Jousiampujan Tarina|História do Arqueiro|История Арчера|弓箭手的故事|アーチャーの物語|아쳐의 이야기 (Archer's Story)|Geschichte des Bogenschützen|Récit de l'archer|Historia del Arquero|Historia Łucznika
rings_onyx_slayers_band|Onyx Slayer's Band|Onyx Slayer's Band|Anel do Caçador de Ônix|Группа Onyx Slayer's|瑪瑙殺手的指環|オニキス・スレイヤーの腕輪|오닉스 슬레이어의 반지 (Onyx Slayer's Band)|Onyx-Schlächterband|Anneau du tueur d'onyx|Banda del Matador de Ónice|Opaska Zabójcy Onyksu
rings_templars_faith|Templar's Faith|Templar's Faith|Fé do Templário|Вера тамплиеров|聖殿騎士的信仰|テンプラーの信仰|템플러의 신념 (Templar's Faith)|Glaube des Templers|Foi du templier|Fe del Templario|Wiara Templariusza
rings_soulforged_ring|Soulforged Ring|Soulforged Ring|Anel Forjado da Alma|Кольцо , Выкованное Душой|魂鑄戒指|ソウルフォージド・リング|영혼단조 반지 (Soulforged Ring)|Seelengeschmiedeter Ring|Anneau forgé dans l'âme|Anillo Forjado de Almas|Pierścień Soulforged
rings_signet_of_bifrost|Signet of Bifröst|Bifröstin kyltti|Sinete de Bifröst|Печатка Бифреста|彩虹橋徽記|ビフロストの印章|비프로스트의 인장 (Signet of Bifröst)|Siegel des Bifröst|Sceau de Bifröst|Sello del Bifröst|Signet Bifröst
rings_sung_lees_unleashed_rage|Sung Lee's Unleashed Rage|Sung Leen Unleashed Rage|A Fúria de Sung Lee|Вырвавшийся на свободу гнев Сун Ли|李宋的憤怒|サン・リーの解き放たれた怒り|성 리의 해방된 분노 (Sung Lee's Unleashed Rage)|Sung Lees entfesselte Wut|Rage déchaînée de Sung Lee|Furia Desatada de Sung Lee|Uwolniona Furia Sung Lee
rings_apex_strikers_ring|Apex Striker's Ring|Apexin hyökkääjän sormus|Anel do Atacante de Ponta|Кольцо Апекс-страйкера|頂尖前鋒之戒|頂点のストライカーの指輪|에이펙스 스트라이커의 반지 (Apex Striker's Ring)|Ring des Spitzenkämpfers|Anneau de l'apogée du guerrier|Anillo del Golpeador Apex|Pierścień Szczytowego Strzelca
rings_swiftsoul_band|Swiftsoul Band|Swiftsoul bändi|Anel da Alma Veloz|Группа Swiftsoul|迅捷之魂戒指|スウィフトソウルの腕輪|신속한영혼 반지 (Swiftsoul Band)|Schnellseelenband|Bague de l'âme mouvante|Banda del Alma Veloz|Opaska Szybkiej Duszy
rings_soul_funneling_loop|Soul Funneling Loop|Soul Funneling Loop|Laço do Afunilamento de Almas|Петля , Направляющая Душу|靈魂漏斗環|ソウル・ファンネリング・ループ|영혼 집중 루프 (Soul Funneling Loop)|Seelenkanalschleife|Boucle de canalisation d'âme|Anillo de Canalización de Almas|Pętla Lejąca Dusze
rings_colossus_circle_of_vitality|Colossus Circle of Vitality|Elinvoiman Colossus Circle|Círculo de Vitalidade do Colosso|Колоссальный круг Жизненной силы|巨像生命之環|コロッサスの生命力の輪|거인의 활력의 고리 (Colossus Circle of Vitality)|Kolossaler Kreis der Vitalität|Cercle de vitalité du colosse|Círculo de Vitalidad del Coloso|Koło Kolosa Witalności
rings_vipers_seal_of_corrosion|Viper's Seal of Corrosion|Viperin korroosion sinetti|Selo de Corrosão da Víbora|Антикоррозийное уплотнение Viper's Seal of|毒蛇的腐蝕印記|ヴァイパーの腐食の印章|바이퍼의 부식 인장 (Viper's Seal of Corrosion)|Vipernsiegel der Korrosion|Sceau de corrosion de la vipère|Sello de Corrosión de la Víbora|Pieczęć Korozji Żmii
rings_astropes_signet_of_blessing|Astrope's Signed of Blessing|Astropen siunauksen merkki|Sinete de Benção do Astrope|Знак Благословения Астропа|阿斯特羅普的祝福之印|アストロペの祝福の印章|아스트로페의 축복 인장 (Astrope's Signed of Blessing)|Astropes Segenszeichen|Sceau de bénédiction de l'astrope|Sello de Bendición de Astrope|Podpisane Błogosławieństwo Astrope
rings_ring_cowraven|Ring of the Cowraven|Cowravenin sormus|Anel da Vaca-corvo|Кольцо Коровьей Вороны|牛鴉之戒|カウレイブンの指輪|카우레이븐의 반지 (Ring of the Cowraven)|Ring des Kuhraben|Anneau corbeau-vache|Anillo del Vacuervo|Pierścień Cowravena
rings_circle_of_nature|Circle of Nature|Luonnon ympyrä|Círculo da Natureza|Круг природы|自然之環|自然の輪|자연의 고리 (Circle of Nature)|Kreis der Natur|Cercle de la nature|Círculo de la Naturaleza|Koło Natury
rings_merlocks_halo|Merlock's Halo|Merlockin halo|Auréola de Merlock|Ореол Мерлока|梅洛克的光環|マーロックの輪|멀록의 후광 (Merlock's Halo)|Merlocks Heiligenschein|Halo de Merlock|Aureola de Merlock|Halo Merlocka
rings_ring_of_tallus|Ring of Tallus|Talluksen sormus|Anel de Tallus|Кольцо Таллуса|塔洛斯之環|タルスの指輪|탈루스의 반지 (Ring of Tallus)|Ring der Tallus|Anneau de Tallus|Anillo de Tallus|Pierścień Tallusa
rings_solar_prophets_signet|Solar Prophet's Signet|Aurinkoprofeetan sinetti|Sinete do Profeta Solar|Печатка Солнечного Пророка|太陽先知的徽記|太陽の預言者の印章|태양 예언자의 인장 (Solar Prophet's Signet)|Siegel des Sonnenpropheten|Symbole du prophète solaire|Sello del Profeta Solar|Signet Proroka Słońca
rings_lunar_prophets_band|Lunar Prophet's Band|Lunar Prophet's Band |Anel do Profeta Lunar|Группа Лунного Пророка|月亮先知指環|月の預言者の腕輪|달 예언자의 반지 (Lunar Prophet's Band)|Band des Mondpropheten|Bande du prophète lunaire|Banda de la Profeta Lunar|Opaska Proroka Księżyca
rings_rakhuls_ritual_band|Rakhul's Ritual Band|Rakhul's Ritual Band|Aliança do Ritual de Rakhul|Ритуальная группа Рахула|拉胡爾的儀式之戒|ラクールの儀式の腕輪|라쿨의 의식 반지 (Rakhul's Ritual Band)|Rakhuls Ritualband|Le groupe rituel de Rakhul|Banda Ritual de Rakhul|Rytualna Opaska Rakhula
rings_shackle_of_insanity|Shackle of Insanity|Insanityn kahle|Grilhões da Insanidade|Оковы безумия|瘋狂枷鎖|狂気の枷|광기의 족쇄 (Shackle of Insanity)|Fessel des Wahnsinns|Chaîne de la folie|Grillete de la Locura|Kajdany Szaleństwa
rings_destroyers_end|Destroyer’s End|Tuhoajan loppu|Fim do Destruidor|Конец Разрушителя|毀滅者末日|破壊者の終焉|디스트로이어의 끝 (Destroyer’s End)|Ende des Zerstörers|La fin du destructeur|Fin del Destructor|Koniec Niszczyciela
