[Relic Names]|en|fi|pt|ru|zh|ja|ko|de|fr
desc_relic_mindBender|What even is this?||O que é isso?|Что это вообще такое?|這到底是什麼?|これ、一体何？|이게 대체 뭐죠?||Qu'est-ce que c'est que ça ?
desc_relic_lightCola|The taste is off.||O sabor é ruim.|Вкус не тот.|味道不對|味が変だ。|맛이 이상합니다.||Ca n'a pas le même goût.
desc_relic_theHolyGrail|Mighty artifact with magical properties.||Artefato poderoso com propriedades mágicas.|Могущественный артефакт с магическими свойствами.|具有神奇屬性的強大神器|魔法の力を持つ強力な遺物。|마법적인 힘을 지닌 강력한 유물.||Puissant artefact aux propriétés magiques.
desc_relic_monkeyKingBar|Can be extended.||Pode ser estendido.|Может быть расширен.|可以延長|延長可能。|늘릴 수 있습니다.||Peut être étendu.
desc_relic_hornedMask|A Mask!? With Horns!??||Uma máscara!? Com chifres!??|Маска!? С Рогами!??|面具? 有角!??|角付きのマスク！？|가면이네요?! 뿔도 있다고요?!||Un masque ? Avec des cornes ! ??
desc_relic_honeyBee|Bzzzz bzz bz bz bzzzzzzz bzzzzz bz bzzzz bzz bzzzzzzzz bz bzzz ||Bzzzz bzz bz bz bzzzzzzz bzzzzz bz bzzzz bzz bzzzzzzzz bz bzzz |Bzzzz bzz bz bz bzzzzzzz bzzzzz bz bzzzz bzz bzzzzzzzz bz bzzz |Bzzzz bzz bz bz bzzzzzzz bzzzzz bz bzzzz bzz bzzzzzzzz bz bzzz|Bzzzz bzz bz bz bzzzzzzz bzzzzz bz bzzzz bzz bzzzzzzzz bz bzzz|Bzzzz bzz bz bz bzzzzzzz bzzzzz bz bzzzz bzz bzzzzzzzz bz bzzz||Bzzzz bzz bz bz bzzzzzzz bzzzzz bz bzzzz bzzzzzzzzzz bz bzzzzz 
desc_relic_1000kg|Really, really heavy.||Muito, muito pesado.|Очень, очень тяжелый.|真的,真的很重.|本当に本当に重い。|진짜, 진짜 무겁습니다.||Vraiment, vraiment lourd.
desc_relic_pickledBrain|Tastes like pickles!||Tem gosto de picles!|На вкус как маринованные огурцы!|嘗起來像泡菜|ピクルスの味がする！|피클 맛!||On dirait des cornichons !
desc_relic_keyGen|Crack the game!||Quebre o jogo!|Взломай игру!|破解遊戲!|ゲームをクラッシュさせろ！|게임을 박살내세요!||Pirate le jeu !
desc_relic_dragonsHead|Spit fire like a dragon.||Cuspa fogo como um dragão.|Плюющийся огнем, как дракон.|像龍一樣噴出火焰|竜のように火を吹け。|용처럼 불을 뿜으세요.||Crache du feu comme un dragon.
desc_relic_winnersDrug|Dopium!||Dopium!|Допиум!|興奮劑|ドピウム！|도피움!||À l'insu de mon plein gré !
desc_relic_casinoDice|Good luck.||Boa sorte.|Удачи.|祝好運|幸運を祈る。|행운을 빕니다.||Bonne chance.
desc_relic_lotteryTicket|Is it a winning ticket?||É um bilhete premiado?|Это выигрышный билет?|是中獎彩券嗎|当たりくじか？|당첨 복권일까요?||Est-ce un ticket gagnant ?
desc_relic_vadjra|This old spear belong to one of the fiercest warriors of her time.||Essa lança antiga pertenceu a uma das guerreiras mais ferozes de sua época.|Это старинное копье принадлежало одной из самых свирепых воительниц своего времени.|這把古老的長矛屬於她那個時代最兇猛的戰士之一|この古い槍はその時代の最も激しい戦士の一人のものだった。|이 오래된 창은 그녀 시대의 가장 강한 전사 중 하나의 것이었습니다.||Cette vieille lance appartenait à l'une des plus féroces guerrières de son temps.
desc_relic_maryosPipe|Pop in, hop out.||Entre e saia.|Заскакивай, выпрыгивай.|跳進去,然後跳出來|飛び込んで、飛び出せ。|휙 들어갔다가, 휙 나옵니다.||Tu me vois, tu me vois plus !
desc_relic_rottenApple|Disgusting, but powerful.||Nojento, mas poderoso.|Отвратительный, но могущественный.|令人噁心,但很強大|きもちわるいが強力。|역겹지만 강력합니다.||Dégoûtant, mais puissant.
desc_relic_handOfMidas|Turns stuff into gold, right?||Transforma as coisas em ouro, certo?|Превращает вещи в золото, верно?|把東西變成金子,對吧?|物を金に変える、だろ？|물건을 황금으로 바꿔준다고요?||Elle transforme des trucs en or, pas vrai ?
desc_relic_oversized|Just like your mother.||Assim como sua mãe.|Совсем как твоя мать.|跟你媽一樣|まるでお前の母親のようだ。|당신 어머니 같네요.||Comme ta mère.
desc_relic_fortuneCard|Like a lucky token, keep this in your pocket for good luck.||Como um símbolo da sorte, mantenha-o em seu bolso para ter boa sorte.|Как счастливый жетон, храните это у себя в кармане на удачу.|像個幸運符,把它放在口袋裡帶著帶好運|幸運のお守りのように、ポケットに入れておけ。|행운의 부적처럼, 주머니에 넣고 다니세요.||Comme un porte-bonheur, garde-le dans ta poche pour te porter chance.
desc_relic_deliciousPie|Tastes like heaven.||O sabor é divino.|На вкус как рай.|嘗起來像天堂|天国の味。|천국의 맛.||Un petit goût de paradis.
desc_relic_amazonsSpears|Poisonous Spears!||Lanças venenosas!|Ядовитые копья!|毒矛!|毒の槍！|독이 묻은 창!||Lances empoisonnées !
desc_relic_jungleVial|Contains raw poison!||Contém veneno puro!|Содержит сырой яд!|含有生毒|生の毒を含む！|순도 높은 독이 들어 있어요!||Un concentré de pur poison !
desc_relic_manaDice|Try your luck for mana.||Tente sua sorte para obter mana.|Испытайте свою удачу ради маны.|試試你的運氣以獲得法力|マナを試せ。|마나를 위해 운을 시험해보세요.||Tentez votre chance pour du mana.
desc_relic_wizardsHat|Tap to the wizards manapool.||Toque na reserva de mana dos magos.|Нажмите на панель управления wizards.|點擊進入巫師魔力池|魔法使いのマナプールを叩け。|마법사의 마나풀에 연결하세요.||Tapez dans la réserve de mana des sorciers.
desc_relic_zombiesFace|Spread the disease.||Espalhe a doença.|Распространяйте болезнь.|傳播疾病|病気を広げろ。|질병을 퍼뜨리세요.||Répandez la maladie.
desc_relic_metalDetector|Where is that ore?||Onde está aquele minério?|Где эта руда?|礦石在哪裡?|あの鉱石はどこ？|광석은 어디에?||Où est ce minerai ?
desc_relic_lootARang|It loots, and returns to you.||Ele saqueia e retorna para você.|Он грабит и возвращается к вам.|它會掠奪,然後再回來給你|それは略奪し、戻ってくる。|전리품을 챙기고 돌아옵니다.||Rapporte le butin.
desc_relic_propHuntKit|Minigames!||Minigames!|Мини-игры!|迷你遊戲|ミニゲーム！|미니게임!||Mini-jeux !
desc_relic_doggo|Such rocket, wow.||Que foguete, uau.|Такая ракета, вау.|這樣的火箭,哇.|すごいロケット、わお。|이런 로켓, 정말 와우.||Tel une fusée, waouh.
desc_relic_stevesDirtyHead|Hihheeheh my ass is hairy||Hihheeheh minha bunda é peluda|Хихихехех, у меня волосатая задница|嘿嘿嘿,我的屁股毛茸茸的|ひひへへ、俺の尻毛が濃い。|히히히 내 엉덩이에 털 있어.||J'ai le claqu'-merde qui r'foule
desc_relic_lostWand|Once belonged to a mages apprentice.||Já pertenceu a um aprendiz de mago.|Когда-то принадлежал ученику мага.|曾經屬於一個法師學徒|かつて魔法使いの弟子のものだった。|한때 마법사의 수련생이 사용했었습니다.||Il a appartenu à un apprenti mage.
desc_relic_wizardsMindBomb|Mind = Blown.||Mente = Explodida.|Разум = Взорван.|心智 = 崩潰.|頭が爆発しそう。|정신 = 폭발.||Esprit = soufflé.
desc_relic_newtTail|Don’t worry, it grows back.||Não se preocupe, ela cresce de volta.|Не волнуйся, они отрастут снова.|別擔心,它會重新長出來|心配するな、また生えてくる。|걱정 마세요, 다시 자라요.||Ne vous inquiétez pas, ça repousse.
desc_relic_candyBasket|Share the sweets!||Compartilhe os doces!|Поделись сладостями!|分享糖果|お菓子を分け合おう！|사탕을 나눠요!||Partageons les friandises !
desc_relic_snowball|Snowfight!||Briga de neve!|Снежный бой!|雪仗|雪合戦！|눈싸움!||Combat de boules de neige !
desc_relic_thiefsGlove|A smooth criminal.||Um criminoso ardiloso.|Гладкий преступник.|圓滑的罪犯|スムーズな犯罪者。|매우 교활한 도둑.||Smooth criminal.
desc_relic_shocker3000|Magnificent creation of Science!||Magnífica criação da ciência!|Великолепное творение науки!|科學的偉大創造|科学の素晴らしい創造物！|과학의 찬란한 창조물!||Magnifique création de la science !
desc_relic_flail|Return after use.||Devolver após o uso.|Верните после использования.|使用後歸還|使用後は返却せよ。|사용 후에는 반환하세요.||Retour après utilisation.
desc_relic_soulBox|Soul Collector.||Coletor de almas.|Собиратель душ.|靈魂收藏家|魂の収集者。|영혼 수집가.||Collectionneur d'âmes.
desc_relic_chickenMask|Disguise.||Disfarce.|Маскировка.|偽裝|変装。|변장.||Déguisement.
desc_relic_cursedBook|Book that holds a curse.||Livro que contém uma maldição.|Книга, в которой заключено проклятие.|帶有詛咒的書|呪いを持つ本。|저주가 담긴 책.||Livre qui contient une malédiction.
desc_relic_headExtractor|Decapitator 2000.||Decapitador 2000.|Обезглавливатель 2000.|斬首者2000|デキャピテーター2000。|디카피테이터 2000.||Décapiteur 2000.
desc_relic_bombBoat|Heavy duty bombs.||Bombas para trabalho pesado.|Сверхмощные бомбы.|重型炸彈|頑丈な爆弾。|헤비 듀티 폭탄.||Bombes à usage intensif.
desc_relic_fishNet|Handmade.||Feito à mão.|Ручная работа.|手工製作|手作り。|수제.||Fait main.
desc_relic_bookOfCommand|Powerful book.||Um livro poderoso.|Мощная книга.|強大的書|強力な本。|강력한 책.||Livre puissant.
desc_relic_sucker5000|Magnificent creation of Science!||Magnífica criação da ciência!|Великолепное творение науки!|科學的偉大創造|科学の素晴らしい創造物！|과학의 찬란한 창조물!||Une autre magnifique création de la science !
desc_relic_sucker5000b|Even more magnificent creation of Science!||Criação ainda mais magnífica da ciência!|Еще более великолепное творение Науки!|更偉大的科學創造|さらに素晴らしい科学の創造物！|과학의 더더욱 찬란한 창조물!||Une création encore plus magnifique de la science !
desc_relic_pulser|Destroy nearby cloaking devices!||Destrói dispositivos de camuflagem próximos!||摧毀附近的隱形裝置|近くのステルス装置を破壊しろ！|근처 은신 장비를 파괴하세요!||
||||||||||
[Relic Talents]||||||||||
talent_name_relicRubberDuck|Duck Throw||Arremesso de Pato|Бросок Утки|丟鴨子|ダック投げ|덕 쓰로우||Lancer de canard
talent_name_relicApple|Apple Blast||Explosão de Maçã|Яблочный взрыв|爆炸蘋果|りんご爆発|애플 블래스트||Coup de pomme
talent_name_relicAaronsStaff|Healing Touch||Toque Curativo|Исцеляющее Прикосновение|治癒之觸|回復のタッチ|힐링 터치||Touché de guérison
talent_name_relicBookOfBelial|Satanic Chant||Canto Satânico|Сатанинское Пение|撒旦聖歌|悪魔の呪詛|사탄 챈트||Chant satanique
talent_name_relicScytheOfBlood|Flying Scythe||Foice Voadora|Летящая Коса|飛鐮|飛びかかる大鎌|플라잉 사이쓰||Faucheuse volante
talent_name_relicRainbow|Rainbow Drool||Baba Arco-íris|Радужные Слюни|彩虹口水|虹色のよだれ|레인보우 드룰||Bave arc-en-ciel
talent_name_relicFlySwatter|Memes||Memes|Мемы|迷因|ミーム集|밈즈||Memes
talent_name_relicAngelStaff|Arch Angel’s Fury||Fúria do Arcanjo|Ярость Архангела|大天使之怒|大天使の激怒|아크엔젤 퓨리||Fureur de l'archange
talent_name_relicRocketBarrage|Barrage of Rockets||Barragem de Foguetes|Шквал ракет|火箭彈幕|ロケットの集中砲火|로켓 공격||Barrage de roquettes
talent_name_relicShiv|Flying Shivs||Facas Voadoras|Летающие Заточки|飛刀|飛び回る手裏剣|플라잉 시브즈||Saï volants
talent_name_relicStickmanSteve|Call of Steve||Chamado de Steve|Зов Стива|史蒂夫的呼喚|スティーブの呼び声|콜 오브 스티브||Appel de Steve
talent_name_relicBomb|Regular Bomb||Bomba Regular|Обычная Бомба|普通炸彈|通常爆弾|레귤러 봄||Bombe ordinaire
talent_name_relicMeatHook|Meat Hook||Gancho de Carne|Мясной Крючок|肉鉤|肉のフック|미트 훅||Crochet à viande
talent_name_relicCandyCrusher|Candy Crush||Candy Crush|Раздавить Конфету|糖果粉碎|キャンディクラッシュ|캔디 크러쉬||Broyeur de bonbons
talent_name_relicNinjaHook|Ninja Hooks||Ganchos Ninja|Крючки Ниндзя|忍者鉤子|忍者のフック|닌자 훅||Crochets Ninja
talent_name_relicShadeOfDeath|Shadow Strike||Ataque das Sombras|Теневой удар|陰影打擊|影の一撃|섀도우 스트라이크||Frappe de l'ombre
talent_name_relicDislocatedEye|Crippling Cold||Frio Intenso|Калечащий Холод|嚴寒|体を凍らせる冷気|크리플링 콜드||Froid paralysant
talent_name_relicOrbOfFire|Hydra’s Calling||Chamado da Hidra|Гидра зовет|九頭蛇的呼喚|ヒドラの呼び声|히드라 콜링||Appel d'Hydre
talent_name_relicOrbOfIce|Frost Orb’s Calling||Chamado do Orbe Congelado|Ледяной Шар зовет|冰霜寶珠的呼喚|氷の宝珠の呼び声|프로스트 오브 콜링||Appel d'Orbe de givre
talent_name_relicOrbOfPoison|Toxic Nova’s Calling||Chamado da Nova Tóxica|Токсичная Нова зовет|劇毒新星的呼喚|毒のノヴァの呼び声|톡식 노바 콜링||Appel de Nova toxique
talent_name_relicOrbOfChaos|Calling of Chaos||Chamado do Caos|Призыв Хаоса|混沌的呼唤|混沌の呼び声|카오스 콜링||Appel du Chaos
talent_name_relicBouncy|Bouncing Spikeball||Bola de Espinhos Saltitante|Прыгающий Колючий Мяч|彈跳釘球|跳ねるトゲ玉|바운싱 스파이크볼||Boule de fer rebondissante
talent_name_relicBalalayka|Classic Tunes||Músicas Clássicas|Классические Мелодии|經典曲調|古典的な旋律|클래식 튠즈||Mélodies classiques
talent_name_relicDarts|Flying Darts||Dardos Voadores|Летящие Дротики|飛鏢|飛び矢|플라잉 다트||Fléchettes volantes
talent_name_relicSatansHorn|Satanic Groundsmash||Esmagamento de Solo Satânico|Сатанинский Удар По Земле|撒旦碎地|悪魔の地面破壊|사탄 그라운드스매시||Fracas satanique
talent_name_relicJarOfFlies|Nasty Flies||Moscas Nojentas|Мерзкие Мухи|討厭的蒼蠅|いやらしいハエたち|내스티 플라이즈||Mouche désagréable
talent_name_relicSatansTooth|Molten Toothache||Dor de Dente Fundida|Острая Зубная Боль|熔融牙痛|溶岩の歯痛|몰튼 투스에이크||Mal de dents infernal
talent_name_relicBoomerang|Australian Sport||Esporte Australiano|Австралийский спорт|澳洲體育|オーストラリアンスポーツ|오스트레일리안 스포츠||Sport australien
talent_name_relicSquishy|Suicidal Pig||Porco Suicida|Свинья - самоубийца|自殺豬|自殺的な豚|수이사이달 피크||Cochon suicidaire
talent_name_relicLightCola|Boost of Energy||Impulso de Energia|Заряд энергии|能量提升|力のブースト|에너지 부스트||Boost d'énergie
talent_name_relic1000kg|Heavy Weight||Peso Pesado|Тяжелый Вес|重型|重量級|헤비 웨이트||Poids lourd
talent_name_relicKeyGen|Bluescreen of Death||Tela Azul da Morte|Синий экран смерти|死亡藍頻|死のブルースクリーン|블루스크린 오브 데스||Bluescreen of Death
talent_name_relicDragonsHead|Molten Breath||Hálito Fundido|Расплавленное Дыхание|熔火呼吸|溶岩の吐息|몰튼 브레스||Souffle de fusion
talent_name_relicCasinoDice|Lucky Dice||Dado da Sorte|Счастливые кости|幸運骰子|幸運のサイコロ|럭키 다이스||Dés chanceux
talent_name_relicVajdra|Stormy Javelin||Dardo Tempestuoso|Бурный Дротик|暴風雨標槍|嵐のやり|스토미 자벨린||Javelot orageux
talent_name_relicMaryosPipe|Pipe Diver||Mergulhador de Canos|Водолаз - Трубочист|管道潛水員|パイプダイバー|파이프 다이버||Sondeur de tuyaux
talent_name_relicRottenApple|Mass Hex||Hex em Massa|Массовый Шестнадцатеричный|集體詛咒|大規模呪詛|매스 헥스||Malédiction de masse
talent_name_relicDeliciousPie|So Good||Muito Bom|Так Хорошо|太好了|最高だぜ|쏘 굿||Si bon
talent_name_relicWizardsHat|Manalicious||Manalicioso|Мужественный|美味的法力|マナたっぷり|마날리셔스||Manalicieux
talent_name_relicLootarang|Sticky Boomerang||Bumerangue Grudento|Липкий Бумеранг|粘性迴旋鏢|くっつくブーメラン|스티키 부메랑||Boomerang collant
talent_name_relicPropHunt|Prop Hunting||Caça aos Adereços|Охота за Реквизитом|潛伏狩獵|プロップ狩り|프롭 헌팅||Cache-cache
talent_name_relicDogeRocket|To the MOON||Para a LUA|На ЛУНУ|去月球|月へ向かって|투 더 문||Jusqu'à la LUNE
talent_name_relicHalloweenBasket|Candy Basket||Cesta de Doces|Корзина для Конфет|糖果籃子|キャンディバスケット|캔디 바스켓||Panier de bonbons
talent_name_relicSnowBall|Snowball Throw||Arremesso de Bola de Neve|Бросок Снежка|雪球投擲|雪玉投げ|스노우볼 쓰로우||Lancer de boule de neige
talent_name_relicThievesGlove|Fiddling Glove||Luva da Desonestidade|Перчатка для игры на Скрипке|小提琴手套|手遊び用手袋|피들링 글러브||Gant de bricolage
talent_name_relicShocker|Shocker 9000||Shocker 9000|Шокер 9000|震動器 9000|ショッカー9000|쇼커 9000||Choc 9000
talent_name_relicFlail|Flailstrike||Golpe de Mangual|Удар кистенем|連枷打擊|フレイル攻撃|플레일스트라이크||Frappe au fléau
talent_name_relicSoulBox|Open the Box||Abra a Caixa|Открой Коробку|打開箱子|箱を開けろ|오픈 더 박스||Ouvrir la boîte
talent_name_relicChickenMask|All them Chickens||Todas as Galinhas|Все эти Цыплята|都是雞|みんなの鶏|올 뎀 치킨||Tous les poulets
talent_name_relicCursedBook|Dare to Read?||Ousa ler?|Осмелитесь прочитать?|敢閱讀嗎?|読む勇気はあるか？|데어 투 리드?||Oser lire ?
talent_name_relicSucker|Extract Heads||Extrair Cabeças|Извлекающие Головки|擷取頭部|頭部摘出|익스트랙트 헤즈||Extraire les têtes
talent_name_relicBombBoat|Naval Bomb||Bomba Naval|Морская бомба|海軍炸彈|海軍爆弾|네이벌 밤||Bombe navale
talent_name_relicFishNet|Trap the Fish||Captura o Peixe|Поймайте Рыбу в ловушку|誘魚|魚を罠にかけろ|트랩 더 피쉬||Piège à poissons
talent_name_relicBookOfCommand|Commanding Power||Poder de Comando|Властная Сила|指揮力|指揮の力|커맨딩 파워||Pouvoir de commandement
talent_name_relicSucker5000|Sucking Power||Poder de Sucção|Всасывающая Сила|吸力|吸い取る力|서킹 파워||Pouvoir d'aspiration
talent_name_relicSucker5000b|Empowered Sucking Power||Poder de Sucção Melhorado|Усиленная Сосущая Сила|强大的吸力|強化された吸引力|엠파워드 서킹 파워||Pouvoir d'aspiration renforcé
talent_name_relicDevilHorn|Satanic Replenishment||Reabastecimento Satânico|Сатанинское Пополнение|撒旦補給|悪魔の補給|사탄 리플레니쉬먼트||Réapprovisionnement satanique
talent_name_relicFireAndIce|Frostburn||Queimadura por Frio|Обмороженный|霜燃|凍傷|프로스트번||Engelure
talent_name_relicDeathsScythe|Reaping||Colheita|Жатва|收割|収穫|리핑||Récolte
talent_name_relicCactus|Spiky Plant||Planta Espinhosa|Колючее Растение|尖刺植物|トゲトゲ植物|스파이키 플랜트||Plante épineuse
talent_name_relicAssassinsShuriken|Shruken Strike||Ataque de Shuriken|Удар плечом Вперед|手裏劍打擊|手裏剣攻撃|슈루큰 스트라이크||Frappe soudaine
talent_name_relicRazerHeadSet|Sonar Pulse||Pulso Sonar|Импульс гидролокатора|聲納脈衝|ソナーパルス|소나 펄스||Impulsion sonique
talent_name_relicRazorLeaf|Razor Leaves||Folhas de Barbear|Листья от Бритвы|剃刀葉|かみそりの葉|레이저 리브스||Feuilles de rasoir
talent_name_relicTequila|Drunken Arson||Incêndio Embriagado|Пьяный Поджог|醉酒縱火|酔っぱらいの放火|드렁큰 아손||Ivre
talent_name_relicMightySushi|Tasty Explosion||Explosão Deliciosa|Вкусный Взрыв|美味爆炸|美味しい爆発|테이스티 익스플로전||Explosion savoureuse
talent_name_relicRiceChopsticks|Disarming Strike||Ataque Desarmante |Обезоруживающий удар|解除武裝打擊|武装解除攻撃|디사밍 스트라이크||Frappe de désarmement
talent_name_relicDaPlayer|Rotting Carcas||Carcaça Apodrecida|Гниющие Туши|腐爛的屍體|腐った死体|로팅 카커스||Carcasse pourrie
talent_name_relicWitchClaw|Hexing Strike||Ataque de Hex|Колдовской Удар|詛咒之擊|呪詛攻撃|헥싱 스트라이크||Frappe maudite
talent_name_relicShatteredKatana|Gust of Wind||Rajada de Vento|Порыв ветра|陣風|突風|거스트 오브 윈드||Bourrasque
talent_name_relicLargeBeer|Nausea||Náusea|Тошнота|噁心|吐き気|노지아||Nausée
talent_name_relicNecromancersFinger|Lost Soul||Alma Perdida|Потерянная Душа|迷失的靈魂|失われた魂|로스트 소울||Âme perdue
talent_name_relicLightningBall|Lightning Ball||Bola de Raio|Шар - Молния|閃電球|雷球|라이트닝 볼||Boule de foudre
talent_name_relicEsEnergy|Jonnen Valinta||Jonnen Valinta|Jonnen Valinta|Jonnen的選擇|ヨンネンの選択|요넨 발린타||Jonnen Valinta
talent_name_relicSatansEye|Burning Vision||Visão Flamejante|Горящее Видение|燃燒的幻象|燃える幻視|버닝 비전||Vision brûlante
talent_name_relicHolyGrail|Heaven’s Light||Luz do Céu|Небесный свет|天堂之光|天の光|헤븐 라이트||Lumière du ciel
talent_name_relicWinnersDrug|Dopium!||Fluxo de Mana|Манастрим|毒品!|マナの流れ|마나스트림||Flux de mana|
talent_name_relicLotteryTicket|Lucky Numbers||Números da Sorte|Счастливые Числа|幸運數字|幸運の数字|럭키 넘버즈||Chiffres chanceux
talent_name_relicHandOfMidas|Hand of Midas||Mãos de Midas|Рука Мидаса|米達斯之手|ミダスの手|미다스의 손||Main de Midas
talent_name_relicAmazonsSpears|Poisonous Hit||Acerto Venenoso|Ядовитый Удар|劇毒打擊|毒の一撃|포이즈너 히트||Coup empoisonné
talent_name_relicManaDice|Mana Recovery||Recuperação de Mana|Восстановление маны|法力回復|マナ回復|마나 리커버리||Restauration du mana
talent_name_relicZombiesFace|Disease||Doença|Болезнь|疾病|病気|디지즈||Maladie
talent_name_relicMetalDetector|Node Detection||Detecção de Veio|Обнаружение узла|採集點偵測|ノード検出|노드 디텍션||Détection de veine
talent_name_relicPickledBrain|Aldo’s Rotten Brain||Cérebro Apodrecido de Aldo|Прогнивший Мозг Альдо|Aldo腐爛的大腦|アルドの腐った脳みそ|알도의 썩은 뇌||Cerveau pourri d'Aldo
talent_name_relicDemonSheep|Demon Sheep||Ovelha Demoníaca|Демоническая Овца|惡魔羊|悪魔の羊|데몬 양||Mouton démoniaque
talent_name_relicSkullbat|Skull Bat||Morcego-caveira|Череп Летучей Мыши|骷髏蝙蝠|ドクロコウモリ|해골 박쥐||Crâne de chauve-souris
talent_name_relicShredder|Shredder||Triturador|Измельчитель|碎紙機|シュレッダー|슈레더||Déchiqueteuse
talent_name_relicFetus|F.E.T.U.S.||F.E.T.O|F.E.T.U.S.|F.E.T.U.S.|F.E.T.U.S.|F.E.T.U.S.||F.E.T.U.S.
talent_name_relicTheEye|The Eye||O Olho|Глаз|眼睛|その目|더 아이||l'Oeil
talent_name_relicShrunkenHead|Shrunken Head||Cabeça Encolhida|Сморщенная Голова|縮小頭部|縮んだ頭蓋骨|슈런큰 헤드||Tête de raton laveur
talent_name_relicAncientRock|Ancient Rock||Pedra Antiga|Древняя Скала|古老岩石|古代の岩|에인션트 락||Ancien rocher
talent_name_relicTemplarShield|Templar Shield||Escudo do Templário|Щит Тамплиера|聖殿騎士盾|テンプル騎士の盾|템플러 쉴드||Bouclier des Templiers
talent_name_relicTheAlmightyFedora|The Almighty Fedora||A Poderosa Fedora|Всемогущая Фетровая шляпа|全能軟呢帽|全能のフェドラ帽|올마이티 페도라||Le tout-puissant Fedora
talent_name_relicGuardianAngel|Guardian Angel||Anjo Guardião|Ангел - Хранитель|守護天使|守護天使|가디언 엔젤||Ange gardien
talent_name_relicWarZeppelin|War Zeppelin||Zepelim de Guerra|Военный Дирижабль|戰爭齊柏林飛船|戦闘飛行船|워 제펠린||Zeppelin de guerre
talent_name_relicKarpHead|Karp Head||Cabeça de Carpa|Голова Карпа|卡普頭|コイの頭|카프 헤드||Tête de Carpe
talent_name_relicMinisect|Minisect||Mininseto|Минисект|微型昆蟲|ミニセクト|미니섹트||Minisect
talent_name_relicHoneyBee|Honey Bee||Abelha|Медоносная Пчела|蜜蜂|ミツバチ|꿀벌||Abeille
talent_name_relicStevesDirtyHead|Steves Dirty Head||Cabeça Suja de Steve|Грязная Голова Стива|史蒂夫的髒腦袋|スティーブの汚れた頭|스티브의 더러운 머리||Tête sale de Steve
talent_name_relicDevilSkull|Burst of Rage||Explosão de Raiva|Взрыв ярости|憤怒爆發|怒りの爆発|버스트 오브 레이지||Éclat de rage
talent_name_relicFrozenOrb|Chilling Strike||Ataque Arrepiante|Леденящий Душу Удар|冰冷打擊|冷気の一撃|칠링 스트라이크||Frappe glaciale
talent_name_relicStormDagger|Lightning Strike||Ataque de Raios|Удар молнии|閃電打擊|雷撃|라이트닝 스트라이크||Coup de foudre
talent_name_relicOdinsSword|Divine Scorch||Queimadura Divina|Божественный Ожог|神聖焦灼|神聖な焦熱|디바인 스코치||Brûlure divine
talent_name_relicOgreClub|Me Smash!||Eu Esmago!|Меня разобьют!|我砸扁了!|私が叩く！|미 스매쉬!||Moi frapper !
talent_name_relicBasiliksTooth|Stoned||Empedrado|Обкуренный|石頭|石化|스톤||Pétrifié
talent_name_relicPulser|Gamma Pulse||Pulso Gama||γ 脈衝|ガンマパルス|감마 펄스||
||||||||||
talent_desc_relicRubberDuck|Throw a duck over your head that explodes in small AOE Magic Damage.||Jogue um pato sobre sua cabeça que explode em uma pequena área de Dano Mágico.|Бросьте утку над головой, которая взрывается, нанося небольшой магический урон AOE.|將一隻鴨子扔到你的頭上,它會爆炸並造成小範圍魔法傷害|頭上にアヒルを投げ、小さな範囲の魔法ダメージを与える。|머리 위로 오리를 던져 작은 광역 마법 데미지를 입히며 폭발합니다.||Lancez un canard au-dessus de votre tête qui explose en petits dégâts magiques de zone.
talent_desc_relicApple|Throw an apple in to the air that explodes in to small projectiles around you that deal Magic Damage.||Jogue uma maçã no ar que explode em pequenos projéteis ao seu redor, causando Dano Mágico.|Подбросьте яблоко в воздух, которое разлетится на мелкие снаряды вокруг вас, наносящие магический урон.|將一個蘋果丟到空中,它會在你周圍爆炸成小彈丸,造成魔法傷害|空中にリンゴを投げ、周囲に小さな魔法弾を爆発させる。|공중에 사과를 던져 주변에 작은 투사체로 폭발하며 마법 데미지를 줍니다.||Lance une pomme en l'air qui explose en petits projectiles autour de toi qui infligent des dégâts magiques.
talent_desc_relicAaronsStaff|Heals your self on cast.||Cura a si mesmo ao ser conjurado.|Исцелите себя на гипсе.|施法時治療自己|詠唱すると自身を回復する。|시전 시 자신을 치유합니다.||Vous soigne lors de l'incantation.
talent_desc_relicBookOfBelial|When cast, temporarily boost your Damage.||Quando conjurado, aumenta seu Dano temporariamente.|При наложении заклинания временно увеличьте свой урон.|施放後,暫時提高你的傷害|詠唱すると一時的にダメージを上げる。|시전 시 일시적으로 데미지를 증가시킵니다.||Augmente temporairement vos dégâts à l'utilisation.
talent_desc_relicSwordOfBlood|Throw a spinning scythe dealing AOE damage.||Arremessa uma foice giratória que causa dano em área.||投擲一把旋轉鐮刀,造成範圍傷害|回転する鎌を投げ、範囲ダメージを与える。|회전하는 낫을 던져 광역 데미지를 줍니다.||
talent_desc_relicRainbow|Cast a rainbow beam forward that deals Magic Damage.||Lança um raio de arco-íris que causa Dano Mágico.|Бросьте радужный луч вперед, который наносит магический урон.|向前投射一道彩虹光束,造成魔法傷害|虹色のビームを前方に放ち、魔法ダメージを与える。|무지개 광선을 전방에 발사해 마법 데미지를 줍니다.||Lancez un rayon arc-en-ciel devant vous qui inflige des dégâts magiques.
