[main_menu]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
local_play|Play local|Paikallinen peli|Jogo Local|Играть локально|單機遊戲|ローカルプレイ|로컬 플레이|Lokal spielen|Partie locale
craft_wormhole_key|Craft Wormhole Key|Valmista Madonreiän avain|Criar Chave de Wormhole|Изготовить ключ от червоточины|製作蟲洞鑰匙|クラフト ジュエル|웜홀 키 제작|Wurmlochschlüssel|Clé de Vortex
craft_jewel|Craft Jewel|Valmista korukivi|Criar Joia|Ремесло драгоценностей|製作珠寶|クラフト ジェム |쥬얼 제작|Juwel herstellen|Joyau
craft_gem|Craft Gem|Valmista jalokivi|Criar Gema|Ремесленный драгоценный камень|製作寶石|フェイント|젬 제작|Edelstein herstellen |Gemme
aura_1|Feint|Harhautus|Finta|Финт|佯攻|補修|페인트|Antäuschen|Feinte
aura_2|Mending|Parannus|Reparação|Починка|修補|熱狂|수리|Heilung|Guérison
aura_3|Fanaticism|Fanaattisuus|Fanatismo|Фанатизм|狂熱|抵抗|광신|Fanatismus|Fanatisme
aura_4|Resistance|Vastustus|Resistência|Сопротивление|抵抗|集中|저항|Widerstand|Résistance
aura_5|Concentration|Keskittyminen|Concentração|Концентрация|專注|ホーリーフリーズ|집중|Konzentration|Concentration
aura_6|Holy Freeze|Pyhä jää|Congelamento Sagrado|Священная заморозка|神聖冰凍|ホーリーショック|신성한 동결|Heiliger Frost|Immobilisation sacrée
aura_7|Holy Shock|Pyhä isku|Choque Sagrado|Святой шок|神聖衝擊|マナ プール|신성한 충격|Heiliger Schock|Choc saint
aura_10|Mana Pool|Mana Pool|Reserva de Mana|Бассейн маны|法力之池|予知|마나 풀|Mana-Pool|Puits de Mana
aura_14|Precognition|Ennakkotieto|Precognição|Предвидение|預知|棘|예지|Vorahnung|Prescience
aura_13|Thorns|Piikit|Espinhos|Шипы|荊棘|天使の活気|가시|Dornen|Épines
aura_15|Angel's Vibrance|Angel's Vibrance|Vibração do Anjo|Ангельское сияние|天使活力|マナ プール |천사의 활력|Engelslebendigkeit|Éclat Angélique
aura_93|Mana Pool|Mana Pool|Reserva de Mana|Бассейн маны|法力之池 ||마나 풀|Mana-Pool |Puits de Mana
|||||||||||
aura_desc_1|Grants you an aura that increases you and your allies movement speed||Concede a você e seus aliados uma aura que aumenta sua velocidade de movimento|Дает вам ауру, которая увеличивает скорость передвижения вас и ваших союзников.|賦予你一種光環，提高你和你的盟友的移動速度|あなたと仲間の体力回復を上げるオーラを付与します|당신과 당신의 아군의 이동 속도를 증가시키는 오라를 부여합니다.|Verleiht Ihnen eine Aura, die Ihre Bewegungsgeschwindigkeit und die Ihrer Verbündeten erhöht|Vous confère une aura qui augmente votre vitesse de marche/course et celle de vos alliés.
aura_desc_2|Grants you an aura that increases you and your allies health regeneration||Concede a você e seus aliados uma aura que aumenta sua regeneração de vida|Дает вам ауру, которая увеличивает регенерацию здоровья вам и вашим союзникам.|賦予你一種光環，增加你和你的盟友的生命恢复速度|あなたと仲間の攻撃速度を上げるオーラを付与します|당신과 당신의 아군의 체력 재생을 증가시키는 오라를 부여합니다.|Verleiht Ihnen eine Aura, die Ihre Gesundheitsregeneration und die Ihrer Verbündeten erhöht|Vous confère une aura qui augmente votre régénération de vie et celle de vos alliés.
aura_desc_3|Grants you an aura that increases you and your allies attack speed||Concede a você e seus aliados uma aura que aumenta sua velocidade de ataque|Дает вам ауру, которая увеличивает скорость атаки вас и ваших союзников.|賦予你一種光環，提高你和你的盟友的攻擊速度|あなたと仲間のすべての耐性を上げるオーラを付与します|당신과 당신의 아군의 공격 속도를 증가시키는 오라를 부여합니다.|Verleiht Ihnen eine Aura, die Ihre Angriffsgeschwindigkeit und die Ihrer Verbündeten erhöht|Vous confère une aura qui augmente votre vitesse d'attaque et celle de vos alliés.
aura_desc_4|Grants you an aura that increases you and your allies all resistance||Concede a você e seus aliados uma aura que aumenta todas suas resistências|Дает вам ауру, которая увеличивает все сопротивление вам и вашим союзникам.|賦予你一種光環，增加你和你的盟友的所有抗性|あなたと仲間の攻撃ダメージを上げるオーラを付与します|당신과 당신의 아군의 모든 저항력을 증가시키는 오라를 부여합니다.|Verleiht Ihnen eine Aura, die alle Resistenzen von Ihnen und Ihren Verbündeten erhöht|Vous confère une aura qui augmente vos résistances et celle de vos alliés.
aura_desc_5|Grants you an aura that increases you and your allies attack damage||Concede a você e seus aliados uma aura que aumenta seu dano de ataque|Дает вам ауру, которая увеличивает урон от атак вас и ваших союзников.|賦予你一種光環，增加你和你的盟友的攻擊傷害|あなたと仲間の冷気のオーラを上げるオーラを付与します|당신과 당신의 아군의 공격력을 증가시키는 오라를 부여합니다.|Verleiht Ihnen eine Aura, die Ihren Angriffsschaden und den Ihrer Verbündeten erhöht|Vous confère une aura qui augmente vos dégâts d'attaque et ceux de vos alliés.
aura_desc_6|Grants you an aura that increases you and your allies a chilling aura||Concede a você e seus aliados uma aura congelante|Дает вам ауру, которая усиливает вас и ваших союзников леденящей аурой.|賦予你一種光環，讓你和你的盟友都可以減速周圍的敵對單位|あなたと仲間の衝撃のオーラを上げるオーラを付与します|당신과 당신의 아군의 냉각 오라를 부여합니다.|Verleiht Ihnen eine Aura, die Ihnen und Ihren Verbündeten eine schaurige Aura verleiht|Vous confère, ainsi qu'à vos alliés, une aura glaciale.
aura_desc_7|Grants you an aura that increases you and your allies a shocking aura||Concede a você e seus aliados uma aura eletrizante|Дает вам ауру, которая усиливает вас и ваших союзников шокирующей аурой.|予你一種光環，讓你和你的盟友可以週期性的對周圍單位造成傷害|あなたと仲間のマナ回復を上げるオーラを付与します|당신과 당신의 아군의 충격 오라를 부여합니다.|Verleiht Ihnen eine Aura, die Ihnen und Ihren Verbündeten eine schockierende Aura verleiht|Vous confère, ainsi qu'à vos alliés, une aura de choc.
aura_desc_10|Grants you an aura that increases you and your allies mana regeneration||Concede a você e seus aliados uma aura que aumenta a regeneração de mana|Дает вам ауру, которая увеличивает регенерацию маны вам и вашим союзникам.|賦予你一種光環，提高你和你的盟友的魔法值恢復|あなたと仲間のダメージ回復を上げるオーラを付与します|당신과 당신의 아군의 마나 재생을 증가시키는 오라를 부여합니다.|Verleiht Ihnen eine Aura, die Ihre Manaregeneration und die Ihrer Verbündeten erhöht|Vous confère une aura qui augmente votre Régénération de Mana et celle de vos alliés.
aura_desc_13|Grants you an aura that increases you and your allies damage return||Concede a você e seus aliados uma aura que aumenta o seu retorno de dano|Предоставляет вам ауру, которая увеличивает возврат урона вам и вашим союзникам.|賦予你一種光環，增加你和你的盟友傷害反彈|あなたと仲間の属性ダメージ、ブロック、回避を上げるオーラを付与します|당신과 당신의 아군의 피해 반환을 증가시키는 오라를 부여합니다.|Verleiht Ihnen eine Aura, die Ihren Schadensrückfluss und die Ihrer Verbündeten erhöht|Vous confère une aura qui augmente vos dégâts d’épine et ceux de vos alliés.
aura_desc_14|Grants you an aura that increases you and your allies elemental damage, block and dodge||Concede a você e seus aliados uma aura que aumenta o seu dano elemental, bloqueio e esquiva|Дает вам ауру, которая увеличивает вам и вашим союзникам элементальный урон, блокирует и уклоняется.|賦予你一種光環，增加你和你的盟友元素傷害、格擋和閃躲.|あなたと仲間にゲーム内のすべてのバフを提供する天使の力を付与します|당신과 당신의 아군의 원소 피해, 블록 및 회피를 증가시키는 오라를 부여합니다.|Verleiht Ihnen eine Aura, die Ihren Elementarschaden und das Blocken und Ausweichen Ihrer Verbündeten erhöht|Vous confère une aura qui augmente vos dégâts élémentaires, votre blocage et votre esquive, ainsi que ceux de vos alliés.
aura_desc_15|Grants you power of the Angel’s providing you and your allies every buff in the game||Concede a você o poder dos Anjos, proporcionando a você e seus aliados todos os buffs do jogo|Дает вам силу Ангела, предоставляя вам и вашим союзникам все положительные эффекты в игре.|賦予你天使的力量，為你和你的盟友提供遊戲中的每個增益效果|あなたと仲間のマナ回復を上げるオーラを付与します |당신과 당신의 아군에게 게임의 모든 버프를 제공하는 천사의 힘을 부여합니다.|Verleiht Ihnen die Macht der Engel, die Ihnen und Ihren Verbündeten jeden Buff im Spiel verleiht|Vous confère le Pouvoir angélique qui vous apporte, à vous et à vos alliés, toutes les auras du jeu.
aura_desc_93|Grants you an aura that increases you and your allies mana regeneration||Concede a você e seus aliados uma aura que aumenta a regeneração de mana|Дает вам ауру, которая увеличивает регенерацию маны вам и вашим союзникам.|賦予你一種光環，提高你和你的盟友的魔法值恢復|何もない |당신과 당신의 아군의 마나 재생을 증가시키는 오라를 부여합니다.|Verleiht Ihnen eine Aura, die Ihre Manaregeneration und die Ihrer Verbündeten erhöht |Vous confère une aura qui augmente votre Régénération de Mana et celle de vos alliés.
nothing|Nothing|Ei mitään|Nada|Ничего|什麼也沒發生 ||아무것도 없음|Nichts |Rien
|||||||||||
[Professions]|||||||||||
mining|Mining|Louhiminen|Mineração|Добыча|採礦|薬草学|채광|Bergbau|Extraction
herbalism|Herbalism|Yrttitaito|Herbalismo|Травничество|草藥學|エンチャント|약초학|Herbalismus|Herboristerie
enchanting|Enchanting|Lumoaminen|Encantamento|Очарование|附魔|宝石細工 |매혹|Verzaubern|Enchantement
jewelcrafting|Jewelcrafting|Korutyötaito|Fabricação de Joias|Ювелирное дело|珠寶加工 |銅鉱石|쥬얼 제작|Juwelierkunst |Joaillerie
copper_ore|Copper Ore|Kuparimalmi|Minério de Cobre|Медная руда|銅礦石|鉄鉱石|구리 광석|Kupfererz|Minerai de cuivre
iron_ore|Iron Ore|Rautamalmi|Minério de Ferro|Железная руда|鐵礦石|金鉱石|철 광석|Eisenerz|Minerai de fer
gold_ore|Gold Ore|Kultamalmi|Minério de Ouro|Золотая руда|金礦石|ルビー鉱石|금 광석|Golderz|Minerai d'or
ruby_ore|Ruby Ore|Rubiinimalmi|Minério de Rubi|Рубиновая руда|紅寶石礦石|ヒスイ鉱石|루비 광석|Rubinerz|Minerai de rubis
jade_ore|Jade Ore|Jademalmi|Minério de Jade|Нефритовая руда|玉礦石|タレティウス鉱石 |옥 광석|Jadeerz|Minerai de jade
tarethium_ore|Tarethium Ore|Tarethium malmi|Minério de Tarethium|Таретиевая руда|T礦石 |銅鉱脈|타레티움 광석|Tarethius-Erz |Minerai de Tarethium
copper_node|Copper Vein|Kuparisuoni|Veio de Cobre|Медная жила|銅礦脈|鉄鉱脈|구리 광맥|Kupfervene|Filon de cuivre
iron_node|Iron Vein|Rautasuoni|Veio de Ferro|Железная жила|鐵礦脈|金鉱脈|철 광맥|Eisenvene|Filon de fer
gold_node|Gold Vein|Kultasuoni|Veio de Ouro|Золотая жила|金礦脈|ルビー鉱脈|금 광맥|Goldvene|Filon d'or
ruby_node|Ruby Vein|Rubiinisuoni|Veio de Rubi|Рубиновая жила|紅寶石礦脈|ジェイドサウンズ|루비 광맥|Rubinvene|Filon de rubis
jade_node|Jade Vein|Jadesuoni|Veio de Jade|Нефритовая жила|玉礦脈|タレジウム音 |옥 광맥|Jadesounds|Filon de jade
tarethium_node|Tarethium Vein|Tarethium suoni|Veio de Tarethium|Таретиевая жила|塔雷希爾礦脈 |遠隔攻撃を抵抗|타레티움 광맥|Tarethium klingt |Filon de Tarethium
ranged_resistance|Ranged Resistance|Kaukokestävä|Resistência à Distância|Сопротивление дальнему бою|遠程攻擊抗性|反射|원거리 공격 저항력|Fernkampfwiderstand|Résistance à distance
reflection|Reflection|Heijastava|Reflexão|Отражение|反射|冷気を高める|반사|Reflexion|Réflexion
cold_enhanced|Cold Enhanced|Jäädytetty|Aprimorado pelo Frio|Холодное улучшение|冰霜強化|電化|냉기 추가|Kaltverstärkung|Glacial
electrified|Electrified|Sähköistetty|Eletrificado|Электрифицированный|帶電|灼熱|전기필드|Elektrifiziert|Électrifié
fiery|Fiery|Tulinen|Ardente|Огненный|灼熱|ジャガンナート|타오르는|Feurig|Ardent
juggernaut|Juggernaut|Juggernaut|Juggernaut|Джаггернаут|主宰|アルカナ|저거노트|Juggernaut|Juggernaut
arcana|Arcana|Arkaaninen|Arcana|Арканы|奥秘|サンダー・オービター|아르카나|Arkana|Arcane
thunder_orbiter|Thunder Orbiter|Salamoiva|Trovão Orbitante|Громовой орбитальный корабль|雷電衛星|迫撃砲|썬더 오비터|Donnersonde|Boule de Foudre
mortar|Mortar|Mörssäri|Morteiro|Миномет|迫擊炮|テレポート中|박격|Mörser|Mortier
teleporting|Teleporting|Kaukosiirtyvä|Teleporte|Телепортация|傳送|ウォーラー|순간 이동|Teleporter|Téléportation
waller|Waller|Seinästäjä|Muralha|Уоллер|圍牆|処分者|벽 건설자|Maurer|Bâtisseur
punisher|Punisher|Rankaisija|Justiceiro|Каратель|懲罰者|雷雨|처벌자|Bestrafer|Punisseur
thunderstorm|Thunderstorm|Ukkosmyrsky|Trovoada|Гроза|雷暴|群れのリーダー|썬더스톰|Gewittersturm|Tempête d'orage
pack_leader|Pack Leader|Laumanjohtaja|Líder da Matilha|Вожак стаи|召喚護衛|再開|무리 리더|Rudelführer|Chef de meute
resume|Resume|Jatka|Retomar|Возобновить|繼續遊戲|リスタート|재개|Fortsetzen|Reprendre
restart|Restart|Aloita alusta|Reiniciar|Перезапуск|重新開始|セーブ＆終了|재시작|Neustart|Redémarrer
save_and_exit|Save & Exit|Tallenna & lopeta|Salvar e Sair|Сохранить и выйти|保存&退出|残りのポイント|저장 후 종료|Speichern & Beenden|Sauver & quitter
points_left|Points Left|Pisteitä jäljellä|Pontos Restantes|Осталось очков|剩餘點數|割り当てられたポイント|남은 포인트|Verbleibende Punkte|Point(s) restant(s)
points_assigned|Points Assigned|Pisteitä lisätty|Pontos Atribuídos|Назначенные баллы|分配的點數|削除されたポイント |할당된 포인트|Zugewiesene Punkte|Points attribués
points_removed|Points Removed|Pisteitä poistettu|Pontos Removidos|Снятые баллы |刪除的點數 |傭兵|제거된 포인트|Entfernte Punkte |Points supprimés 
minion_talents|Mercenary|Palkkasoturi|Mercenário|Наемник|傭兵|プレイヤー|용병|Söldner|Mercenaire
att_talents|Player|Pelaaja|Jogador|Игрок|玩家|ヒーロー・レベル|플레이어|Spieler|Joueur
incarnation_tree|Incarnation|Inkarnaatio|Encarnação |Воплощение |化身天賦樹|化身 |강생 |Inkarnation|Incarnation |Encarnación |Wcielenie
ether_tree|Ether|Eetteri|Éter |Эфир |乙太天賦樹 |エーテル |에테르 |Äther|Éther |Éter |Ether
enemies_left|Enemies left|Vihollisia jäljellä|Inimigos restantes|Осталось врагов|剩餘敵人|最後のページ|남은 적|Gegner verbleibend|Ennemis restants
last_page|Last Page|Edellinen sivu|Última Página|Последняя страница|最後一頁|次のページ|마지막 페이지|Letze Seite|Page précédente
next_page|Next Page|Seuraava sivu|Próxima Página|Следущая страница|下一頁|前のページ |다음 페이지|Nächste Seite|Page suivante
previous_page|Previous Page|Edellinen sivu|Página Anterior|Предыдущая страница |上一頁 |キー|이전 페이지|Vorherige Seite |Page précédente 
key|Key|Avain|Chave|Ключ|鑰匙|クリスタルキー|열쇠|Schlüssel|Clé
crystal_key|Crystal Key|Kristalliavain|Chave de Cristal|Хрустальный ключ|水晶鑰匙|ルーン|크리스탈 열쇠|Kristallschlüssel|Clé de cristal
runes|Runes|Riimut|Runas|Руны|符文|割り当てポイント|룬|Runen|Runes
assign_point|Assign point|Aseta piste|Atribuir ponto|Назначить точку|分配點數|ロード中|포인트 분배|Zuweisen|Attribuer un point
assign_point_multiple|Assign Multiple Points|Aseta useita pisteitä|Atribuir vários pontos |Назначить несколько точек |分配多個點數|複数のポイントの割り当て |여러 점 할당 |Mehrere Punkte vergeben|Attribuer plusieurs points |Asignar varios puntos |Przypisz wiele punktów
loading|LOADING|LADATAAN|CARREGANDO|ЗАГРУЗКА|載入中|魔法の薬剤|로딩 중|LADEN|CHARGEMENT
magic_potion|Magic Potion|Taikarohto|Poção Mágica|Волшебное зелье|魔法藥劑|ゴールド|마법 포션|Zaubertrank|Potion magique
gold|Gold|Kultaa|Ouro|Золото|金幣|クリスタル|골드|Gold|Or
crystals|Crystals|Kristallia|Cristais|Кристаллы|水晶|ルビー|크리스탈|Kristalle|Cristaux
rubies|Rubies|Rubiinia|Rubis|Рубины|紅寶石|開くために必要なキーの数|루비|Rubine|Rubis
requires_key|Key needed to open|Vaatii avaimen|Chave necessária para abrir|Ключ, необходимый для открытия|打開所需鑰匙數量|開くために必要なクリスタルキーの数|열려면 열쇠가 필요합니다|Schlüssel zum Öffnen erforderlich|Clé nécessaire pour ouvrir
requires_crystal_key|Crystal key needed to open|Vaatii kristalliavaimen|Chave de cristal necessária para abrir|Хрустальный ключ, необходимый для открытия|打開所需水晶鑰匙數量キーを見つけた！|열러면 크리스탈 열쇠가 필요합니다|Kristallschlüssel zum Öffnen erforderlich|Clé de cristal nécessaire pour ouvrir
found_key|Found a Key!|Löysit avaimen!|Encontrei uma Chave!|Нашел ключ!|找到一把鑰匙！|クリスタルキーを見つけた！|열쇠 발견!|Ich habe einen Schlüssel gefunden!|Clé trouvée !
found_crystal_key|Found a Crystal Key!|Löysit kristalliavaimen!|Encontrei uma Chave de Cristal!|Найден хрустальный ключ!|找到一把水晶鑰匙！|ゲームをセーブしています...|크리스탈 열쇠 발견!|Ich habe einen Kristallschlüssel gefunden!|Clé de cristal trouvée !
saving_game|Saving the game...|Tallennetaan peliä...|Salvando o jogo...|Сохранение игры...|正在保存遊戲...|あなたが死亡しました|게임을 저장하는 중입니다...|Das Spiel wird gespeichert...|Sauvegarde de la partie...
you_died|You Died|Sinä kuolit|Você Morreu|Вы умерли|你已經死了|死亡の原因は|당신은 죽었습니다|Du bist gestorben|Vous êtes mort
death_by|Death by|Kuoleman tuotti|Morte por|Смерть от|死因|ワームホールレベルをアップグレード|죽은 원인|Tod durch|Tué par
upgrade_wormhole|Upgrade Wormhole Level|Päivitä madonreiän taso|Aumentar o Nível do Buraco de Minhoca|Улучшить уровень червоточины|提升蟲洞層數|他のプレイヤーを待っています|웜홀 레벨 업그레이드|Upgrade Wurmloch-Level|Améliorer le niveau du Vortex
waiting_for_players|Waiting for players to join...|Odotetaan pelaajia...|Esperando jogadores participarem...|Ждём присоединения игроков...|等待玩家加入...|プレイヤー（達）はワームホールに入っていきます|다른 플레이어를 기다리는중...|Warte auf Beitritt von Spielern...|En attente de joueurs...
entering_wormhole|player(s) entering wormhole|pelaaja(a) menossa madonreikään|jogador(es) entrando no buraco de minhoca|игрок(и) входит в червоточину|玩家(s)進入蟲洞|チャレンジダンジョンに入るプ(s)レイヤー|플레이어가 웜홀에 입장합니다|Spieler treten dem Wurmloch bei|joueur(s) entrant dans le Vortex
entering_challenge_dungeon|player(s) entering challenge dungeon|pelaaja(a) menossa haastetyrmään|jogador(es) entrando na masmorra do desafio|игрок(и) входит в подземелье испытания|玩家(s)進入挑戰地下城|カオスタワーに入るプレイヤー|챌린지 던전에 입장하는 플레이어|Spieler betreten den Herausforderungsdungeon|joueur(s) entrant dans le Donjon défi
entering_chaos_tower|player(s) entering Chaos Tower|pelaaja(a) menossa kaaostorniin|jogador(es) entrando na torre do caos|игрок(и), входящие в Башню Хаоса|玩家(s)進入混沌之塔|ルビーガーデンに入るプレイヤー |카오스 타워에 입장하는 플레이어|Spieler betreten den Chaos Tower|joueur(s) entrant dans la Tour du chaos
entering_ruby_garden|player(s) entering Ruby Gardens|pelaaja(a) menossa rubiinipuutarhaan|jogador(es) entrando nos Jardins de Rubi|игрок(и), входящий(ие) в Ruby Gardens |玩家(s)進入紅寶石花園 |モンスターレベル|루비 가든에 입장하는 플레이어|Spieler betreten die Ruby Gardens |joueur(s) entrant dans Ruby Gardens 
entering_chamber_existence|player(s) entering Chamber of Existence|pelaaja(a) menossa olemassaolon kammioon|Jogador(es) entrando na Câmara da Existência|Игрок(и) входят в Палату Существования|玩家(s)進入存在之室|プレイヤーが「存在の間」に入場しました|플레이어가 존재의 방에 입장 중입니다.|Spieler betreten die Kammer der Existenz|Joueur(s) entrant dans la Chambre de l'Existence|Jugador(es) entrando en la Cámara de la Existencia|gracz(e) wchodzi do Komnaty Istnienia
zone_in_progress|Zone in progress|Alue käynnissä|Zona em andamento |Зона в процессе |區域進行中 |ゾーン進行中 |진행 중인 구역 |Zone in Bearbeitung|Zone en cours |Zona en curso |Strefa w toku
monster_level|Monster Level|Vihollisten taso|Nível do Monstro|Уровень монстра|怪物等級|キー|몬스터 레벨|Monsterlevel|Monstre niveau
keys|Keys|Avaimet|Chaves|Ключи|鑰匙|ヘルス全回復！|열쇠|Schlüssel|Clés
potion_use_health|Full Health!|Täydet elämät!|Vida Máxima!|Полное здоровье!|恢復所有生命值！|＜ビーチボール＞を上げる|체력이 전부 회복됐습니다!|Volle Lebenspunkte|Santé complète !
lift_beachball|Lift <Beachball>|Nosta <Rantapallo>|Levantar <Bola de Praia>|Поднимите <Пляжный мяч>|舉起<海灘球>|<ビーチボール>を投げる |<비치 볼> 들기|Heben <Strandball>|Porter le ballon de plage
throw_beachball|Throw <Beachball>|Heitä <Rantapallo>|Arremessar <Bola de Praia>|Бросай <пляжной мяч> |投擲<海灘球> |＜角石＞を上げる|<비치볼>을 투척|Werfen <Strandball> |Lancer <Ballon de plage> 
lift_square_stone|Lift <Square Stone>|Nosta <Neliökivi>|Levantar <Pedra Quadrada>|Поднимите <Квадратный камень>|舉起<方石>|＜ムーン・ストーン＞を上げる|<네모난 돌> 들기|Heben <Quadratischer Stein>|Ramasser la pierre carrée
lift_moon_stone|Lift <Moon Stone>|Nosta <Kuukivi>|Levantar <Pedra da Lua>|Поднимите <Лунный камень>|舉起<月亮石>|＜丸石＞を上げる|<달 모양 돌> 들기|Heben <Mond-Stein>.|Prendre la pierre lune
lift_round_stone|Lift <Round Stone>|Nosta <Pallokivi>|Levantar <Pedra Redonda>|Поднимите <Круглый камень>|舉起<圓石>|＜トライアングル・ストーン＞を上げる|<둥근 돌> 들기|Heben <Rund-Stein>|Soulever la pierre ronde
lift_triangle_stone|Lift <Triangle Stone>|Nosta <Kolmiokivi>|Levantar <Pedra Triangular>|Поднимите <Треугольный камень>|舉起<三角石>|リフトディスク|<세모난 돌> 들기|Heben <Dreieck-Stein>|Récupérer la pierre triangulaire
lift_disc|Lift Disc|Nosta kiekko|Pegar Disco|Подъемный диск|舉起圓盤|フェアウェイドライバー|디스크 들기|Lift Disc|Disque de levage
disc_driver|Fairway Driver|Väylän kuljettaja|Disco Fairway|Драйвер фервея|球道發球桿|パター|페어웨이 드라이버|Fairway-Driver|Driver de parcours
disc_putter|Putter|Putteri|Putter|Паттер|推桿|ミッドレンジ |퍼터|Putter|Putter
disc_midrange|Midrange|Keskialue |Intermediário|Средний диапазон |中距離 ||미드레인지|Mittelklasse |Milieu de gamme 
wormhole_key|Next Wormhole|Seuraava Madonreikä|Próximo Buraco de Minhoca|Следующая червоточина|下一個蟲洞|見つかった|다음 웜홀|Wurmloch-Schlüssel|Prochain Vortex
found_item|Found|Löysit|Encontrado|Найденный|發現|拾う|획득|Gefunden|Trouvé
pick_up_item|Pick up|Nosta|Pegar|Подобрать|拾取|交流する |줍기|Aufheben|Ramasser
interact|Interact|Käytä|Interagir|Взаимодействовать |互動||상호작용|Interagieren |Interagir 
|||||||||||
satanic_dice|Satanic Dice|Saatanallinen noppa|Dado Satânico|Сатанинские кости|撒旦骰子|リロール|사탄의 주사위|Satanischer Würfel|Dé Satanique
reroll|Re-roll|Arvo uudelleen|Rolar novamente|Перебросить|重骰|リロールトークン|다시굴림|Reroll|Relance
reroll_token|Re-roll Token|Uusiopoletti|Token de Re-roll|Перебросить жетон|重骰令牌|アップグレードトークン|다시굴림 토큰|Reroll-Token|Jeton de Relance
upgrade_token|Upgrade Token|Päivityspoletti|Token de Melhoria|Обновить токен|升级令牌|アビリティトークン|업그레이드 토큰|Aufrüst-Token|Jeton d'amélioration
offensive_token|Ability Token|Taitopoletti|Token de Habilidade|Жетон способности|能力令牌|+1 Socket Token|능력 토큰|Fähigkeits-Token|Jeton d'aptitude
socket_token|+1 Socket Token|+1 Paikkapoletti|Token de +1 Engaste|+1 жетон гнезда|开孔令牌|魔王の粉|+1 소켓 토큰|+1 Socket Token|Jeton d'emplacement
satanic_powder|Satanic Powder|Saatanallinen pulveri|Pó Satânico|Сатанинский порошок|惡魔粉末|神話の粉|사탄 파우더|Satanisches Pulver|Cendre satanique
mythic_powder|Mythic Powder|Myyttinen pulveri|Pó Mítico|Мифический порошок|神話粉末|伝説の粉|신화 파우더|Mythisches Pulver|Cendre mythique
legendary_powder|Legendary Powder|Legendaarinen pulveri|Pó Lendário|Легендарный порошок|傳奇粉末||전설의 파우더|Legendäres Pulver|Cendre légendaire
damage_on_impact|damage on impact.|vahinkoa osuessaan.|dano no impacto|урон при ударе.|衝擊傷害。|アチーブメントがアンロックされました。|충돌 시 대미지.|Schaden bei Aufprall.|dégâts à l'impact.
achievement_unlocked|Achievement Unlocked|Saavutus avattu|Conquista Desbloqueada|Достижение разблокировано|成就達成|終了|업적 잠금해제|Errungenschaft freigeschaltet|Succès débloqué
complete|Complete|Läpäise|Concluído|Полный|完成|殺害|완료|Abgeschlossen|Terminé
kill|Kill|Tapa|Matar|Убийство|擊殺|モンスターを殺害しました！|처치|Tötung|Tuer
monsters_killed|monsters killed!|vihollista tapettu!|monstros mortos!|монстры убиты!|擊殺怪物！|回収|몬스터 처치!|Monster getötet!|monstres tués !
collect|Collect|Kerää|Coletar|Собирать|收集|ワームホールレベル|수집|Sammeln|Collecter
wormhole_level|Wormhole level|Madonreiän taso|Nível de Buraco de Minhoca|Уровень червоточины|蟲洞層數|30秒以内に悪魔の両手を破壊します！|웜홀 레벨|Wurmloch-Level|Vortex niveau
achievement_satans_hands|Destroy Satan's both hands in less than 30 seconds!|Tuhoa Saatanan molemmat kädet alle 30 sekunnissa!|Destrua as duas mãos de Satã em menos de 30 segundos!|Уничтожьте обе руки Сатаны менее чем за 30 секунд!|在30秒內摧毀撒旦的雙手！|すべてのヒーローでレベル100に到達します！|사탄의 양손을 30초 내에 파괴!|Zerstöre beide Hände von Satan in weniger als 30 Sekunden!|Détruisez les deux mains de Satan en moins de 30 secondes !
achievement_all_heroes_100|Reach Level 100 with every Hero!|Saavuta taso 100 jokaisella sankarilla!|Atinja o Nível 100 com cada um dos Heróis!|Достигните 100-го уровня каждым героем!|用每個英雄達到100級！|5000個の茂みを破壊します！|모든 영웅으로 100 레벨 달성!|Erreiche mit jedem Held Stufe 100!|Atteignez le niveau 100 avec chaque héros !
achievement_5000_bushes|Demolish 5000 bushes!|Tuhoa 5000 puskaa!|Derrube 5.000 arbustos!|Снести 5000 кустов!|摧毀5000棵灌木！|悪魔のアイテムを手に入れます！|덤불 5000개 파괴!|Zerstöre 5.000 Büsche!|Abattez 5 000 buissons !
achievement_satanic_item|Obtain a Satanic item!|Poimi Saatanallinen esine!|Obtenha um item Satânico!|Получите сатанинский предмет!|獲得一個惡魔物品！|マルチプレイヤーゲームを4人でプレイします！|사탄 아이템 획득!|Erhalte einen satanischen Gegenstand!|Obtenez un objet satanique !
achievement_4_player_play|Play a Multiplayer game with 4 players!|Pelaa moninpeliä 4 pelaajan kanssa!|Jogue no modo Multijogador com 4 jogadores!|Сыграйте в многопользовательскую игру с 4 игроками!|與4名玩家進行多人遊戲！|4人でのゲームを終了します！|플레이어 4명과 함께 멀티플레이어 게임 플레이!|Spiel ein Mehrspielerspiel mit 4 Spielern!|Jouez une partie multijoueur avec 4 joueurs !
achievement_4_player_complete|Complete the game with 4 players!|Läpäise peli 4 pelaajan kanssa!|Conclua o jogo com 4 jogadores!|Пройдите игру вчетвером!|與4名玩家完成遊戲！|古代のモンスターを殺害します！|플레이어 4명과 함께 게임 완료!|Schließe das Spiel mit 4 Spielern ab!|Terminez le jeu à 4 joueurs !
