[enemies]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
e_spiderCritter_2|Spider Critter|Hämähäkkiotus|Criatura Aracnídea|Паучья Тварь|蛛型生物|クモのクリッター|스파이더 크리터|Spinnentier|Araignée|Criatura Araña|Pająk Mały
e_spiderCritter_3|Spider Critter|Hämähäkkiotus|Criatura Aracnídea|Паучья Тварь|蛛型生物|クモのクリッター|스파이더 크리터|Spinnentier|Araignée|Criatura Araña|Pająk Mały
e_helheimSpider_1|Helheim Arachnid|Helheimin hämähäkkieläin|Aracnídeo de Helheim|Паукообразный из Хельхейма|海爾海姆蜘蛛|ヘルヘイムのクモ類|헬헤임 아락니드|Helheim-Arachnid|Arachnide de Helheim|Arácnido de Helheim|Pająk Helheim
e_helheimSpider_2|Helheim Arachnid|Helheimin hämähäkkieläin|Aracnídeo de Helheim|Паукообразный из Хельхейма|海爾海姆蜘蛛|ヘルヘイムのクモ類|헬헤임 아락니드|Helheim-Arachnid|Arachnide de Helheim|Arácnido de Helheim|Pająk Helheim
e_helheimSpider_3|Helheim Arachnid|Helheimin hämähäkkieläin|Aracnídeo de Helheim|Паукообразный из Хельхейма|海爾海姆蜘蛛|ヘルヘイムのクモ類|ヘルヘ임 아락니드|Helheim-Arachnid|Arachnide de Helheim|Arácnido de Helheim|Pająk Helheim
e_corruptedArcher_1|Corrupted Archer|Turmeltunut jousimies|Arqueiro Corrompido|Испорченный Лучник|墮落弓箭手|堕落した射手|커럽티드 아처|Verderbter Bogenschütze|Archer corrompu|Arquero Corrupto|Skażony Łucznik
e_corruptedArcher_2|Freljord Marksman|Freljordin tarkka-ampuja|Atirador de Freljord|Стрелок из Фрельйорда|弗雷爾卓德神射手|フレヨルドの狙撃手|프렐요르 마크스맨|Freljord-Schütze|Franc-tireur de Freljord|Tirador de Freljord|Strzelec Freljordu
e_corruptedArcher_3|Frostbitten Sharpshooter|Pakastunut tarkka-ampuja|Atirador Queimado pelo Frio|Обмороженный Снайпер|凍傷神射手|凍傷の射手|프로스트비튼 샤프슈터|Erfrorener Scharfschütze|Tireur d'élite mordu par le gel|Francotirador Congelado|Odmrożony Snajper
e_tribalDoll_1|Tribal Doll|Heimojen nukke|Boneca Tribal|Племенная Кукла|部落玩偶|部族の人形|트라이벌 돌|Stammespuppe|Poupée tribale|Muñeca Tribal|Plemienna Lalka
e_tribalDoll_2|Voodoo Lurker|Voodoo-väijyjä|Espreitador Voodoo|Скрывающийся Вудуист|巫毒潛伏者|ブードゥーの潜伏者|부두 러커|Voodoo-Lauerer|Rôdeur vaudou|Acechador Vudú|Czający Się Voodoo
e_tribalDoll_3|Tikitaki|Tikitaki|Tikitaki|Тикитаки|滴答滴答|チキタキ|티키타키|Tikitaki|Tikitaki|Tikitaki|Tikitaki
e_harpy_1|Harpy|Harpyia|Harpia|Гарпия|鷹身女妖|ハーピー|하르피|Harpyie|Harpie|Arpía|Harpia
e_harpy_2|Wind Gusher|Tuulenpoistaja|Propagadora de Ventos|Поток ветра|颶風噴吐者|風の噴出者|윈드 거셔|Windsprudler|Hurl'vent|Ráfaga de Viento|Wyrzutnia Wiatru
e_harpy_3|Furyclaw|Rauhakynsi|Garra Furiosa|Фурийная Лапка|怒爪女妖|怒り爪|퓨리클로|Wutklaue|Furie griffue|Garra Furiosa|Furyclaw
e_mechPirate_1|Mech Pirate|Mekaaninen merirosvo|Pirata Mech|Механический Пират|機械海賊|メックパイレーツ|메크 파이어럿|Mech-Pirat|Mécha pirate|Pirata Mecánico|Mech Pirat
e_mechPirate_2|Dreadnaut|Dreadnaut|Temerário|Дредноут|無畏水手|ドレッドノート|드레드노트|Dreadnaut|Effroi-telot|Nauta del Terror|Dreadnaut
e_mechPirate_3|Ironcut Trooper|Rautaleikkurisoturi|Tropa Corta-ferro|Солдат с Железными Зубами|鐵裁步兵|アイアンカット兵|아이언컷 트루퍼|Eisenhauer|Équipage coupe-fer|Soldado Cortahierro|Żelazny Ciężkozbrojny
e_mechGunner_1|Flintlock Gunner|Piilukkopiiskari|Artilheiro de Pederneira|Стрелок с кремневым ружьем|燧發槍手|フリントロック砲手|플린트록 거너|Steinschlossschütze|Tireur à la carabine à silex|Artillero de Pedernal|Strzelec Flintlock
e_mechGunner_2|Blazecannoner|Lieketykkimies|Canhoneiro Ardente|Канонир Пламени|熾焰砲手|ブレイズキャノンナー|블레이즈캐넌너|Losbrandschütze|Canonnier à flamme|Cañonero Ardiente|Blazecannoner
e_mechGunner_3|Gunsworn Sharpshooter|Aseistettu tarkka-ampuja|Atirador de Elite Armado|Закаленный в Стрельбе Снайпер|誓槍神射手|ガンスウォーン射手|건스워른 샤프슈터|Scharfschütze mit Waffengewalt|Tireur d'élite armé|Francotirador Jurado|Zaprzysiężony Snajper
e_valhallaBear_1|Grizzlepaw Bruin|Harmaatassun Bruin|Urso Pardo Machão|Синяк из Сизолапки|灰爪棕熊|グリズルポー・ブルイン|그리즐포우 브루인|Graupfotenbruin|Bruin patte de grizzly|Oso Pardo Grisáceo|Grizzlepaw Bruin
e_valhallaBear_2|Freljord Usant|Freljordin Usantti|Urso de Freljord|Freljord Usant|弗雷爾卓德戰熊|フレヨルドのウサント|프렐요르 우산트|Freljord-Usant|Usant des grands froids|Oso de Freljord|Freljord Usant
e_valhallaBear_3|Raging Ursus|Raivoava Ursus|Urso Enfurecido|Разъяренный Урсус|狂暴烏爾薩斯|怒れるウルスス|레이징 어서스|Wütend Ursus|Ursus enragé|Oso Enfurecido|Wściekły Ursus
e_crab_1|Clawlasher|Kynsilaskija|Garra-chicote|Когтерез |鞭爪蟹|クローラッシャー|클로우래셔|Krallenpeitscher|Griffeur|Garralátigo|Rozszarpujący Pazurami
e_crab_2|Coralcrusher|Korallinmurskaaja|Esmaga-coral|Коралловый дробитель |碎珊瑚蟹|コーラルクラッシャー|코랄크러셔|Korallenbrecher|Brise-corail|Trituracoral|Rozgniatacz Koralowców
e_crab_3|Razorshell|Partakoneenkuori|Concha-lâmina|Бритвенный панцирь |剃刀甲蟹|レイザーシェル|레이저셸|Schneidpanzer|Écaille-rasoir|Concha Navaja|Ostry Szpon
e_valhallaWraith_1|Wraith|Haave|Fantasma |Призрак |幽魂|レイス|레이쓰|Gespenst|Spectre|Espectro|Zjawa
e_valhallaWraith_2|Helheim Corruptor|Helheimin turmeltunut|Corruptor de Helheim|Хельхеймский осквернитель|冥獄腐化者|ヘルヘイムの堕落者|헬헤임 커럽터|Helheim-Verderber|Corrupteur d'Helheim|Corruptor de Helheim|Zepsuty Helheim
e_valhallaWraith_3|Soulfeaster|Sielunjuoksija|Come-almas|Душепожиратель|噬魂者|魂の大食らい|소울피스터|Seelenfresser|Pâque-âmes|Devorador de Almas|Pożeracz Dusz
e_bogMushroom_1|Shroomer|Siiluntekijä|Cogumelinho|Грибник|蕈精|シュルーマー|슈루머|Pilzsammler|Champignon|Setero|Grzybiarz
e_bogMushroom_2|Big Cap|Iso Cap|Touca Grande|Большая шапка|大蕈傘|ビッグキャップ|빅 캡|Große Kappe|Grande casquette|Sombrero Grande|Duża Czapka
e_bogMushroom_3|Colossal Shroom|Kolossaalinen siipi|Cogumelo Colossal|Колоссальный гриб|巨型蕈精|巨大キノコ|콜로설 슈룸|Kolossaler Pilz|Champignon colossal|Seta Colosal|Kolosalny Grzyb
e_cursedElf_1|Cursed Elf|Kirottu Haltia|Elfo Amaldiçoado|Проклятый эльф|受詛精靈|呪われたエルフ|커스드 엘프|Verfluchter Elf|Elfe maudit|Elfo Maldito|Przeklęty Elf
e_cursedElf_2|Possessed Elf|Riivattu haltia|Elfo Possuído|Одержимый эльф|附身精靈|憑依されたエルフ|포제스드 엘프|Besessener Elf|Elfe possédé|Elfo Poseído|Opętany Elf
e_cursedElf_3|Damned Elf|Kirottu haltia|Elfo Maldito|Проклятый эльф|墮落精靈|堕落したエルフ|댐드 엘프|Verdammter Elf|Elfe damné|Elfo Condenado|Potępiony Elf
e_bogNagaWarrior_1|Forest Naga|Metsänaga|Naga da Floresta|Лесная нага|森林納迦|森のナーガ|포레스트 나가|Waldnaga|Naga des forêts|Naga del Bosque|Leśna Naga
e_bogNagaWarrior_2|Bogplain Reptile|Suotasangon matelija|Réptil do Pantanal|Топольная рептилия|沼原蜥蛇|沼平原の爬虫類|보그플레인 레프틸|Moorreptil|Reptile des marais|Reptil del Pantano|Gad Bagienny
e_bogNagaWarrior_3|Molding Slither|Muovautuva luikertelija|Cobra Descamada|Плесневеющий ползучий|發黴蛇魔|腐るスリザー|몰딩 슬리더|Formender Schlitter|Glissement modelant|Serpiente Mohosa|Pleśniowy Slither
e_bogParasect_1|Shrub Parasite|Pensasloinen|Parasita de Arbustos|Кустарниковый паразит|灌木寄生蟲|茂みの寄生体|슈럽 파라사이트|Strauchparasit|Parasite d'arbuste|Parásito de Arbustos|Pasożyt Krzewów
e_bogParasect_2|Toxicating Anomaly|Myrkyllinen poikkeama|Anomalia Tóxica|Отравляющая аномалия|致毒異象|毒する異常体|톡시케이팅 어노말리|Vergiftende Anomalie|Anomalie toxique|Anomalía Tóxica|Toksyczna Anomalia
e_bogParasect_3|Leeching Monstrosity|Ilmahtava hirviö|Monstruosidade Sanguessuga|Пиявающий монстр|吸血怪物|吸血の怪物|리칭 몬스트로시티|Aussaugende Monstrosität|Monstruosité suceuse|Monstruosidad Sanguijuela|Wysysająca Potworność
e_bellCrawler_1|Bell Crawler|Kelloryömijä |Rastejador de Sinos|Ползучий колокол|鐘形爬行者|ベルクローラー|벨 크롤러|Glockenkriecher|Rampeur de cloches|Reptante de Campanas|Pełzacz Dzwonków
e_bellCrawler_2|Timefueled Crab|Aikapolttoaineella varustettu Rapu|Caranguejo Temporal|Тайный краб|時能螃蟹|時の蟹|타임퓨얼드 크랩|Zeitgetriebene Krabbe|Crabe alimenté par le temps|Cangrejo Temporal|Krab Napędzany Czasem
e_bellCrawler_3|Timelost Lobster|Aikakadonnut Hummeri|Lagosta do Tempo Perdido|Затерянный во времени омар|時空迷途龍蝦|時を失ったロブスター|타임로스트 랍스터|Zeitverlorener Hummer|Homard perdu dans le temps|Langosta del Tiempo Perdido|Zagubiony Homar
e_fallenLegion_1|Fallen Legion|Langentunut Legioona|Legião Caída|Падший легион|墮落軍團|堕ちた軍団|폴른 리전|Gefallene Legion|Légion déchue|Legión Caída|Upadły Legion
e_fallenLegion_2|Commander of Time|Ajan Komentaja|Comandante do Tempo|Командир времени|時間指揮官|時の指揮官|커맨더 오브 타임|Kommandant der Zeit|Commandeur du temps|Comandante del Tiempo|Dowódca Czasu
e_fallenLegion_3|Void General|Tyhjiökenraali|General do Vazio|Генерал пустоты|虛空將軍|虚無の将軍|보이드 제너럴|Leerengeneral|Général du vide|General del Vacío|Generał Otchłani
e_fallenMage_1|Tickering Magi|Tikkivät Magit|Mago Tique-taque|Тиккинговый маг|時鐘魔術師|チクチクする魔術師|티커링 마지|Tickernder Magier|Mage vacillant|Mago Tic-tac|Tickering Magi
e_fallenMage_2|Timeless Mystic|Ajaton Mystikko|Místico Atemporal|Вневременной мистик|永恆秘術師|時なき神秘者|타임리스 미스틱|Zeitloser Mystiker|Mystique intemporel|Místico Atemporal|Bezczasowy Mistyk
e_fallenMage_3|Horizon Seeker|Horisontin Etsijä|Buscador do Horizonte|Искатель горизонта|地平線尋求者|地平の探求者|호라이즌 시커|Horizontsucher|Chercheur d'horizon|Buscador del Horizonte|Poszukiwacz Horyzontu
e_abyssalHatredCultist_1|Abyssal Hatred Cultist|Syvyysvihan Kultisti|Cultista do Ódio Abissal|Культист бездны ненависти|深淵仇恨教徒|深淵の憎悪の狂信者|어비스얼 헤이트 컬티스트|Kultist des Abgrunds des Hasses|Sectateur de la haine abyssale|Cultista del Odio Abismal|Kultysta Nienawiści Otchłani
e_abyssalHatredCultist_2|Malevolent Zealot|Pahantahtoinen Kiihkoilija|Fanático Malevolente|Злобный фанатик|邪惡狂熱者|悪意ある熱狂者|말레볼런트 제로트|Böswilliger Eiferer|Zélote malveillant|Fanático Malévolo|Złośliwy Fanatyk
e_abyssalHatredCultist_3|High Cultist of the Abyss|Syvyysvihan Korkea Kultisti|Grande Cultista do Abismo|Верховный культист бездны|深淵高階教徒|深淵の上級狂信者|하이 컬티스트 오브 더 어비스|Hoher Kultist des Abgrunds|Sectateur supérieur des abysses|Alto Cultista del Abismo|Wysoki Kultysta Otchłani
e_hatredcladRattlebone_1|Hatredclad Rattlebone Warrior|Vihan Verhoama Rattlebone-soturi|Guerreiro Hatredclad Rattlebone|Одетый в ненависть воин из гремучей кости|恨鎧響骨戰士|憎悪纏いしガラガラ骨の戦士|헤이트클래드 랏틀본 워리어|Hassverkleideter Klapperknochenkrieger|Guerrier aux os à sonnettes vêtu de haine|Guerrero Hueso Crepitante del Odio|Wojownik Rattlebone w Pancerzu Nienawiści
e_hatredcladRattlebone_2|Dreadforged Warrior of Malice|Pahantahtoisen Soturin|Guerreiro da Malícia Terrorforjado|Закаленный в ужасе воин злобы|懼鍛惡意戰士|悪意に鍛えられし戦士|드레드포지드 워리어 오브 말리스|Schreckensgeschmiedeter Krieger der Bosheit|Guerrier de la malice forgé par l'effroi|Guerrero de Malicia Forjado en Terror|Kowalem Strachu Wykuty Wojownik Złośliwości
e_hatredcladRattlebone_3|Vengeance Legionnaire|Kostolegioonalainen|Legionário da Vingança|Легионер мести|復仇軍團兵|復讐の軍団兵|벤지언스 리전네어|Rachelegionär|Légionnaire vengeur|Legionario de la Venganza|Legionista Zemsty
e_shadowborneWraith_1|Shadowborne Wraith of Hatred|Varjossa Syntynyt Vihan Aave|Espectral Sombrio do Ódio|Теневое привидение ненависти|恨生暗影幽魂|憎悪に生まれし影のレイス|섀도우본 레이쓰 오브 헤이트|Schattengeborener Geist des Hasses|Spectre de la haine des ombres|Espectro Sombrio del Odio|Widmo Cienia Nienawiści
e_shadowborneWraith_2|Umbral Specter|Sateenvarjoaave|Espectro Umbral|Теневой призрак|陰影幽魂|影のスペクター|엄브랄 스펙터|Umbrales Gespenst|Spectre ombral|Espectro Umbral|Mroczny Widmo
e_shadowborneWraith_3|Harbringer of Wrath|Vihan Airu|Mensageiro da Ira|Предвестник гнева|憤怒先兆者|怒りの先触れ|하르빙거 오브 래스|Herold des Zorns|Messager de la colère|Heraldo de la Ira|Herold Gniewu
e_vengefulSentinel_1|Vengeful Sentinel|Kostonhimoinen Vartija|Sentinela Vingativo|Мстительный страж|復仇哨兵|復讐の哨戒者|벤지풀 센티넬|Rachsüchtiger Wächter|Vengeur Sentinelle|Centinela Vengativo|Mścicielski Strażnik
e_vengefulSentinel_2|Horned Guardian|Sarvipäinen Suojelija|Guardião Chifrudo|Рогатый Страж|角質守衛|角持つ守護者|호른드 가디언|Gehörnter Wächter|Gardien cornu|Guardián Cornudo|Rogatych Strażnik
e_vengefulSentinel_3|Hateforged Colossus|Vihan Sekoittama Kolossi|Colosso Forjado do Ódio|Колосс Ненависти|恨鍛巨像|憎しみに鍛えられし巨像|헤이트포지드 콜로서스|Hassgeschmiedeter Koloss|Colosse forgé par la haine|Coloso Forjado en Odio|Kolosal Nienawiści Kowany
e_wrathshotBoneMarksman_1|Wrathshot Bone Marksman|Vihan Ampuma-Luu-Markkinamies|Atirador Esqueleto|Костяной стрелок Гневного выстрела|怒射骨神射手|怒り撃つ骨の射手|래스샷 본 마크스맨|Zornschussknochen Scharfschütze|Tireuse d'os à tir de colère|Tirador de Huesos Enojado|Kościany Strzelec Gniewu
e_wrathshotBoneMarksman_2|Cursed Spine Archer|Kirottu Selkärangan Jousimies|Arqueiro da Espinha Maldita|Проклятый лучник|受詛脊骨弓箭手|呪われし背骨の射手|커스드 스파인 아처|Verfluchter Rückenbogenschütze|Arbalète à colonne vertébrale maudite|Arquero de Espina Maldita|Przeklęty Łucznik Kręgosłupa
e_wrathshotBoneMarksman_3|Necrostorm Arbalest|Nekromyrsky Arbalet|Arbalete da Tempestade Necrótica|Арбалетчик Некрошторма |死靈風暴弩手|死霊嵐の弩兵|네크로스톰 아르발레스트|Nekrosturm-Armbrust|Arbalète de la tempête nécrosée |Ballesta de Tormenta Necrótica|Arbalest Nekrosztormu
e_attackDummy_1|Attack Dummy|Hyökkäysnukke|Boneco de Ataque|Атакующий Манекен|攻擊假人|攻撃ダミー|더미 공격|Angriffspuppe|Mannequin d'attaque|Muñeco de Entrenamiento|Manekin Treningowy
e_attackDummyBoss_1|Attack Dummy|Hyökkäysnukke|Boneco de Ataque|Атакующий Манекен|攻擊假人|攻撃ダミー|더미 공격|Angriffspuppe|Mannequin d'attaque|Muñeco de Entrenamiento|Manekin Treningowy
e_evilSteve_1|Stickman Steve|Tikkumies-Steve|Stickman Steve|Крупье Стив|火柴人史蒂夫|棒人間スティーブ|졸라맨 스티브|Strichmännchen Steve|Stickman Steve|Stickman Steve|Stickman Steve
e_evilSteve_2|Stickman Steve Senior|Tikkumies-Steve Vanhempi|Stickman Steve Sênior|Крупье Стив Старший|資深火柴人史蒂夫|棒人間スティーブ・シニア|졸라맨 스티브 시니어|Strichmännchen Steve Senior|Stickman Steve senior|Stickman Steve Senior|Stickman Steve Senior
e_evilSteve_3|Ancient Stickman Steve|Muinainen Tikkumies-Steve |Steve, Stickman Ancião|Древний Крупье Стив|遠古火柴人史蒂夫|古代棒人間スティーブ|고대 졸라맨 스티브|Alter Strichmännchen Steve|Stickman Steve ancestral|Steve, Stickman Ancestral|Pradawny Stickman Steve
e_aztecRangedSkeleton_1|Aztec Ranger||Ranger Asteca|Ацтекский рейнджер|阿茲特克游俠||||||Łucznik Azteków
e_aztecRangedSkeleton_2|Aztec Ranger||Ranger Asteca|Ацтекский рейнджер|阿茲特克游俠||||||Łucznik Azteków
e_aztecRangedSkeleton_3|Tribal Ambusher||Emboscador Tribal|Племенной засадчик|部落伏擊者||||||Plemienny Zasadzacz
e_aztecGiant_1|Bouldering Colossus||Colosso Escalador|Взбирающийся колосс|滾石巨像||||||Kolosal Rzucający Głazami
e_aztecGiant_2|Bouldering Colossus||Colosso Escalador|Взбирающийся колосс|滾石巨像||||||Kolosal Rzucający Głazami
e_aztecGiant_3|Moss Covered Golem||Golem Coberto de Musgo|Покрытый мхом голем|苔蘚魔像||||||Porosty Pokryty Golem
e_aztecStoneIdol_1|Tribal Idol||Ídolo Tribal|Племенной идол|部落神像||||||Plemienny Bożek
e_aztecStoneIdol_2|Tribal Idol||Ídolo Tribal|Племенной идол|部落神像||||||Plemienny Bożyk
e_aztecStoneIdol_3|Tribal Idol||Ídolo Tribal|Племенной идол|部落神像||||||Plemienny Bożyk
e_aztecSwordSkeleton_1|Aztec Swordsman||Espadachim Asteca|Ацтекский мечник|阿茲特克劍士||||||Miecznik Azteków
e_aztecSwordSkeleton_2|Aztec Swordsman||Espadachim Asteca|Ацтекский мечник|阿茲特克劍士|阿茲特克劍士||||||Miecznik Azteków
e_aztecSwordSkeleton_3|Ancient Slasher||Retalhador Ancestral|Предковый рубящий|遠古斬殺者||||||Pradawny Siekacz
e_borealBellCrawler_1|Boreal Crawler||Rastejador Boreal|Серебряный ползунок|極地爬行者||||||Borealny Pełzacz
e_borealBellCrawler_2|Boreal Crawler||Rastejador Boreal|Серебряный ползунок|極地爬行者||||||Borealny Pełzacz
e_borealBellCrawler_3|Pincer Shell||Concha Pinça|Когтистый панцирь|螯鉗甲殼||||||Szczypce Muszli
e_dagon_1|Dagon||Dagon|Дагон|達貢||||||Dagon
e_dagon_2|Dagon||Dagon|Дагон|達貢||||||Dagon
e_dagon_3|Dagon||Dagon|Дагон|達貢||||||Dagon
e_demonChimp_1|Demon Chimpanzee||Chimpanzé Demônio|Демонический шимпанзе|惡魔黑猩猩||||||Demon Szympans
e_demonChimp_2|Demon Chimpanzee||Chimpanzé Demônio|Демонический шимпанзе|惡魔黑猩猩||||||Demon Szympans
e_demonChimp_3|Raging Chimpspawn||Filhote de Chimpanzé Enfurecido|Разъяренный детеныш шимпанзе|狂暴黑猩猩幼崽||||||Wściekłe Pomiot Szympansa
e_demonDaggerSkeleton_1|Demonic Doll||Boneca Demoníaca|Демоническая кукла |惡魔玩偶||||||Demoniczna Lalka
e_demonDaggerSkeleton_2|Demonic Doll||Boneca Demoníaca|Демоническая кукла|惡魔玩偶||||||Demoniczna Lalka
e_demonDaggerSkeleton_3|Possessed Stabber||Apunhalador Possuído|Одержимый убийца|附身刺客||||||Opętany Dźgacz
e_demonGorilla_1|Demon Gorilla||Gorila Demônio|Демоническая горилла|惡魔大猩猩||||||Demon Gorilla
e_demonGorilla_2|Demon Gorilla||Gorila Demônio|Демоническая горилла |惡魔大猩猩||||||Demon Gorilla
e_demonGorilla_3|Hulking Jungle Beast||Besta da Selva Enorme|Огромное чудовище из джунглей|龐然叢林巨獸||||||Potężna Bestia Dżungli
e_demonYeti_1|Demon Yeti||Yeti Demônio|Демон-йети|惡魔雪人||||||Demon Yeti
e_demonYeti_2|Demon Yeti||Yeti Demônio|Демон-йети|惡魔雪人||||||Demon Yeti
e_demonYeti_3|Boreal Carnage||Carnificina Boreal|Бореальная резня|極地屠戮者||||||Borealna Rzeź
e_jungleSpider_1|Jungle Spider||Aranha da Selva|Паук из джунглей|叢林蜘蛛||||||Pająk Dżungli
e_jungleSpider_2|Jungle Spider||Aranha da Selva|Паук из джунглей |叢林蜘蛛||||||Pająk Dżungli
e_jungleSpider_3|Mosscovered Arachnid||Aranha Coberta de Musgo|Паук, покрытый мхом|苔蘚蛛形蟲||||||Porosty Pokryty Arachnid
e_jungleWasp_1|Jungle Wasp||Vespa da Selva|Дикая оса|叢林黃蜂||||||Osa Dżungli
e_jungleWasp_2|Jungle Wasp||Vespa da Selva|Дикая оса|叢林黃蜂||||||Osa Dżungli
e_jungleWasp_3|Creeping Stinger||Ferroada Rastejante|Ползучее жало|潛行毒刺||||||Pełzające Żądło
e_reefCrab_1|Reef Crab||Caranguejo do Recife|Рифовый краб|礁岩蟹||||||Krab Rafowy
e_reefCrab_2|Reef Crab||Caranguejo do Recife|Рифовый краб|礁岩蟹||||||Krab Rafowy
e_reefCrab_3|Enraged Reef Crab||Caranguejo do Recife Enfurecido|Разъяренный рифовый краб|狂暴礁岩蟹||||||Wściekły Krab Rafowy
e_reefCrabGiant_1|Reef Colossus||Colosso do Recife|Рифовый колосс|礁岩巨像||||||Kolosal Rafy
e_reefCrabGiant_2|Reef Colossus||Colosso do Recife|Рифовый колосс|礁岩巨像||||||Kolosal Rafy
e_reefCrabGiant_3|Giantshell Crab||Concha Gigante Caranguejo|Гигантский панцирный краб |巨甲蟹||||||Gigantyczna Muszla Kraba
e_squidMan_1|Squidman||Homem-Lula|Лула-Мэн|烏賊人||||||Człowiek Kałamarnica
e_squidMan_2|Squidman||Homem-Lula|Лула-Мэн|烏賊人||||||Człowiek Kałamarnica
e_squidMan_3|Squidman||Homem-Lula|Лула-Мэн|烏賊人||||||Człowiek Kałamarnica
e_rangedGhostPirate_1|Ghostly Buccaneer||Bucaneiro Fantasma|Призрачный пират|幽魂海盜||||||Widmowy Korsarz
e_rangedGhostPirate_2|Ghostly Buccaneer||Bucaneiro Fantasma|Призрачный пират|幽魂海盜||||||Widmowy Korsarz
e_rangedGhostPirate_3|Reefwalker Captain||Capitão Andarilho do Recife|Странствующий капитан Ресифе|巡礁船長||||||Kapitan Wędrowiec Rafy
e_swordGhostPirate_1|Ghostly Pirate||Pirata Fantasma|Призрачный пират|幽魂海盜||||||Widmowy Pirat
e_swordGhostPirate_2|Ghostly Pirate||Pirata Fantasma|Призрачный пират|幽魂海盜||||||Widmowy Pirat
e_swordGhostPirate_3|Haunted Pillager||Saqueador Assombrado|Призрачный рейдер|作祟掠奪者||||||Nawiedzony Rabuś
e_giantGhostPirate_1|Ghostbeard||Barba Fantasma|Призрачная борода |幽魂鬍鬚||||||Ghostbeard
e_giantGhostPirate_2|Ghostbeard||Barba Fantasma|Борода-призрак|幽魂鬍鬚||||||Ghostbeard
e_giantGhostPirate_3|Ghostbeard||Barba Fantasma|Борода-призрак|幽魂鬍鬚||||||Ghostbeard
e_tentacleZombie_1|Reef Lurker||Espreitador do Recife|Сталкер из Ресифе|礁岩潛伏者||||||Czający Się na Rafie
e_tentacleZombie_2|Reef Lurker||Espreitador do Recife|Сталкер из Ресифе|礁岩潛伏者||||||Czający Się na Rafie
e_tentacleZombie_3|Reef Lurker||Espreitador do Recife|Сталкер из Ресифе|礁岩潛伏者||||||Czający Się na Rafie
e_tentacleZombieAcid_1|Reef Lurker||Espreitador do Recife|Сталкер из Ресифе |礁岩潛伏者||||||Czający Się na Rafie
e_tentacleZombieAcid_2|Reef Lurker||Espreitador do Recife|Сталкер из Ресифе |礁岩潛伏者||||||Czający Się na Rafie
e_tentacleZombieAcid_3|Lurking Acidspitter||Cuspidor de Ácido à Espreita|Кислотный плевальщик рыщет в поисках жертв|潛伏酸吐者||||||Czający Się Plujący Kwasem
e_tentacleZombieGiant_1|Reef Zombie||Zumbi do Recife|Зомби из Ресифе|礁岩殭屍||||||Zombie Rafowy
e_tentacleZombieGiant_2|Reef Zombie||Zumbi do Recife|Зомби из Ресифе|礁岩殭屍||||||Zombie Rafowy
e_tentacleZombieGiant_3|Reef Zombie Colossus||Colosso Zumbi do Recife |Колоссальный зомби из Ресифе |礁岩巨像殭屍||||||Kolosalny Zombie Rafowy
e_bloodAbomination_1|Blood Abomination||Abominação de Sangue|Кровавое чудовище|血腥憎惡|血の異形|피의 어보미네이션|Blut-Abscheulichkeit|Abomination de sang|Abominación Sangrienta|Krwawa Abominacja
e_bloodAbomination_2|Blood Abomination||Abominação de Sangue|Кровавое чудовище|血腥憎惡|血の異形|피의 어보미네이션|Blut-Abscheulichkeit|Abomination de sang|Abominación Sangrienta|Krwawa Abominacja
e_bloodAbomination_3|Bloating Monstrosity||Monstruosidade Inchada|Раздутое чудовище|腫脹畸形體|膨張する怪物|부풀어 오른 괴물|Aufgedunsene Monstrosität|Monstruosité boursouflée|Aberración Hinchada|Napuchnięta Poczwara
e_cultistWorshipper_1|Cultist Fanatic||Fanático do Culto|Фанатик-культист|邪教狂熱者|狂信的な教徒|광신도 신봉자|Kultisten-Fanatiker|Fanatique du culte|Fanático Cultista|Fanatyczny Kultysta
e_cultistWorshipper_2|Cultist Fanatic||Fanático do Culto|Фанатик-культист|邪教狂熱者|狂信的な教徒|광신도 신봉자|Kultisten-Fanatiker|Fanatique du culte|Fanático Cultista|Fanatyczny Kultysta
e_cultistWorshipper_3|Cultist Fanatic||Fanático do Culto|Фанатик-культист|邪教狂熱者|狂信的な教徒|광신도 신봉자|Kultisten-Fanatiker|Fanatique du culte|Fanático Cultista|Fanatyczny Kultysta
e_tentacleZombieBlood_1|Flesh Walker||Andarilho de Carne|Пожиратель плоти|血肉行者|肉の歩行者|살점 보행자|Fleischwandler|Marcheur de chair|Caminante de Carne|Chodzące Mięso
e_tentacleZombieBlood_2|Flesh Walker||Andarilho de Carne|Пожиратель плоти|血肉行者|肉の歩行者|살점 보행자|Fleischwandler|Marcheur de chair|Caminante de Carne|Chodzące Mięso
e_tentacleZombieBlood_3|Rotten Flesh||Carne Podre|Гнилая плоть|腐爛血肉|腐った肉|썩은 살점|Verrottendes Fleisch|Chair putréfiée|Carne Putrefacta|Zgniłe Mięso
e_magmaSlime_1|Magma Slime||Limo de Magma|Магмовый слайм|岩漿史萊姆|マグマスライム|마그마 슬라임|Magmaschleim|Gelée de magma|Slime de Magma|Magmowy Szlam
e_magmaSlime_2|Magma Slime||Limo de Magma|Магмовый слайм|岩漿史萊姆|マグマスライム|마그마 슬라임|Magmaschleim|Gelée de magma|Slime de Magma|Magmowy Szlam
