[Video]|[en]|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
options_kb_force_stop|Key bind for force stop. You can force stop movement and your left ability attack/cast.|Avaimen kiinnitys pakkopysäykseen. Voit pakottaa pysäyttämään liikkeen ja vasen kykysi hyökätä/heittää.|Keybind para forçar parada. Você pode forçar parada e o ataque/habilidade da esquerda.| Назначение клавиш для принудительной остановки. Вы можете принудительно остановить движение и атаку/применение левой способности.|強制停止綁定鍵。你可以強制停止移動和你的左側攻擊/施放技能。|強制停止のキーバインド。移動を強制的に停止し、左側のアビリティの攻撃/キャストを停止できます。|강제 정지를 위한 키 설정. 이 키를 사용하면 이동과 왼쪽 능력 공격/시전을 강제로 멈출 수 있습니다.|Tastenbelegung für erzwungenen Stopp. Sie können die Bewegung stoppen und mit Ihrer linken Fähigkeit angreifen/zaubern.|Raccourci clavier pour forcer l'arrêt. Vous pouvez forcer l'arrêt du mouvement et votre capacité de gauche attaque/lance.
options_kb_force_move|Key bind for force move. You can force movement ignoring your left ability from triggering.|Näppäinsidonta voimansiirtoa varten. Voit pakottaa liikkeen laukaisemasta vasenta kykyäsi huomiotta.|Keybind para forçar movimento. Você pode forçar movimento ignorando a sua habilidade da esquerda de ativar.| Назначение клавиш для принудительного движения. Вы можете принудительно двигаться, игнорируя срабатывание левой способности.|強制移動的綁定鍵。你可以透過觸發移動忽略你的動作來強制移動。|強制移動のキーバインド。左の能力の発動を無視して移動を強制することができます。|강제 이동을 위한 키 설정. 이 키를 사용하면 왼쪽 능력을 무시하고 이동을 강제로 수행할 수 있습니다.|Tastenbelegung für erzwungene Bewegung. Sie können eine Bewegung erzwingen, ohne dass Ihre linke Fähigkeit ausgelöst wird.|Raccourci clavier pour le déplacement forcé. Vous pouvez forcer le mouvement en ignorant votre capacité de gauche qui se déclenche.
options_kb_pickup_use|Key bind for picking up loot and talking to NPC etc.|Avaimen sidos ryöstöä varten ja NPC:n kanssa puhumiseen jne.|Keybind para pegar loot e falar com NPC etc.| Назначение клавиш для сбора добычи, разговора с NPC и т. д.|用於拾取戰利品和與NPC交談等的綁定鍵。|戦利品を拾ったり、NPC と話したりするためのキーバインド。|아이템을 줍거나 NPC와 대화하는 키 설정|Tastenbelegung zum Aufheben von Beute und Sprechen mit NPCs usw.|Raccourci clavier pour récupérer le butin et parler aux PNJ, etc.
options_kb_jump|Key bind for Jumping.|Avaimen sidos hyppäämiseen.|Keybind para pular.| Назначение клавиш для прыжков.|跳躍綁定鍵。|ジャンプのキーバインド。|점프하는 키 설정|Tastenbelegung zum Springen.|Raccourci clavier pour le saut.
options_kb_inventory_mercenary|Key bind for opening mercenary inventory.|Avainsidonta palkkasoturivaraston avaamiseen.|Keybind para abrir o inventário do mercenário.| Назначение клавиши для открытия инвентаря наемника.|打開僱傭兵背包的綁定鍵。|傭兵のインベントリを開くためのキーバインド。|용병 인벤토리를 여는 키 설정|Tastenbelegung zum Öffnen des Söldnerinventars.|Raccourci clavier pour ouvrir l'inventaire des mercenaires.
options_kb_guild_tab|Key bind for opening guild menu.|Avainsidonta kiltavalikon avaamiseen.|Keybind para abrir o menu da guilda.| Назначение клавиш для открытия меню гильдии.|開啟公會選單的綁定鍵。|ギルド メニューを開くためのキー バインド。|길드 메뉴를 여는 키 설정|Tastenkombination zum Öffnen des Gildenmenüs.|Raccourci clavier pour ouvrir le menu de la guilde.
options_kb_skill_menu|Key bind for opening skill menu.|Näppäinsidonta taitovalikon avaamiseen.|Keybind para abrir o menu de habilidades.| Назначение клавиш для открытия меню навыков.|開啟技能選單的綁定鍵。|スキルメニューを開くためのキーバインド。|스킬 메뉴를 여는 키 설정|Tastenbelegung zum Öffnen des Fertigkeitsmenüs.|Raccourci clavier pour ouvrir le menu des compétences.
options_kb_inventory|Key bind for opening inventory.|Avainsidonta varaston avaamiseen.|Keybind para abrir o inventário| Привязка клавиш для открытия инвентаря.|打開背包的綁定鍵。|インベントリを開くためのキーバインド。|인벤토리를 여는 키 설정|Tastenbelegung zum Öffnen des Inventars.|Raccourci clavier pour ouvrir l'inventaire.
options_kb_chat|Key bind for opening ingame chat.|Näppäinsidonta pelichatin avaamiseen.|Keybind para abrir o chat de dentro do jogo;| Назначение клавиш для открытия внутриигрового чата.|打開遊戲中聊天的綁定鍵。|ゲーム内チャットを開くためのキーバインド。|게임 내 채팅을 여는 키 설정|Tastenbelegung zum Öffnen des Ingame-Chats.|Raccourci clavier pour ouvrir le chat en jeu.
options_kb_cutscene_skip|Key bind for skipping cutscenes.|Näppäinsidos välikohtausten ohittamiseen.|Keybind para pular cutscenes.| Назначение клавиш для пропуска кат-сцен.|跳過過場動畫的綁定鍵。|カットシーンをスキップするためのキーバインド。|컷신 스킵하는 키 설정|Tastenbelegung zum Überspringen von Zwischensequenzen.|Raccourci clavier pour ignorer les cinématiques.
options_disable_mouse_move|Disable Mouse Movement|Poista hiiren liike käytöstä|Desabilita o movimento com o mouse.| Отключить движение мышью|禁用滑鼠移動|マウスの動きを無効にする|마우스 이동 비활성화|Mausbewegung deaktivieren|Désactiver le mouvement de la souris
options_kb_ping|Key Bind for pinging on map|Key Bind kartan pingointia varten |Keybind para pingar no mapa| Назначение клавиш для пингования на карте|地圖上的pinging綁定鍵|マップ上でピン留めするためのキーバインド |지도에 핑을 찍는 키 설정|Tastenbelegung zum Pingen auf der Karte |Raccourci clavier pour le ping sur la carte 
options_kb_loot_filter|Key Bind for opening loot filter||||開啟戰利品過濾器的按鍵綁定|スキルロードアウト1のキー割り当て|스킬 로드아웃 1 키 설정|||
options_kb_vote_reset|Key Bind for activating vote reset||||用於啟動投票重置的按鍵綁定|スキルロードアウト2のキー割り当て|스킬 로드아웃 2 키 설정|||
options_kb_loadout_1|Key Bind for skill loadout 1||||技能 1 的按鍵綁定|スキルロードアウト3のキー割り当て|스킬 로드아웃 3 키 설정|||
options_kb_loadout_2|Key Bind for skill loadout 2||||技能 2 的按鍵綁定|スキルロードアウト4のキー割り当て|스킬 로드아웃 4 키 설정|||
options_kb_loadout_3|Key Bind for skill loadout 3||||技能 3 的按鍵綁定||||
options_kb_loadout_4|Key Bind for skill loadout 4||||技能 4 的按鍵綁定||||
options_kb_loadout_5|Key Bind for skill loadout 5|||Назначение клавиши для выбора набора навыков 5|技能 5 的按鍵綁定||스킬 로드아웃 5 키 설정|||Atajo de teclado para la configuración de habilidades 5|
options_kb_loadout_6|Key Bind for skill loadout 6|||Назначение клавиши для выбора набора навыков 6|技能 6 的按鍵綁定||스킬 로드아웃 6 키 설정|||Atajo de teclado para la configuración de habilidades 6|
options_kb_loadout_7|Key Bind for skill loadout 7|||Назначение клавиши для выбора набора навыков 7|技能 7 的按鍵綁定||스킬 로드아웃 7 키 설정|||Atajo de teclado para la configuración de habilidades 7|
options_kb_loadout_8|Key Bind for skill loadout 8|||Назначение клавиши для выбора набора навыков 8|技能 8 的按鍵綁定||스킬 로드아웃 8 키 설정|||Atajo de teclado para la configuración de habilidades 8|
options_kb_context_menu|Key Bind for Context Menu||Atalho de teclado para o menu de contexto |Назначение клавиши для контекстного меню |上下文選單的快捷鍵綁定|コンテキストメニューのキーバインド |컨텍스트 메뉴에 대한 키 바인딩 |Tastenbelegung für das Kontextmenü|Ranc clavier pour le menu contextuel |Atajo de teclado para el menú contextual |Przypisanie klawiszy do menu kontekstowego 
|||||||||||
[Gamepad]|||||||||||
options_gp_use_potion_1|Button for using a potion in slot 1|Painike juoman käyttämiseen paikassa 1|Botão para usar a poção no slot 1| Кнопка использования зелья в слоте 1|使用第1個藥水快捷鍵|スロット1のポーションを使用するボタン|슬롯 1에서 포션을 사용하는 버튼|Button zum Verwenden eines Tranks in Slot 1|Touche pour boire la potion stockée dans le 1er emplacement.
options_gp_use_potion_2|Button for using a potion in slot 2|Painike juoman käyttämiseen paikassa 2|Botão para usar a poção no slot 2| Клавиша использования зелья в слоте 2|使用第2個藥水快捷鍵|スロット2のポーションを使用するボタン|슬롯 2에서 포션을 사용하는 버튼|Button zum Verwenden eines Tranks in Slot 2|Touche pour boire la potion stockée dans le 2ème emplacement.
options_gp_use_potion_3|Button for using a potion in slot 3|Painike juoman käyttämiseen paikassa 3|Botão para usar a poção no slot 3| Клавиша использования зелья в слоте 3|使用第3個藥水快捷鍵|スロット3のポーションを使用するボタン|슬롯 3에서 포션을 사용하는 버튼|Button zum Verwenden eines Tranks in Slot 3|Touche pour boire la potion stockée dans le 3ème emplacement.
options_gp_use_potion_4|Button for using a potion in slot 4|Painike juoman käyttämiseen paikassa 4|Botão para usar a poção no slot 4| Клавиша использования зелья в слоте 4|使用第4個藥水快捷鍵|スロット4のポーションを使用するボタン|슬롯 4에서 포션을 사용하는 버튼|Button zum Verwenden eines Tranks in Slot 4|Touche pour boire la potion stockée dans le 4ème emplacement.
options_gp_use_skill_1|Button for using skill 1 if assigned.|Painike taidon 1 käyttöön, jos se on määritetty.|Botão para usar a skill 1 se atribuída.| Клавиша использования навыка 1, если назначена.|用於使用技能1的按鈕（如果已指派）。|割り当てられている場合にスキル 1 を使用するボタン。|스킬 1을 사용하기 위해 버튼 설정|Schaltfläche zum Verwenden der Fertigkeit 1, sofern zugewiesen.|Touche pour l'utilisation de la 1ère compétence si elle est attribuée.
options_gp_use_skill_2|Button for using skill 2 if assigned.|Painike taidon 2 käyttöön, jos se on määritetty.|Botão para usar a skill 2 se atribuída.| Клавиша использования навыка 2, если назначена.|用於使用技能2的按鈕（如果已指派）。|スキル2が割り当てられている場合に使用するボタン。|스킬 2을 사용하기 위해 버튼 설정|Schaltfläche zum Verwenden der Fertigkeit 2, falls zugewiesen.|Touche pour l'utilisation de la 2ème compétence si elle est attribuée.
options_gp_use_skill_3|Button for using skill 3 if assigned.|Painike taidon 3 käyttöön, jos se on määritetty.|Botão para usar a skill 3 se atribuída.| Клавиша использования навыка 3, если назначена.|用於使用技能3的按鈕（如果已指派）。|スキル3が割り当てられている場合に使用するボタン。|스킬 3을 사용하기 위해 버튼 설정|Schaltfläche zum Verwenden der Fertigkeit 3, falls zugewiesen.|Touche pour l'utilisation de la 3ème compétence si elle est attribuée.
options_gp_use_skill_4|Button for using skill 4 if assigned.|Painike taidon 4 käyttöön, jos se on määritetty.|Botão para usar a skill 4 se atribuída.| Клавиша использования навыка 4, если он назначен.|用於使用技能4的按鈕（如果已指派）。|スキル4が割り当てられている場合に使用するボタン。|스킬 4을 사용하기 위해 버튼 설정|Schaltfläche zum Verwenden der Fertigkeit 4, falls zugewiesen.|Touche pour l'utilisation de la 4ème compétence si elle est attribuée.
options_gp_use_skill_5|Button for using skill 5 if assigned.|Painike taidon 5 käyttöön, jos se on määritetty.|Botão para usar a skill 5 se atribuída.| Клавиша использования навыка 5, если назначен.|用於使用技能5的按鈕（如果已指派）。|割り当てられている場合にスキル 5 を使用するボタン。|스킬 5을 사용하기 위해 버튼 설정|Schaltfläche zum Verwenden der Fertigkeit 5, falls zugewiesen.|Touche pour l'utilisation de la 5ème compétence si elle est attribuée.
options_gp_use_skill_6|Button for using skill 6 if assigned.|Painike taidon 6 käyttöön, jos se on määritetty.|Botão para usar a skill 6 se atribuída.| Клавиша использования навыка 6, если он назначен.|用於使用技能6按鈕（如果已指派）。|スキル6が割り当てられている場合に使用するボタン。|스킬 6을 사용하기 위해 버튼 설정|Schaltfläche zum Verwenden der Fertigkeit 6, falls zugewiesen.|Touche pour l'utilisation de la 6ème compétence si elle est attribuée.
options_gp_use_skill_7|Button for using skill 7 if assigned.|Painike taidon 7 käyttöön, jos se on määritetty.|Botão para usar a skill 7 se atribuída.| Клавиша использования навыка 7, если он назначен.|用於使用技能7的按鈕（如果已指派）。|割り当てられている場合にスキル 7 を使用するボタン。|스킬 7을 사용하기 위해 버튼 설정|Schaltfläche zum Verwenden der Fertigkeit 7, falls zugewiesen.|Touche pour l'utilisation de la 7ème compétence si elle est attribuée.
options_gp_use_skill_8|Button for using skill 8 if assigned.|Painike taidon 8 käyttöön, jos se on määritetty.|Botão para usar a skill 8 se atribuída.| Клавиша использования навыка 8, если он назначен.|用於使用技能8的按鈕（如果已指派）。|スキル 8 が割り当てられている場合に使用するボタン。|스킬 8을 사용하기 위해 버튼 설정|Schaltfläche zum Verwenden der Fertigkeit 8, falls zugewiesen.|Touche pour l'utilisation de la 8ème compétence si elle est attribuée.
options_gp_use_skill_9|Button for using skill 9 if assigned.|Painike taidon 9 käyttöön, jos se on määritetty.|Botão para usar a skill 9 se atribuída.| Клавиша использования навыка 9, если он назначен.|用於使用技能9的按鈕（如果已指派）。|スキル9が割り当てられている場合に使用するボタン。|스킬 9을 사용하기 위해 버튼 설정|Schaltfläche zum Verwenden der Fertigkeit 9, falls zugewiesen.|Touche pour l'utilisation de la 9ème compétence si elle est attribuée.
options_gp_use_skill_10|Button for using skill 10 if assigned.|Painike taidon 10 käyttöön, jos se on määritetty.|Botão para usar a skill 10 se atribuída.| Клавиша использования навыка 10, если он назначен.|用於使用技能10的按鈕（如果已指派）。|割り当てられている場合にスキル 10 を使用するボタン。|스킬 10을 사용하기 위해 버튼 설정|Schaltfläche zum Verwenden der Fertigkeit 10, falls zugewiesen.|Touche pour l'utilisation de la 10ème compétence si elle est attribuée.
options_gp_use_skill_11|Button for using skill 11 if assigned.|Painike taidon 11 käyttöön, jos se on määritetty.|Botão para usar a skill 11 se atribuída.| Клавиша использования навыка 11, если он назначен.|用於使用技能11的按鈕（如果已指派）。|スキル 11 が割り当てられている場合に使用するボタン。|스킬 11을 사용하기 위해 버튼 설정|Schaltfläche zum Verwenden der Fertigkeit 11, falls zugewiesen.|Touche pour l'utilisation de la 11ème compétence si elle est attribuée.
options_gp_use_skill_12|Button for using skill 12 if assigned.|Painike taidon 12 käyttöön, jos se on määritetty.|Botão para usar a skill 12 se atribuída.| Клавиша использования навыка 12, если он назначен.|用於使用技能12的按鈕（如果已指派）。|スキル 12 が割り当てられている場合に使用するボタン。|스킬 12을 사용하기 위해 버튼 설정|Schaltfläche zum Verwenden der Fertigkeit 12, falls zugewiesen.|Touche pour l'utilisation de la 12ème compétence si elle est attribuée.
options_gp_ping|Button for pinging on map|Kartan ping-painike|Botão para pingar no mapa| Клавиша для пинга на карте|地圖上的pinging綁定鈕|地図にピン留めするためのボタン|지도에 핑을 찍는 버튼|Schaltfläche zum Pingen auf der Karte|Bouton pour envoyer un ping sur la carte 
options_gp_loot_filter|Button for opening loot filter||||打開戰利品過濾器的按鈕|ミニマップを切り替えるボタン。|미니맵을 토글하는 버튼|||
options_gp_vote_reset|Button for activating vote reset||||啟動投票重置按鈕|プレイヤーリストを開くためのボタン。|플레이어 목록을 보여주는 버튼|||
options_gp_toggle_minimap|Button for toggling Minimap.|Painike minikartan vaihtamiseen.|Botão para ativar o Minimapa.| Клавиша переключения мини-карты.|用於切換小地圖的按鈕。|ミニマップを切り替えるボタン。|미니맵을 토글하는 버튼|Schaltfläche zum Umschalten der Minikarte.|Touche pour alterner la mini-carte.
options_gp_playerlist|Button for opening the playerlist.|Painike pelaajaluettelon avaamiseen.|Botão para abrir a lista de jogadores.| Клавиша открытия списка игроков.|用於開啟玩家清單的按鈕。|プレイヤーリストを開くためのボタン。|플레이어 목록을 보여주는 버튼|Button zum Öffnen der Spielerliste.|Touche pour ouvrir la liste des joueurs.
options_gp_show_loot_names|Button for showing loot names on ground.|Painike ryöstöjen nimien näyttämiseen maassa.|Botão para mostrar o nome de loot no chão.| Клавиша для отображения названий добычи на земле.|用於在地面上顯示戰利品名稱的按鈕。|地上の戦利品の名前を表示するためのボタン。|땅에 있는 전리품 이름을 보여주는 버튼|Schaltfläche zum Anzeigen der Beutenamen auf dem Boden.|Touche pour afficher les noms des butins sur le sol.
options_gp_weapon_swap|Button for swapping weapon / shield slot.|Painike aseen/kilven paikan vaihtamiseen.|Botão para trocar o slot de arma/escudo| Клавиша смены слота оружия/щита.|用於交換武器/盾牌的按鈕。|武器/シールドスロットを交換するためのボタン。|무기/방패 슬롯을 스왑하는 버튼|Schaltfläche zum Tauschen des Waffen-/Schildplatzes.|Touche pour changer de pré-équipement.
options_gp_emote_menu|Button for Emote menu.|Emote-valikon painike.|Botão para o menu de Emotes| Клавиша для меню эмоций.|表情選單按鈕。|エモートメニューのボタン。|감정표현 메뉴를 여는 버튼|Schaltfläche für das Emote-Menü.|Touche pour ouvrir le menu Emote.
options_gp_cast_town_portal|Button for casting Town Portal.|Painike kaupunkiportaalin suoratoistoon.|Botão para conjurar o portal da cidade.| Клавиша для создания городского портала.|釋放城鎮傳送門的按鈕。|タウンポータルをキャストするためのボタン。|마을 포탈을 여는 버튼|Schaltfläche zum Wirken des Stadtportals.|Touche pour lancer le portail de la ville.
options_gp_pickup_use|Button for picking up loot and talking to NPC etc.|Painike saaliin keräämiseen ja NPC:lle puhumiseen jne.|Botão para pegar loot e falar com NPC etc.| Клавиша для сбора добычи, разговора с NPC и т. д.|用於拾取戰利品和與NPC交談等的按鈕。|戦利品を拾ったり、NPC と話したりするためのボタン。|아이템을 줍거나 NPC와 대화하는 버튼|Schaltfläche zum Aufheben von Beute und Sprechen mit NPCs usw.|Touche pour ramasser le butin et parler aux NPC, etc.
options_gp_jump|Button for Jumping.|Painike hyppäämiseen.|Botão para pular.| Клавиша для прыжка.|跳躍按鈕。|ジャンプするためのボタン。|점프하는 버튼|Taste zum Springen.|Touche pour sauter.
options_gp_inventory_mercenary|Button for opening mercenary inventory.|Painike palkkasoturivaraston avaamiseen.|Botão para abrir o inventário do mercenário.| Клавиша открытия инвентаря наемника.|打開僱傭兵背包的按鈕。|傭兵のインベントリを開くボタン。|용병 인벤토리를 여는 버튼|Schaltfläche zum Öffnen des Söldnerinventars.|Touche pour ouvrir l’inventaire du mercenaire.
options_gp_guild_tab|Button for opening guild menu.|Painike kiltavalikon avaamiseen.|Botão para abrir o menu da guilda.| Клавиша открытия меню гильдии.|開啟公會選單的按鈕。|ギルドメニューを開くボタン。|길드 메뉴를 여는 버튼|Schaltfläche zum Öffnen des Gildenmenüs.|Touche pour ouvrir le menu de guilde. 
options_gp_skill_menu|Button for opening skill menu.|Painike taitovalikon avaamiseen.|Botão para abrir o menu de habilidades.| Клавиша открытия меню навыков.|用於開啟技能選單的按鈕。|スキルメニューを開くボタン。|스킬 메뉴를 여는 버튼|Schaltfläche zum Öffnen des Fertigkeitsmenüs.|Touche pour ouvrir le menu des compétences.
options_gp_inventory|Button for opening inventory.|Painike varaston avaamiseen. |Botão para abrir o inventário.| Клавиша открытия инвентаря.|用於打開背包的按鈕。|インベントリを開くためのボタン。|인벤토리를 여는 버튼|Schaltfläche zum Öffnen des Inventars.|Touche pour ouvrir l'inventaire.
inv_loadout|Equip Swap|Varusteiden vaihto|Trocar Equipamentos| Обмен оборудования|裝備切換|装備交換 ||Ausrüstungstausch |Changement d'équipement
options_gp_loadout_1|Button for skill loadout 1||Botão para configurar habilidades 1|Кнопка для выбора навыков 1|技能配置按钮 1|スキルロードアウト1のボタン|스킬 로드아웃 1버튼|Schaltfläche für die Fertigkeitenübersicht 1|Bouton pour la sélection des compétences 1|Botón para la configuración de habilidades 1|Przycisk do zestawu umiejętności 1
options_gp_loadout_2|Button for skill loadout 2||Botão para configurar habilidades 2|Кнопка для выбора навыков 2|技能配置按钮 2|スキルロードアウト2ボタン|스킬 로드아웃 2버튼|Schaltfläche für die Fertigkeitenübersicht 2|Bouton pour la sélection des compétences 2|Botón para la configuración de habilidades 2|Przycisk do zestawu umiejętności 2
options_gp_loadout_3|Button for skill loadout 3||Botão para configurar habilidades 3|Кнопка для выбора навыков 3|技能配置按钮 3|スキルロードアウト3ボタン|스킬 로드아웃 3버튼|Schaltfläche für die Fertigkeitenübersicht 3|Bouton pour la sélection des compétences 3|Botón para la configuración de habilidades 3|Przycisk do zestawu umiejętności 3
options_gp_loadout_4|Button for skill loadout 4||Botão para configurar habilidades 4|Кнопка для выбора навыков 4|技能配置按钮 4|スキルロードアウト4ボタン|스킬 로드아웃 4버튼|Schaltfläche für die Fertigkeitenübersicht 4|Bouton pour la sélection des compétences 4|Botón para la configuración de habilidades 4|Przycisk do zestawu umiejętności 4
options_gp_loadout_5|Button for skill loadout 5||Botão para configurar habilidades 5|Кнопка для выбора навыков 5|技能配置按钮 5|スキルロードアウト5ボタン|스킬 로드아웃 5버튼|Schaltfläche für die Fertigkeitenübersicht 5|Bouton pour la sélection des compétences 5|Botón para la configuración de habilidades 5|Przycisk do zestawu umiejętności 5
options_gp_loadout_6|Button for skill loadout 6||Botão para configurar habilidades 6|Кнопка для выбора навыков 6|技能配置按钮 6|スキルロードアウト6ボタン|스킬 로드아웃 6버튼|Schaltfläche für die Fertigkeitenübersicht 6|Bouton pour la sélection des compétences 6|Botón para la configuración de habilidades 6|Przycisk do zestawu umiejętności 6
options_gp_loadout_7|Button for skill loadout 7||Botão para configurar habilidades 7|Кнопка для выбора навыков 7|技能配置按钮 7|スキルロードアウト7ボタン|스킬 로드아웃 7버튼|Schaltfläche für die Fertigkeitenübersicht 7|Bouton pour la sélection des compétences 7|Botón para la configuración de habilidades 7|Przycisk do zestawu umiejętności 7
options_gp_loadout_8|Button for skill loadout 8||Botão para configurar habilidades 8|Кнопка для выбора навыков 8|技能配置按钮 8|スキルロードアウト8ボタン |스킬 로드아웃 8버튼|Schaltfläche für die Fertigkeitenübersicht 8|Bouton pour la sélection des compétences 8|Botón para la configuración de habilidades 8|Przycisk do zestawu umiejętności 8
options_gp_context_menu|Button for Context Menu||Botão para o menu de contexto|Кнопка контекстного меню|右鍵選單按鈕|スキルロードアウト3のボタン|스킬 로드아웃 3버튼|Schaltfläche für das Kontextmenü|Bouton pour le menu contextuel|Botón para el menú contextual|Przycisk do menu kontekstowego
options_gp_change_talents|Button for opening talent HUD||Botão para abrir a interface de talentos|Кнопка для открытия интерфейса талантов|天賦介面開啟按鈕|スキルロードアウト4のボタン|스킬 로드아웃 4버튼|Schaltfläche zum Öffnen der Talentübersicht|Bouton pour ouvrir l'interface des talents|Botón para abrir la interfaz de talentos|Przycisk do otwierania HUD talentów
options_gp_openshop|Button for opening ingame Store||Botão para abrir a loja do jogo|Кнопка для открытия внутриигрового магазина|遊戲內商店開啟按鈕|ゲーム内ストアを開くボタン|게임 내 상점 열기 버튼|Schaltfläche zum Öffnen des Ingame-Shops|Bouton pour ouvrir la boutique en jeu|Botón para abrir la tienda del juego|Przycisk do otwierania sklepu w grze
options_gp_journal|Button for opening the Journal||Botão para abrir o diário|Кнопка для открытия журнала|日誌開啟按鈕|ジャーナルを開くボタン|일지 열기 버튼|Schaltfläche zum Öffnen des Tagebuchs|Bouton pour ouvrir le journal|Botón para abrir el diario|Przycisk do otwierania Dziennika
options_gp_open_chat|Button for opening ingame chat||Botão para abrir o chat do jogo|Кнопка для открытия внутриигрового чата|遊戲內聊天開啟按鈕|ゲーム内チャットを開くボタン|게임 내 채팅 열기 버튼|Schaltfläche zum Öffnen des Ingame-Chats|Bouton pour ouvrir le chat en jeu|Botón para abrir el chat del juego|Przycisk do otwierania czatu w grze
talent_hud|Talent HUD||Interface de talentos |Интерфейс талантов |天賦介面 |タレントHUD |특성 HUD |Talentübersicht|Interface des talents |Indicador de talentos |HUD talentów 
|||||||||||
[Loot Filter Presets]|||||||||||
loot_filter_preset_nightmare|Intended for playing through the campaign on Nightmare difficulty. At this point you will have several Superior+ items equipped,  and you are starting to look for cheap early game Runewords to craft. Low tier Common, Superior and Rare items are disabled as you are looking at upgrading to B+ items. |Tarkoitettu Nightmare-vaikeusasteen kampanjan pelaamiseen. Tässä vaiheessa sinulla on käytössäsi useita Superior+ -esineitä, ja alat etsiä halpoja varhaisten pelien runewords-muotoja. Matalan tason yleiset, ylivoimaiset ja harvinaiset tuotteet poistetaan käytöstä, kun päivität B+-tuotteisiin. |Destinado para ser jogado durante a campanha na dificuldade Pesadelo. Neste ponto você terá diversos itens Superiores+ equipados, e você está começando a procurar por Runewords de começo de jogo baratas para criar. Itens Comuns, Superiores e Raros de baixo tier estão desativados já que você está procurando itens B+ para melhorar.| Предназначен для прохождения кампании на уровне сложности Кошмар. На этом этапе у вас будет несколько предметов Superior+.|適用於在夢魘難度下進行戰役。此時你將裝備多個高級+物品，並開始尋找便宜的早期符文之語來製作。低級普通、高級和稀有物品已停用，因為你正在尋找升級到B+等級的物品。|ナイトメア難易度でキャンペーンをプレイするためのものです。この時点で、いくつかの上級+アイテムを装備しており、安価な初期のルーンワードを作成し始めています。低レベルのコモン、上級、およびレアアイテムは無効になっており、B+アイテムにアップグレードすることを検討しています。|이것은 나이트메어 난이도에서 캠페인을 진행하기 위한 것입니다. 이 시점에서 당신은 여러 개의 슈페리어+ 아이템을 장착하고 있으며, 이제 저렴한 초반 게임 룬워드를 제작하려고 합니다. 저급 커먼, 슈페리어, 레어 아이템은 비활성화되어 있으며, B+ 아이템으로 업그레이드하려고 합니다.|Gedacht für das Spielen der Kampagne auf Alptraum-Schwierigkeit. Zu diesem Zeitpunkt hast du mehrere Superior+-Gegenstände ausgerüstet und beginnst, nach günstigen frühen Runenwörtern zu suchen. Niedrigstufige gewöhnliche, überlegene und seltene Gegenstände sind deaktiviert, da du auf B+-Gegenstände aufrüsten möchtest.|Destiné à jouer à la campagne en difficulté Cauchemar. À ce stade, vous aurez plusieurs objets Supérieur+ équipés et vous commencerez à chercher des mots runiques bon marché à fabriquer pour le début du jeu. Les objets de bas niveau Commun, Supérieur et Rare sont désactivés car vous cherchez à les améliorer en objets de niveau B+.
loot_filter_preset_hell_early|Intended for starting Hell 1-3, you just hit 100 and you are starting to farm maps. Low Tier non-Satanics are removed, and you are looking at good Runeword bases to craft sockets on.|Tarkoitettu aloittamaan Hell 1-3, osuit juuri 100 ja alat viljellä karttoja. Matalan tason ei-saatanikot poistetaan, ja etsit hyviä Runeword-pohjia pistorasioiden rakentamiseen.|Destinado para iniciar o Inferno 1-3, você acabou de chegar no 100 e está começando a limpar mapas. Não-satânicos de baixo tier são removidos, e você está procurando por boas bases de Runeword para criar.| Предназначен для запуска Ада 1-3|適用於地獄1-3開始，你剛剛達到100級，並開始刷地圖。低級非撒旦物品已被移除，你正在尋找好的符文之語基底來製作插槽。|地獄1-3を開始するためのもので、100に達したばかりで地図のファームを始めています。低レベルの非サタニックアイテムは削除されており、良いルーンワードのベースを探してソケットを作成しています。|헬 1-3을 시작하려는 의도입니다. 이제 100레벨에 도달했고, 맵을 파밍하기 시작한 시점입니다. 낮은 티어의 비사탄 아이템은 제거되었으며, 소켓을 제작할 좋은 룬워드 베이스를 찾고 있습니다.|Gedacht für den Start in die Hölle 1-3, du hast gerade Stufe 100 erreicht und beginnst, Karten zu farmen. Niedrigstufige Nicht-Satanische Gegenstände werden entfernt und du suchst nach guten Runenwort-Basen, um Sockel herzustellen.|Destiné à commencer l'Enfer 1-3, vous venez d'atteindre le niveau 100 et commencez à farmer des cartes. Les objets de bas niveau non sataniques sont supprimés et vous cherchez de bonnes bases de mots runiques pour créer des emplacements.
