[quest]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
|||||||||||
[TUTORIAL]|||||||||||
quest_name_1|Skills and Stats||Habilidades e Atributos| Навыки и статистика|技能和屬性|スキルとステータス|스킬과 능력치||
quest_description_518|Clear the area around Moira's telescope in Deep Space||Limpe a área em volta do telescópio de Moira no Espaço Profundo| Очистите территорию вокруг телескопа Мойры в Глубоком космосе.|清理莫伊拉在深空望遠鏡周圍的區域|ディープスペースのモイラの望遠鏡周辺を浄化する|깊은 공간에 있는 모이라의 망원경 주변을 정리하세요||Nettoyer la zone autour du télescope de Moira dans l'Espace profond.
quest_objective_518_1|Area cleared||Área limpa| Территория очищена|已清理區域|エリア浄化済み|구역 정리 완료||Zone dégagée
quest_name_519|Drink Tea||Beba Chá| Пить чай|喝茶|お茶を飲む|차 마시기||Boire du thé
quest_description_519|Drink stardust infused tea||Beba Chá Infundido de Poeira Estelar| Пейте чай, настоянный на звездной пыли.|喝下含星塵的茶|星屑入りのお茶を飲む|스타더스트가 든 차를 마시세요||Thé infusé à la poussière d'étoiles
quest_objective_519_1|Tea drunk||Chá bebido| Чай выпитый|喝茶|お茶を飲んだ|차를 마심||Thé bu
quest_name_520|Stardust Poisoning||Intoxicação de Poeira Estelar| Отравление звездной пылью|星塵中毒|星屑中毒|스타더스트 중독||Empoisonnement à la poussière d'étoiles
quest_description_520|Find antidote in Distorted Horizons||Encontre o Antídoto nos Horizontes Distorcidos| Найдите противоядие в Distorted Horizons|在扭曲地平線中尋找解藥|ディストーテッドホライズンズで解毒剤を見つける|뒤틀린 지평선에서 해독제를 찾으세요||Trouvez l'antidote dans l'horizon distordu.
quest_objective_520_1|Antidote found||Antídoto encontrado| Противоядие найдено|發現解藥|解毒剤発見済み|해독제 찾음||Antidote trouvé
quest_objective_520_2|Antidote consumed||Antídoto consumido| Противоядие потреблено|服用解藥|解毒剤使用済み|해독제 복용||Antidote consommé
quest_name_521|The Bestest Tea||O Melhor Chá| Лучший чай|最好的茶|最高のお茶|최고의 차||Le meilleur thé
quest_description_521|Find ingredients at the Parallel Dimension||Encontre Ingredientes nas Dimensões Paralelas| Найдите ингредиенты в Parallel Dimension|在平行維度≤7-4≥上尋找成分|パラレルディメンションで材料を見つける|평행 차원에서 재료를 찾으세요||Trouver les ingrédients dans la dimension parallèle
quest_objective_521_1|Cosmic Roots||Raízes Cósmicas| Космические Корни|宇宙根|コズミックルーツ|코스믹 루트||Racines cosmiques
quest_objective_521_2|Nebula Lily||Lírio de Nébula| Туманность Лили|星雲百合|ネビュラリリー|네뷸라 릴리||Lys nébuleux
quest_objective_521_3|Anti-matter shroom||Cogumelo Antimatéria| Антиматерия гриб|反物質蘑菇|アンチマターシュルーム|안티매터 쉬룸||Champignon anti-matière
quest_objective_521_4|Schrödinger's Cat||Gato de Schrödinger| Кот Шредингера|薛定格的貓|シュレーディンガーズキャット|슈뢰딩거 캣||Chat de Schrödinger
quest_name_522|Caravan Valley|||Караван Вэлли|商隊山谷||캐러밴 계곡|||Valle de la Caravana|
quest_description_522|Escort the wagon through the Caravan Valley.|||Сопроводите повозку через долину Караванов.|護送貨車穿過商隊山谷。||캐러밴 계곡을 지나 수레를 호위하세요.|||Escolta el carro a través del Valle de la Caravana.|
quest_objective_522_1|Wagon Escorted|||Вагон с сопровождением|已護送貨車||수레 호위 완료|||Carro escoltado|
quest_name_523|Black Plague|||Черная смерть|黑死病||검은 흑사병|||Peste Negra|
quest_description_523|Slay Black Plague in the town square inside the town of Lamia|||Уничтожьте Черную чуму на городской площади в городе Ламия|在拉米亞城鎮廣場上討伐黑死病||라미아 마을 내부의 마을 광장에서 검은 흑사병을 처치하세요.|||Derrota a la Peste Negra en la plaza central de la ciudad de Lamia.|
quest_objective_523_1|Black Plague slain|||Черная смерть поразила|已討伐黑死病||검은 흑사병 처치 완료|||Peste Negra derrotada|
|||||||||||
[Additional side quests]|||||||||||
quest_name_600|Olof’s Medicine||Remédio de Olof| Медицина Олофа|奧洛夫的藥|オロフの薬|올로프의 약||
quest_description_600|Find Olof’s medicine from an ice crack in Arctic Tundra||Encontre o remédio de Olof em uma rachadura de gelo na Tundra do Ártico| Найдите лекарство Олофа в трещине льда в арктической тундре|從北極凍土圈≤2-3≥的冰縫中找到奧洛夫的藥|北極ツンドラの氷の割れ目からオロフの薬を見つける|북극 툰두라의 얼음 균열에서 올로프의 약을 찾으세요||
quest_objective_600_1|Medicine collected||Remédio coletado| Собранные лекарства|收集的藥物|薬を回収した|약을 획득||
|||||||||||
[MAIN QUEST]|||||||||||
quest_name_1000|Corrupted Nature||Natureza Corrompida| Испорченная природа|腐敗自然|堕落した自然|타락한 자연||Nature corrompue
quest_description_1000|Kill Scorchwood in the River of Inoya.||Mate Madeira Chamuscada no Rio de Inoya| Убейте Скорчвуда в реке Иноя.|殺死伊諾亞之河中的焚木|イノヤ川でスコーチウッドを倒す。|이노야의 강에서 스코치우드를 처치하세요.||Tuez Bois brûlé dans la rivière d'Inoya.
quest_objective_1000_1|Scorchwood killed||Madeira Chamuscada morto| Скорчвуд убит|擊殺焚木|スコーチウッドを倒した|스코치우드 처치||Bois brûlé tué
quest_name_1001|Sarcaster's coffee beans|Sarcasterin kahvipavut|Os grãos de café de Sarcaster| Кофейные зерна Саркастера|Sarcaster的咖啡豆|サーカスターのコーヒー豆|사캐스터의 커피  콩|Sarcasters Kaffeebohnen|Grains de café de Sarcaster
quest_description_1001|Retrieve Sarcaster's coffee beans from the Waypoint in Outskirts of Inoya.|Hae Sarcasterin kahvipavut tason I alueen I reittipisteeltä.|Recupere os grãos de café de Sarcaster no Waypoint da Zona I do Act I.|Заберите кофейные зерна Саркастера из контрольной точки на окраине Инои.|從伊諾亞郊區≤1-1≥傳送點取回Sarcaster的咖啡豆。|幕 I のゾーン I のボスからサーカスターのコーヒー豆を取り戻してください。|Act I의 첫 번째 구역 보스에게서 사캐스터의 커피 콩을 되찾아오십시오.|Sammle Sarcasters Kaffeebohnen von Wegpunkt AKT I Zone I.|Récupérez les grains de café de Sarcaster au point de passage de l'Acte I de la Zone I.
quest_objective_1001_1|Coffee beans retrieved.|Kahvipavut haettu.|Grãos de café recuperados.| Извлечены кофейные зерна.|已取得咖啡豆。|コーヒー豆が取り戻されました。|커피 콩 횟수.|Kaffeebohnen gesammelt.|Grains de café récupérés.
quest_name_1002|Bricks.. So many Bricks|Tiiliä... Niin paljon tiiliä|Tijolos... Tantos tijolos| Кирпичи.. Так много кирпичей.|磚塊…好多磚塊|レンガ…たくさんのレンガ|벽돌이.. 너무나 많네|Ziegel .. So viele Ziegel|Des briques. Tellement de briques
quest_description_1002|Collect Bricks from destructible objects anywhere.|Kerää tiiliä laatikoista.|Colete tijolos de caixas.| Собирайте кирпичи из разрушаемых объектов в любом месте.|從箱子中收集磚塊。|箱からレンガを集めましょう。|파괴 가능한 오브젝트에서 벽들을 모으세요.|Sammle Ziegel ??aus Kisten.|Collecter des briques dans des par ci, par là.
quest_objective_1002_1|Bricks collected.|Tiiltä kerätty.|Tijolos coletados.| Кирпичи собраны.|已收集的磚塊。|レンガが集められました。|벽돌 수집.|Ziegel gesammelt.|Briques collectées.
quest_name_1003|Hot Water|Kuumaa vettä|Água Quente| Горячая вода|熱水|ホットウォーター|뜨거운 물|Heisses Wasser|Eau chaude
quest_description_1003|Collect hot water from The Pumpkin Patch.|Kerää kuumaa vettä tason I alueelta III.|Colete água quente no Ato I Zona III.| Наберите горячей воды на тыквенной грядке.|從南瓜田≤1-3≥收集熱水。|パンプキンパッチから温かい水を集める。|호박 밭에서 뜨거운 물을 수집하세요.|Sammle heisses Wasser aus AKT I Zone III|Collectez de l'eau chaude aux Champs de citrouilles.
quest_objective_1003_1|Hot water collected|Kuumaa vettä kerätty.|Água quente coletada.| Горячая вода собрана|已收集的熱水。|温かい水を集めました|뜨거운 물 수집|Heisses Wasser gesammelt.|Eau chaude collectée
quest_objective_1003_2|Kill the Colossal Pumpkin in Pumpkin Cellar||Mate a Abóbora Colossal no Porão de Abóboras| Убейте гигантскую тыкву в тыквенном погребе|殺死南瓜地窖裡的巨型南瓜|パンプキンセラーでコロッサルパンプキンを倒す|호박 저장실에서 콜로셜 펌프킨 처치||
quest_name_1021|Purging the Lands||Purgando as Terras| Очищение земель|淨化這片土地|土地の浄化|대지의 정화||Purger les contrées
quest_description_1021|Collect body parts from monsters and bring them to Magister Kujala in the Fields of Battle.||Colete partes de corpo de monstros e traga-os para o Magister Kujala nos Campos de Batalha.| Собирайте части тел монстров и приносите их магистру Куджале на полях битвы.|從怪物身上收集身體部位， 並將它們帶到戰場之地≤1-2≥上的Magister Kujala|モンスターの体の一部を集めて、戦場の野でマジスター・クヤラに持っていく。|몬스터들의 신체 부위를 수집하여 전장의 매지스터 쿠잘라에게 가져가세요.||Collectez des morceaux de corps sur les monstres et apportez-les au Magister Kujala dans les champs de bataille.
quest_objective_1021_1|Body parts collected|Ruumiinosia kerätty|Partes do corpo coletadas| Собранные части тела|已收集身體部位|体の一部を回収|신체 부위 수집|Koerperteile gesammelt|morceaux de corps collectées
quest_name_1022|Shock Therapy|Shokkiterapiaa|Terapia de Choque| Шоковая терапия|震撼療法|ショック・セラピー|충격 요법|Schocktherapie|Thérapie de choc
quest_description_1022|Use the Shocker-3000 to shock monsters.|Käytä Sähkötin-3000 vihollisten sähkötykseen.|Use o Shocker-3000 para eletrocutar os inimigos.| Используйте Шокерr-3000, чтобы поражать монстров током.|用任務給予的[震撼器-3000]遺物震撼敵人。|ショッカー-3000を使って敵に衝撃を与えてください。|적들에게 쇼커-3000을 사용하십시오.|Verwende den Shocker-3000, um Feinde zu schocken.|Utilisez le Choc-3000 pour choquer les monstres.
quest_objective_1022_1|Enemies shocked|Vihollista sähkötetty|Inimigos eletrocutados| Враги в шоке|已震撼的敵人|敵が衝撃を受けました|충격받은 적|Feinde geschockt|Ennemis choqués
quest_name_1023|Corruptor of the Forest|Metsän korruptoija|Corruptor da Floresta| Осквернитель леса|森林的腐化者|森林の堕落者|숲의 타락자|Verderber des Waldes|Corrupteur de la forêt
quest_description_1023|Find Gurag in King’s Throne and kill him! Report to Gunhild Yngouf in Danethorpe.||Encontre Gurag no Trono do Rei e mate-o! Reporte para Gunhild Yngouf em Danethorpe.| Найдите Гурага в Королевском Троне и убейте его! Доложите Гунхильд Ингуф в Данеторпе.|在國王寶座中找到古拉格並殺死他！  之後向鄧恩斯洛普的Gunhild Yngouf報告|キングズスローンでグラグを見つけて倒せ！ダネソプのグンヒルド・インゴウフに報告しよう。|왕의 왕좌에서 구라그를 찾아 처치하세요! 이후 데인소프의 군힐드 용오우프에게 보고하세요||Trouvez Gurag dans la salle du throne et tuez-le ! Faites votre rapport à Gunhild Yngouf à Danethorpe.
quest_objective_1023_1|Gurag slain|Gurag surmattu|Gurag morto| Гураг убит|殺死古拉格|グラグ討伐済み|구라그 처치|Gurag getoetet|Gurag tué
quest_name_1024|Provide your aid||Forneça sua ajuda| Окажите свою помощь|提供援助|援助を提供せよ|당신의 도움이 필요해요||Apportez votre aide
quest_description_1024|Kill monsters in the lands of Danethorpe. Meet Halstein at the Chilling Lake to claim your reward.||Mate monstros nas terras de Danethorpe, encontre-se com Meet Halstein no Lago Gelado para receber sua recompensa.| Убивайте монстров в землях Дэнторпа. Встретьтесь с Хальстейном у Холодного озера, чтобы получить свою награду.|在鄧恩斯洛普的土地上殺死怪物。  在寒冷之湖≤2-2≥找到Halstein，領取你的獎勵|ダネソプの地でモンスターを倒せ。報酬を受け取るためにチリングレイクでハルステインに会おう。|데인소프 지역의 몬스터들을 처치하세요. 얼어붙은 호수에서 할스타인과 만나 보상을 받으세요.||Tuez des monstres dans les environs de Danethorpe. Retrouvez Halstein au lac gelé pour réclamer votre récompense.
quest_objective_1024_1|Frost Goblins slain||Goblins de Gelo derrotados| Убито ледяных гоблинов|擊殺地精|フロストゴブリン討伐済み|프로스트 고블린 처치||Gobelins de givre tués
quest_objective_1024_2|Frost Skeletons slain||Esqueletos de Gelo derrotados| Убито ледяных скелетов|擊殺骷髏|フロストスケルトン討伐済み|프로스트 스켈레톤 처치||Squelettes de givre tués
quest_objective_1024_3|Frost Dragons slain||Dragões de Gelo derrotados| Убиты ледяные драконы|擊殺龍|フロストドラゴン討伐済み|프로스트 드래곤 처치||Dragons de givre tués
quest_objective_1024_4|Ice Elementals slain||Elementais de Gelo derrotados| Убиты ледяные элементали|擊殺冰元素|アイスエレメンタル討伐済み|아이스 엘리멘탈 처치||
quest_name_1025|Icy Enchanters|Jäiset noidat|Encantadores Gelados|Ледяные Чародеи|寒冰詠唱者|氷の魔術師たち|얼어붙은 인챈터|Eiszauberer|Enchanteurs de Glace|Encantadores de Hielo|Lodowi Zaklinacze
quest_description_1025|Interrupt frozen portals in Snowy Mountains and meet me at the entrance of the Glacial Trail!||Interrompa portais congelados em Montanhas Nevadas e encontre-me na entrada da Trilha Glacial!|Прервите замороженные порталы в Снежных горах и встретитесь со мной у входа на Ледниковую тропу!|中斷在雪山≤2-4≥出現的傳送門，  之後在冰川足跡≤2-5≥入口處與我見面！|スノウィマウンテンで凍ったポータルを妨害し、グレイシャルトレイルの入り口で私と会おう！|설산에서 얼어붙은 포탈을 무력화하고, 빙하 흔적 입구에서 나를 만나세요!||Interrompez les portails gelés dans les montagnes enneigées et retrouvez-moi à l'entrée de la piste glaciaire !
quest_objective_1025_1|Portals interrupted|Portaalia estetty|Portais interrompidos| Порталы прерваны|中斷的傳送門|ポータル妨害済み|닫은 포탈|Portalebeschoerung unterbrochen|Portails interrompus
quest_name_1026|Death Itself|Kuolema itse|A Própria Morte| Сама Смерть|死亡本身|死そのもの|죽음 그 자체|Selbst ist der Tod|Mort elle-même
quest_description_1026|Kill Grim Reaper in the Death’s Breach!|Surmaa Viikatemies tasossa II.|Mate o Ceifador na Fenda da Morte| Убейте Мрачного Жнеца в Разломе Смерти!|在死亡之口殺死死神。|デスズ・ブリーチでグリムリーパーを倒せ！|죽음의 틈에서 사신을 처치하세요!|Besiege den Sensenmann in AKT II.|Tuez la Faucheuse sinistre dans la brèche de la Mort !
quest_objective_1026_1|Grim Reaper slain|Viikatemies surmattu|Ceifador morto| Мрачный Жнец убит|殺死死神|グリムリーパー討伐済み|사신 처치|Sensenmann getoetet|Faucheuse sinistre tué
quest_name_1027|Save the Innocent!|Pelasta viattomat!|Salve os inocentes!| Спасите невинных!|拯救無辜者！|罪なき者を救え！|무고한자들을 구하라!|Rette die Unschuldigen!|Sauvez les innocents !
quest_description_1027|Escort prisoners to the Waypoint in the Corrupted Oasis.||| Сопроводите заключенных к контрольной точке в Оскверненном оазисе.|護送囚犯到腐敗的綠洲≤3-1≥的傳送點|コラプテッドオアシスで囚人たちをウェイポイントまで護衛しよう。|포로들을 호위하여 부패한 오아시스의 웨이포인트까지 데려가세요.||
quest_objective_1027_1|Prisoners saved|Vankia pelastettu|Prisioneiros salvos| Заключенные спасены|拯救囚徒|囚人救出済み|포로 구출|Gefangene gerettet|Prisonniers sauvés
quest_name_1028|Purify the sands of Mos’Arathim||Purifique as areais de Mos’Arathim| Очистите пески Мос'Аратима|淨化莫斯阿拉辛的沙土|モ스・アラシムの砂を浄化せよ|모스’아라팀의 모래를 정화하라||Purifiez les sables de Mos'Arathim
quest_description_1028|Slay monsters around the desert and meet me in the second floor of the Pyramid.||Derrote monstros ao redor do deserto e encontre-me no segundo andar da Pirâmide.| Уничтожай монстров по всей пустыне и встреться со мной на втором этаже Пирамиды.|殺死在沙漠周圍的怪物，  之後在金字塔二樓見我|砂漠周辺のモンスターを討伐し、ピラミッドの2階で私と会おう。|사막 지역의 몬스터들을 처치하고, 피라미드 2층에서 나를 만나세요.||Tuez des monstres dans le désert et retrouvez-moi au deuxième étage de la Pyramide.
quest_objective_1028_1|Skeletons slain|Luurankoa surmattu|Esqueletos mortos| Скелеты убиты|消滅的骷髏|スケルトン討伐済み|스켈레톤 처치|Skelette getoetet|Squelettes tués
quest_objective_1028_2|Orcs slain|Örkkiä surmattu|Orcs mortos| Орки убиты|消滅的獸人|オーク討伐済み|오크 처치|Orcs slain|Orques tués
quest_objective_1028_3|Desert Beasts slain|Hiekkapetoja surmattu|Bestas do Deserto mortas| Убиты пустынные звери|消滅的沙漠野獸|デザートビースト討伐済み|데저트 비스트 처치|Wuestentiere getoetet|Bêtes du désert tuées
quest_objective_1028_4|Sand Wasps slain|Hiekka-ampiaista surmattu|Vespas de Areia mortas| Песчаные осы убиты|消滅的沙漠黃蜂|サンドワスプ討伐済み|샌드 와스프 처치|Sandwespen getoetet|Guêpes des sables tuées
quest_objective_1028_5|Mummies slain|Muumiota surmattu|Múmias mortas| Мумии убиты|消滅的木乃伊|ミイラ討伐済み|미라 처치|Mumien toeten|Momies tuées
quest_objective_1028_6|Shadow Anomalies slain|Varjo-olentoa surmattu|Anomalias das Sombras mortas| Аномалии теней уничтожены|消滅的陰影異常|シャドウアノマリー討伐済み|섀도우 아노말리 처치|Shadow Anomalies getoetet|Anomalies de l'ombre tuées
quest_name_1029|Protector of Graves|Hautojen suojelija|Protetor de Sepulturas| Защитник могил|墳墓的保護者|墓を守る者|무덤의 수호자|Beschuetzer des Pharaonengrabes|Protecteur des tombes
quest_description_1029|Kill Anubis in the Tomb of the Fallen King!|Surmaa Anubis tasossa III.|Mate Anúbis na Tumba do Rei Caído!| Убейте Анубиса в Гробнице Падшего Короля!|在墮落之王陵墓殺死阿努比斯。|フォールンキングの墓でアヌビスを倒せ！|쓰러진 왕의 무덤에서 아누비스를 처치하세요!|Toetet Anubis in AKT III.|Tuez Anubis dans la tombe du roi déchu !
quest_objective_1029_1|Anubis slain|Anubis surmattu|Anúbis morto| Анубис убит|殺死阿努比斯|アヌビス討伐済み|아누비스 처치|Anubis getoetet|Anubis tué
quest_name_1030|Dungeon Master|Luolamestari|Mestre da Masmorra| Мастер Подземелий|地下城主|ダンジョンマスター|던전 마스터|Dungeon Master|Maître du donjon
quest_description_1030|Clear the Old Copper Mine nearby the Old Mining Village!||Limpe a Antiga Mina de Cobre perto da Antiga Vila Mineradora| Очистите старый медный рудник рядом со старой шахтерской деревней!|清理舊礦村≤4-1≥附近的舊銅礦井|オールドマイニングヴィレッジ近くのオールドカッパーマインを浄化せよ！|오래된 구리 광산 근처에 있는 구리광산을 정화하세요!||Dégagez l'ancienne mine de cuivre près de l'ancien village minier !
quest_objective_1030_1|Collector of Bones slain||Coletor de Ossos morto| Собиратель костей убит|殺死骨骸收藏家|コレクター・オブ・ボーンズ討伐済み|콜렉터 본 처치||Collectionneur d'os tué
quest_objective_1030_2|Goblins Killed||Goblins derrotados| Гоблины убиты|殺死地精|ゴブリン討伐済み|고블린 처치||
quest_name_1031|Precious Equipment||Equipamento Precisoso| Драгоценное оборудование|貴重設備|貴重な装備|귀중한 장비||
quest_description_1031|Gather mining equipment and purge the undead from Highland Mines, bring the equipment to Thastun in the Corrupted Caves||Reúna equipamentos de mineração e elimine os mortos-vivos das Minas das Terras Altas, leve os equipamentos para Thastun nas Cavernas Corrompidas| Соберите горнодобывающее оборудование и очистите Хайленд Майнс от нежити.|收集採礦設備並清除高地礦場≤4-2≥中的亡靈，  將設備帶給腐化洞穴≤4-3≥中的Thastun|採掘装備を集めてハイランドマインのアンデッドを一掃し、コラプテッドケイブのサストゥンに届けよう。|고지 광산에서 채굴 장비를 수집하고 언데드를 처치한 뒤, 부패한 동굴에 있는 타스툰에게 장비를 가져가세요.||
quest_objective_1031_1|Mining Equipment Retrieved||Equipamentos de Mineração Recuperados| Горнодобывающее оборудование получено|回收的採礦設備|採掘装備回収済み|채굴 장비 횟수 완료||
quest_objective_1031_2|Cave Slimes killed||Gosmas da Caverna mortos| Пещерные слизни убиты|擊殺洞穴史萊姆|ケイブスライム討伐済み|케이브 슬라임 처치||
quest_objective_1031_3|Skull Crawlers killed||Caveiras Rastejantes mortos| Черепа-ползуны убиты|擊殺骷髏爬行者|スカルクローラー討伐済み|스컬 크롤러 처치||
quest_name_1032|Prove Yourself|Näytä taitosi|Prove-se| Докажи Себя|證明自己|自らを証明せよ|자신을 증명하라|Sich selbst beweisen|Faites vos preuves
quest_description_1032|Kill enemies with the Flail.|Surmaa vihollisia varstalla.|Mate inimigos com o Mangual.|Убивайте врагов с помощью цепа.|用任務給予的[連枷]遺物殺死敵人。|フ레イルで敵を倒せ。|플레일로 적을 처치하세요.|Toete Feinde mit dem Dreschflegel.|Tuez des ennemis avec le fléau.
quest_objective_1032_1|Enemies slain|Vihollista surmattu|Inimigos mortos| Враги убиты|殺死的敵人|敵討伐済み|적 처치|Gegner getoetet|Ennemis tués
quest_name_1033|Demon´s Lair||Covil do Demônio| Логово Демона|惡魔的巢穴|悪魔の巣窟|데몬 둥지||
quest_description_1033|Find and kill the Damned Commander and slay his minions.||Encontre e mate o Comandante Maldito e elimine seus lacaios.| Найдите и убейте Проклятого Командира и уничтожьте его приспешников.|找到並殺死被詛咒的指揮官，  以及他的僕從|ダムドコマンダーを見つけて倒し、その配下も全滅させよ。|저주받은 커맨더를 찾아 처치하고 그의 부하들을 처치하세요.||
quest_objective_1033_1|Damned Commander killed||Comandante Maldito morto| Проклятый Командир убит|殺死位於≤4-4≥被詛咒的指揮官|ダムドコマンダー討伐済み|저주받은 커맨더 처치||
quest_objective_1033_2|Enemies slain||Inimigos eliminados| Враги убиты|殺死的敵人|敵討伐済み|적 처치||
quest_name_1034|Damien, Son of Satan|Damien, Saatanan poika|Damien, filho de Satã| Дэмиен|達米安，撒旦之子|ダミアン、サタンの息子|사탄의 아들, 데미언|Damien, Sohn Satans|Damien, fils de Satan
quest_description_1034|Kill Damien in the Altar of Lost Souls!||Mate Damien no Altar das Almas Perdidas| Убейте Дэмиена на Алтаре Потерянных Душ!|在失落靈魂祭壇殺死達米安|ロストソウルズの祭壇でダミアンを倒せ！|잃어버린 영혼의 제단에서 데미언을 처치하세요!||Tuez Damien dans l'autel des âmes perdues !
quest_objective_1034_1|Damien slain|Damien surmattu|Damien morto| Дэмиен убит|殺死達米安|ダミアン討伐済み|데미언 처치|Damien wurde getoetet|Damien tué
|||||||||||
[KARP OF DOOM]|||||||||||
quest_name_1035|Corrupted Statues|Korruptoituneet patsaat|Estátuas Corrompidas| Испорченные статуи|腐敗的雕像|堕落した像|타락한 조각상들|Verderbte Statuen|Statues corrompues
quest_description_1035|Destroy corrupted statues and purge the infestation inside the Underground Gardens located in Misty Swamps.||Destrua as estátuas corrompidas e expurgue a infestação dentro dos Jardins Subterrâneos localizado no Pântano Enevoado| Уничтожьте зараженные статуи и очистите Подземные сады, расположенные в Туманных болотах, от заражения.|摧毀腐敗的雕像，  並清除位於迷霧沼澤≤5-2≥地下花園內的蟲害|ミスティスワンプの地下庭園にある堕落した像を破壊し、侵食を浄化せよ。|안개 낀 늪의 지하 정원에 있는 타락한 조각상들을 파괴하고 내부의 감염을 정화하세요.||
quest_objective_1035_1|Corrupted statues destroyed|Patsasta tuhottu|Estátuas corrompidas destruídas| Поврежденные статуи уничтожены|摧毀腐敗的雕像|堕落した像破壊済み|타락한 조각상 파괴|Verderbte Statuen zerstört|Statues corrompues détruites
quest_objective_1035_2|Garden Colossus slain||Colosso do Jardim derrotado| Садовый Колосс убит|擊殺花園巨像|ガーデンコロッサス討伐済み|가든 콜러서스 처치||
quest_name_1036|Stop the Invasion|Pysäytä tunkeutujat|Pare a Invasão| Остановить вторжение|阻止入侵|侵略を阻止せよ|침략을 막아라|Stoppen Sie die Invasion|Arrêtez l'invasion
quest_description_1036|Bomb the ships at the edge of Fuji Coast!|Pommita veneitä tason V alueen III laidalla.|Bombardeie os Navios nas bordas do Litoral de Fuji| Бомбите корабли на краю побережья Фудзи!|使用任務給予的[海軍炸彈]遺物轟炸富士海岸≤5-3≥邊緣的船隻。|フジ海岸の端で船を爆破せよ！|후지 해안끝자락에 있는 배들을 폭파 시키세요!|Bombardieren Sie die Schiffe am Rande von Act V Zone III.|Bombarde les navires au bord de la côte de Fuji !
quest_objective_1036_1|Ships sunk|Venettä upotettu|Navios afundados| Корабли затоплены|船隻沉沒|船撃沈済み|선박 침몰|Schiffe versenkt|Navires coulés
quest_name_1037|We Feast on Fish|Kalasaalis|Nos Deliciamos com Peixes| Мы пируем рыбой|大口吃魚|我らは魚を食らう|우리는 생선을 먹는다|Wir essen Fisch|Nous nous régalons de poissons
quest_description_1037|Capture fishes with fish trap in the Sea of Karponia and  Temple of Zamjo.|Saalista kalaa kala-ansalla tason V alueella IV tai V.|Capture Peixes com Armadilhas no Mar de Karponia e Templo de Zamjo.| Поймайте рыбу с помощью ловушки в море Карпония и храме Замджо.|在卡普尼亞之海≤5-4≥和山廟≤5-5≥用任務給予的[魚籠]遺物捕獲魚類。|カルポニア海とザムジョ寺院で魚捕り用の罠を使って魚を捕獲せよ。|카르포니아의 바다와 잠조 사원에서 어망으로 물고기를 포획하세요|Fangen Sie Fische mit Fischfalle in Akt V Zone IV oder V.|Capturez des poissons à l'aide d'un piège à poissons dans la mer de Karponia et le temple de Zamjo.
quest_objective_1037_1|Fishes captured|Kalaa|Peixes capturados| Пойманных рыб|捕獲的魚|魚捕獲済み|잡은 물고기|Fische gefangen|Poissons capturés
quest_name_1038|Sushi Time!|Sushi-aika!|Hora do Sushi!| Время суши!|壽司時間！|寿司タイム！|스시 타임!|Sushi-Zeit!|C'est l'heure des sushis !
quest_description_1038|Kill Karp King in the Emperor’s Chamber!||Mate o Rei Carpa na Câmara do Imperador!| Убейте Карпа Кинга в покоях Императора!|在皇帝密室殺死卡普國王|エンペラーズチャンバーでカープキングを倒せ！|황제의 방에서 카프 왕을 처치하세요!||Tuez le roi Carpe dans la chambre de l'empereur !
quest_objective_1038_1|Karp King killed|Karppikuningas surmattu|Rei Carpa morto| Карп Кинг убит|殺死卡普國王|カープキング討伐済み|카프 왕 처치|Karp King getötet|Roi Carpe tué
|||||||||||
[DEPTHS OF HELL]|||||||||||
quest_name_1039|Preparation|Valmistautuminen|Preparação| Подготовка|準備|準備|준비|Vorbereitung|Préparation
quest_description_1039|Collect essence and retrieve Book of Command from the Graveyard!||Colete essência e recupere o Livro do Comando no Cemitério!| Соберите эссенцию и заберите Книгу Заповедей с Кладбища!|收集精華並從墓地取回命令之書！|エッセンスを集め、墓地から指令の書を回収せよ！|에센스를 수집하고 묘지에서 명령서의 책을 회수하세요!||Collecte l'essence et récupère le Livre de commandement dans le cimetière !
quest_objective_1039_1|Book of Command|Komentokirja|Livro do Comando| Книга Заповеди|命令書|指令の書回収済み|명령서의 책|Buch der Beherrschung|Livre de commandement
quest_objective_1039_2|Essence|Esanssia|Essência| Сущность|靈魂精隨|エッセンス取得済み|에센스|Essenz|Essence
quest_name_1040|Shut Down|Sammutus|Desligar| Неисправность|關掉|停止せよ|셧다운|Herunterfahren|Extinction
quest_description_1040|Close demonic portals around the Cathedral.||Feche portais demoníacos ao redor da Catedral.| Закройте демонические порталы вокруг Собора.|使用任務給予的[指揮書]遺物關閉在大教堂≤6-2≥周圍的惡魔傳送門|大聖堂周辺の悪魔のポータルを閉じろ。|대성당 주변의 데모닉 포탈을 닫으세요.||Fermer les portails démoniaques autour de la cathédrale.
quest_objective_1040_1|Portals closed|Portaalia suljettu|Portais fechados| Порталы закрыты|關閉傳送門|ポータル閉鎖済み|포탈 폐쇄|Portale geschlossen|Portails fermés
quest_name_1041|Highway to Hell|Valtatie Helvettiin|Estrada para o Inferno| Дорога в ад|通往地獄的公路|地獄への高速道路|지옥으로가는 고속도로|Autobahn zur Hölle|Autoroute de l'enfer
