[npc]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
dialog_mainGrandPurge_end|Marvellous! Here is your reward!||Maravilhoso! Aqui está sua recompensa!| Чудесно! Вот твоя награда!|非常好!這是你的獎勵！|素晴らしい！これが報酬だ！|멋져요! 보상을 준비했습니다!|Wunderbar! Hier ist deine Belohnung!|Formidable ! Voici votre récompense !|¡Maravilloso! ¡Aquí tienes tu recompensa!|Zgubiłeś swój Pierścień? Cholera, [heroname]. Musisz być ostrożniejszy. Miałem trochę resztek materiałów z poprzedniego rzemiosła, które miałem nadzieję zachować na później, ale chyba mogę ci pomóc. Potrzebujesz nowego [c_aqua]Soulforged Ring[c_reset]?
dialog_mainProtectWilderness|Greetings hero! Our troops are falling short and we are in dire need of reinforcements! Will you join and help us slay the undead and stack our food storages?||Saudações, herói! Nossas tropas estão ficando curtas além do necessário e precisamos urgentemente de reforços! Você se juntaria a nós e nos ajudaria a matar os mortos-vivos e a estocar nossos estoques de alimentos?|Приветствую, герой! Наши войска отстают, и нам крайне необходимо подкрепление! Присоединишься ли ты и поможешь нам уничтожить нежить и заполнить наши продовольственные склады?|你好，英雄！  我們的部隊兵力不足，急需增援！  你會加入並幫助我們殺死死亡靈並增加我們的食物儲藏室嗎？|勇者よ、こんにちは！我が軍は苦戦しており、援軍が必要だ！アンデッドを倒し、食料庫を補充するのを手伝ってくれるか？|영웅이여, 안녕하세요! 우리의 병력이 부족하고, 우리는 심각하게 증원이 필요합니다! 당신이 합류해서 언데드를 처치하고, 우리 식량 창고를 채우는 데 도움을 주실 수 있겠습니까?|Seid gegrüßt, Held! Unsere Truppen sind in der Unterzahl und wir brauchen dringend Verstärkung! Würdest du dich uns anschließen und uns helfen, die Untoten zu vernichten und unsere Vorräte aufzufüllen?|Salut, héros ! Nos troupes sont en sous-effectif et nous avons un besoin urgent de renforts ! Voulez-vous nous rejoindre pour nous aider à massacrer les morts-vivants et à reconstituer nos réserves de nourriture ?|¡Saludos, héroe! ¡Nuestras tropas se están quedando cortas y necesitamos refuerzos con urgencia! ¿Te unirás para ayudarnos a aniquilar a los no muertos y a llenar nuestros almacenes de comida?|Proszę, Örre. Zrób mi kolejny!
dialog_mainProtectWilderness_end|Great work! Here, take these for your trouble!||Ótimo trabalho! Aqui, pegue isto pelo seu trabalho!| Отличная работа! Вот|幹得好！  給你，這是報酬！|よくやった！苦労のしるしにこれを受け取ってくれ！|잘 해냈습니다! 이걸 받으세요, 감사의 표시로 준비했습니다!|Großartige Arbeit! Hier, nimm dies als Dankeschön!|Excellent travail ! Tenez, prenez ceci en récompense !|¡Gran trabajo! ¡Toma, por tus molestias!|Nie teraz. Miłego dnia.
dialog_mainFreeSpirits|Good day hero! The lands of Mos’Arathim have encountered some kind of curse. We would appreciate a helping hand with freeing trapped souls within the deserts.||Bom dia, herói! As terras de Mos'Arathim sofreram algum tipo de maldição. Gostaríamos de receber uma ajuda para libertar as almas presas nos desertos.| Доброго дня, герой! Земли Мос'Аратима столкнулись с каким-то проклятием. Мы были бы признательны за помощь в освобождении запертых в пустынях душ.|你好，英雄！  莫斯阿拉辛的土地遭遇了某種詛咒。  如果能伸出援手，讓沙漠中被困的靈魂重獲自由，我們將不勝感激。 |こんにちは勇者よ！モスアラシムの地に呪いがかかってしまった。砂漠に閉じ込められた魂を解放するのを手伝ってくれたらありがたい。|좋은 하루, 영웅이여! 모스'아라팀의 땅에 어떤 저주가 걸렸습니다. 사막에 갇힌 영혼들을 풀어주는 데 도움을 주시면 감사하겠습니다.|Guten Tag, Held! Die Lande von Mos’Arathim sind von einem Fluch heimgesucht worden. Wir wären dankbar für deine Hilfe, die Seelen in den Wüsten zu befreien.|Bonjour, héros ! Les terres de Mos’Arathim sont frappées par une sorte de malédiction. Nous apprécierions votre aide pour libérer les âmes prisonnières du désert.|¡Buen día, héroe! Las tierras de Mos'Arathim se han topado con algún tipo de maldición. Agradeceríamos una mano para liberar a las almas atrapadas en los desiertos.|No to lecimy, [heroname]!
dialog_mainFreeSpirits_end|Bless you! Here is your reward!||Abençoado seja você! Aqui está sua recompensa!| Благослови тебя! Вот твоя награда!|祝福你！  這是你的獎勵！|祝福あれ！これが報酬だ！|신의 축복을 받으세요! 보상을 준비했습니다!|Gesegnet seist du! Hier ist deine Belohnung!|Que Dieu vous bénisse ! Voici votre récompense !|¡Bendiciones! ¡Aquí tienes tu recompensa!|Dididii... La lal laaaa
dialog_mainTarethiumsEssence|Splendid day hero! I am looking for some tarethium ores. Would you be interested in mining some for me? I will reward you greatly!||Esplêndido dia, herói! Estou procurando alguns minérios de tarethium. Você estaria interessado em minerar alguns para mim? Eu o recompensarei muito!| Чудесный день, герой! Я ищу немного руды таретия. Не хотели бы вы добыть ее для меня? Я щедро вознагражу вас!|輝煌的一天英雄！  我在找一些塔雷西礦石。  你有興趣為我挖一些嗎？  我將重賞你！！|素晴らしい日だ、勇者よ！タレスティウム鉱石を探している。採掘してくれないか？報酬はたっぷり渡そう！|훌륭한 하루, 영웅이여! 저는 타레시움 광석을 찾고 있습니다. 저를 위해 채굴해 주실 생각이 있으신가요? 대단한 보상을 드리겠습니다!|Guten Tag, Held! Ich suche Tarethium-Erz. Hättest du Interesse, welches für mich abzubauen? Ich werde dich großzügig belohnen!|Superbe journée, héros ! Je recherche du minerai de tarethium. Seriez-vous intéressé à en extraire pour moi ? Je vous récompenserai généreusement !|¡Espléndido día, héroe! Busco algunas menas de tarethium. ¿Te interesaría minar algunas para mí? ¡Te recompensaré generosamente!|Świadcz moje umiejętności w BS!
dialog_mainTarethiumsEssence_end|Excellent!! Here is a reward that should make you really happy!||Excelente!!! Aqui está uma recompensa que deve deixá-lo muito feliz!| Отлично!! Вот награда, которая вас действительно обрадует!|太出色了！  這個獎勵應該能讓感到快樂！|すばらしい！これできっと喜んでもらえるはずだ！|훌륭합니다!! 이 보상을 받으세요, 정말 기뻐하실 거예요!|Ausgezeichnet! Hier ist eine Belohnung, die dich sicher freuen wird!|Excellent ! Voici une récompense qui devrait vous ravir !|¡¡Excelente!! ¡Aquí tienes una recompensa que debería hacerte muy feliz!|Örre wysłał cię, żebyś mnie szukał? Jak słodko. Potrzebuję tylko krótkiego odpoczynku i będę gotowy do drogi. Znalazłem stronę, ale zostałem przytłoczony przez te cholernie potwory. Ledwo uciekłem, ale zabrały stronę i jestem pewien, że jest teraz w posiadaniu samego [c_red]Anubisa[c_reset]. Idź po swoją stronę, [heroname]. Nic mi nie będzie.
dialog_mainWarlordsCommand|Greetings hero! Are you ready for the ultimate combat training? ||Saudações, herói! Você está pronto para o treinamento de combate definitivo?| Приветствую тебя, герой! Ты готов к высшей боевой подготовке?|你好英雄！  準備好接受終極格鬥訓練了嗎？|勇者よ、こんにちは！究極の戦闘訓練の準備はできているか？|영웅이여, 안녕하세요! 궁극의 전투 훈련에 준비되셨습니까?|Seid gegrüßt, Held! Bist du bereit für das ultimative Kampftraining?|Salut, héros ! Êtes-vous prêt pour l’entraînement au combat ultime ?|¡Saludos, héroe! ¿Estás listo para el entrenamiento de combate definitivo?|Idź pokonać [c_red]Anubisa[c_reset] i znajdź stronę, nic mi nie będzie.
dialog_mainWarlordsCommand_end|You are a true warrior! Take these!||Você é um verdadeiro guerreiro! Leve isto!| Ты настоящий воин! Возьми это!|你是真正的戰士！  拿著這些！|君は真の戦士だ！これを受け取ってくれ！|당신은 진정한 전사입니다! 이걸 받으세요!|Du bist ein wahrer Krieger! Nimm dies!|Vous êtes un véritable guerrier ! Prenez ceci !|¡Eres un verdadero guerrero! ¡Toma esto!|[c_yellow]Walkirie[c_reset] to te, które prowadzą dusze poległych Bohaterów do jednego z dwóch królestw. Połowa tych, którzy giną w bitwie, jest zabierana do życia pozagrobowego Freyi, [c_lime]Fólkvangr[c_reset]. Druga połowa idzie do sali Bogów zwanej [c_lime]Valhalla[c_reset]. 
dialog_mainPurification|Blessed day stranger! We seek your aid in purifying the lands of unholy forces. Will you accept?||Dia abençoado, forasteiro! Buscamos sua ajuda para purificar as terras de forças profanas. Você aceita?| Благословенного дня, странник! Мы просим твоей помощи в очищении земель от нечестивых сил. Ты примешь?|美好的日子，陌生人！  我們尋求你的幫助，淨化邪惡勢力的土地。  你會接受嗎？|祝福された日だ、見知らぬ人よ！不浄の力に侵された土地の浄化を手伝ってほしい。受けてくれるか？|축복된 하루, 낯선 사람! 우리는 불경스러운 세력들을 정화하는 데 당신의 도움이 필요합니다. 받아들이시겠습니까?|Gesegneten Tag, Fremder! Wir bitten um eure Hilfe, das Land von unheiligen Mächten zu befreien. Seid ihr bereit?|Bonne journée, étranger ! Nous sollicitons votre aide pour purifier ces terres des forces impies. Accepterez-vous ?|¡Bendito día, forastero! Buscamos tu ayuda para purificar las tierras de fuerzas impías. ¿Aceptas?|[c_aqua]Huginn[c_reset], „Myśl”, jest bratem [c_red]Muninna[c_reset]. Jako jeden z kruków Odina podróżuje po świecie, raportując z powrotem do Odina.
dialog_mainPurification_end|God bless you! May these riches bless your day!||Deus os abençoe! Que estas riquezas abençoem seu dia!| Да благословит вас Бог! Пусть эти богатства благословят ваш день!|上帝保佑你！  願這些財富保佑你的一天！ |神の祝福を！これらの富が君の日々を祝福しますように！|신의 축복이 있기를! 이 보물이 당신의 하루를 축복하길 바랍니다!|Gott segne euch! Mögen diese Reichtümer euch den Tag versüßen!|Que Dieu vous bénisse ! Que ces richesses illuminent votre journée !|¡Dios te bendiga! ¡Que estas riquezas bendigan tu día!|[c_aqua]Muninn[c_reset], „Pamięć”, jest bratem [c_red]Huginna[c_reset]. Jako jeden z kruków Odina podróżuje po świecie, raportując z powrotem do Odina.
dialog_mainFixingGlitches|Oh boy... We messed up big time and caused a bunch of glitches. Will you help us?||Ih, rapaz... Fizemos uma grande besteira e causamos várias falhas. Você pode nos ajudar?| Ох, боже... Мы облажались и вызвали кучу глюков. Ты нам поможешь?|哦，天哪…我們搞砸了，造成了一堆小故障。  你能幫助我們嗎？|ああ…大変なことになった。バグが大量発生してしまったんだ。助けてくれないか？|오 마이 갓... 우리가 큰 실수를 저질렀어요, 많은 글리치가 발생했어요. 도와주실 수 있나요?|Oh je … Wir haben es total vermasselt und jede Menge Fehler verursacht. Könnt ihr uns helfen?|Oh là là… On a fait une grosse bêtise et causé plein de bugs. Pourriez-vous nous aider ?|Oh, vaya... La hemos liado a lo grande y hemos causado un montón de fallos. ¿Nos ayudarás?|[c_aqua]Trolle[c_reset] to stworzenia lasu, które żyją pod skałami i w jaskiniach. Są znane z tego, że są dość głupie i bardzo wrogie wobec ludzi.
dialog_mainFixingGlitches_end|Phew... That was close. Here, take this for your journey!||Ufa... Essa foi por pouco. Aqui, pegue isto para sua viagem!| Уф... Это было близко. Вот|呼……真驚險。  給，帶這個去旅行吧！ |ふう…危なかったな。旅のためにこれを持っていけ！|휴... 가까스로 해결했어요. 이걸 여행에 도움되시라고 받으세요!|Puh … Das war knapp. Hier, nehmt das für eure Reise!|Ouf… On l'a échappé belle ! Tenez, prenez ceci pour votre voyage !|Uf... Ha estado cerca. ¡Toma, esto para tu viaje!|[c_aqua]Naga[c_reset] to hybrydy człowieka i węża, które wolą żyć blisko wody lub w wodzie. Zwykle żyją w ukryciu we wschodnich królestwach i nie jest jeszcze znane, jak dotarły do i zinfestowały [c_lime]Valhallę[c_reset]. Wszyscy bohaterowie są proszeni o zabijanie ich na miejscu.
dialog_mainCleansingValhalla|Uh oh... The townsfolk are scared to go out of the town, there are undead everywhere!! Please help us hero!||Uh oh... Os habitantes da cidade estão com medo de sair da cidade, pois há mortos-vivos por toda parte!!! Por favor, ajude-nos, herói!|Ой-ой... Горожане боятся выходить из города.|啊哦…鎮上的人都害怕出城，到處都是不死生物！！  請幫助我們，英雄！|うわっ…町の人たちが外に出るのを怖がっている。アンデッドがあちこちにいるんだ！どうか助けてくれ、勇者よ！|어이구... 마을 사람들이 밖으로 나가기를 두려워하고 있어요, 언데드들이 도처에 있습니다!! 도와주세요, 영웅이여!|Oh je … Die Stadtbewohner haben Angst, die Stadt zu verlassen, überall sind Untote! Bitte helft uns, Held!|Aïe… Les habitants ont peur de sortir de la ville, il y a des morts-vivants partout ! Au secours, héros !|Uh, oh... ¡La gente del pueblo tiene miedo de salir, hay no muertos por todas partes! ¡Por favor, ayúdanos, héroe!|Ostrzeżenie: [c_red]Surtur[c_reset] został uwięziony w tej jaskini. NIE ZBLIŻAJ SIĘ!
dialog_mainCleansingValhalla_end|We are eternally grateful for your help! Please take these as a token of appreciation!||Somos eternamente gratos por sua ajuda! Por favor, aceite isto como um sinal de agradecimento!| Мы бесконечно благодарны за вашу помощь! Пожалуйста, примите это в знак признательности!|我們永遠感激你的幫助！  請把這些當作感謝的象徵！ |君の助けに心から感謝する！感謝の印にこれを受け取ってくれ！|우리는 당신의 도움에 영원히 감사할 것입니다! 이걸 감사의 표시로 받으세요!|Wir sind euch ewig dankbar für eure Hilfe! Bitte nehmt dies als Zeichen unserer Dankbarkeit!|Nous vous sommes éternellement reconnaissants de votre aide ! Veuillez accepter ceci en témoignage de notre gratitude ! |¡Estamos eternamente agradecidos por tu ayuda! Por favor, acepta esto como muestra de agradecimiento.|[c_aqua]Jormungandr, Światowy Wąż[c_reset], zrodzony z psot [c_red]Lokiego[c_reset], rozciąga swoje masywne zwoje wokół królestw, wypełniając oceany i połykając burze. Związany z proroctwem Ragnaroku, jego głód zniszczenia leży zwinięty w głębinach. Gdy się podniesie, bogowie zadrżą, niebiosa pękną, a jego jad przesączy się do świata.
|||||||||||
[Inferno Quest]|||||||||||
dialog_fallOfDarkness|We need to bring an end to the darkness.. We must slay Gabriel and Amun-Ra, the sooner the better.. For all of us..||Precisamos pôr um fim à escuridão... Devemos derrotar Gabriel e Amon-Rá, quanto antes, melhor... Por todos nós...| Нам нужно положить конец тьме. Мы должны убить Гавриила и Амона-Ра.|我們需要結束黑暗…………我們必須殺死加百列和阿蒙拉，越快越好…………為了我們所有人來說……|私たちは闇を終わらせなければならない… ガブリエルとアムン＝ラーを倒すのだ、早ければ早いほど良い… 私たち全員のために… これを成し遂げれば、[shake_letter][c_yellow]インフェルノ[c_reset][shake_reset]が解放されるだろう。|우리는 이 어둠을 끝내야 합니다.. 가브리엘과 아문-라를 처치해야 해요, 그 일이 빨리 이루어질수록 좋습니다.. 모두를 위해서요.. 이를 이루면 [shake_letter][c_yellow]인페르노[c_reset][shake_reset]가 열릴 것입니다.|Wir müssen der Dunkelheit ein Ende setzen. Wir müssen Gabriel und Amun-Ra besiegen, je eher desto besser – für uns alle.|Il nous faut mettre fin aux ténèbres… Nous devons vaincre Gabriel et Amon-Rê, au plus vite… Pour nous tous…|Tenemos que poner fin a la oscuridad... Debemos aniquilar a Gabriel y a Amun-Ra, cuanto antes, mejor... por el bien de todos... Si lo haces, desbloquearás el modo [shake_letter][c_yellow]Infierno[c_reset][shake_reset].|Musimy położyć kres ciemności. Musimy zabić Gabriela i Amona-Ra, im szybciej, tym lepiej. Dla nas wszystkich. 
dialog_fallOfDarkness_end|I bow before you noble hero! We will forever be grateful for what you have done for us all!||Eu me curvo diante de você, nobre herói! Seremos eternamente gratos pelo que você fez por todos nós!| Я преклоняюсь перед тобой, благородный герой! Мы будем вечно благодарны за то, что ты сделал для нас всех!|我向您這位高貴的英雄致敬！我們將永遠感激您為我們所做的一切！ |高貴なる勇者よ、あなたにひれ伏します！あなたがしてくれたことに永遠に感謝します！|당신 앞에서 무릎을 꿇습니다, 고귀한 영웅이여! 우리가 당신에게 진 모든 것에 영원히 감사할 것입니다!|Ich verneige mich vor dir, edler Held! Wir werden dir ewig dankbar sein für das, was du für uns getan hast!|Je m’incline devant vous, noble héros ! Nous vous serons éternellement reconnaissants pour ce que vous avez fait pour nous !|¡Me inclino ante ti, noble héroe! ¡Estaremos eternamente agradecidos por lo que has hecho por todos nosotros!|Kłaniam się przed Tobą, szlachetny bohaterze! Będziemy Ci na zawsze wdzięczni za to, co dla nas wszystkich zrobiłeś! 
dialog_theLightOfDawn|Please.. Help us!! The forces of evil are growing too strong! ||Por favor... Ajude-nos!! As forças do mal estão ficando muito fortes!| Пожалуйста.. Помогите нам!! Силы зла становятся слишком сильны!|請..幫助我們！邪惡的力量正在日益強大！ |どうか…助けてください！！悪の勢力が強くなりすぎています！|제발.. 도와주세요!! 악의 세력이 너무 강해지고 있습니다!|Bitte hilf uns! Die Mächte des Bösen werden immer stärker!|S’il vous plaît… Aidez-nous ! Les forces du mal deviennent trop puissantes !|"¡Por favor... ayúdanos! ¡¡Las fuerzas del mal se están fortalec-""ci"" endo demasiado!"|Proszę... Pomóżcie nam!! Siły zła rosną w siłę! 
dialog_theLightOfDawn_end|Thank you noble warrior.. Take these as a token of our appreciation!||Obrigado, nobre guerreiro... Aceite isto como um símbolo de nossa gratidão! | Спасибо, благородный воин. Прими это в знак нашей признательности!|謝謝您，高貴的戰士……請收下這些以表達我們的謝意！ |感謝します、高貴なる戦士よ… これを感謝の印として受け取ってください！|고귀한 전사여, 감사합니다.. 이걸 감사의 표시로 받으세요!|Danke, edler Krieger! Nimm dies als Zeichen unserer Anerkennung!|Merci, noble guerrier… Acceptez ceci en témoignage de notre reconnaissance ! |Gracias, noble guerrero... ¡Acepta esto como muestra de nuestro aprecio!|Dziękujemy Ci szlachetny wojowniku. Przyjmij to jako dowód naszej wdzięczności! 
|||||||||||
[Halloween Quest]|||||||||||
halloween_event_0|This looks like a good place to hang the skull.||Parece um bom lugar para pendurar o crânio. | Ооооо, какая головная боль... Я больше никогда не выпью столько тыквенного эля. Эй!|這看起來是個掛頭骨的好地方。 |ここは骸骨を掛けるのにちょうどいい場所のようだ。|이곳은 해골을 걸기에 좋은 장소처럼 보입니다.|Das sieht nach einem guten Platz aus, um den Schädel aufzuhängen.|Cela semble être un bon endroit pour accrocher le crâne. |Este parece un buen lugar para colgar la calavera. |Wygląda na dobre miejsce na powieszenie czaszki.
halloween_event_1|Oooooh what a headache... I'm never having that much pumpkin ale again. Hey, where am I? Who are you? I can't feel my legs... I can't feel any of my body parts! But I can feel that friendly maggot in my eye socket. Hey you, my minion! Go fetch rest of... Well, me.|Oooooh mikä päänsärky... En enää koskaan juo kurpitsaolutta. Hei, missä minä olen? Kuka sinä olet? En tunne jalkojani... En tunne mitään ruumiinosaani! Mutta tunnen tämän ystävällisen toukan silmäkuopassani. Hei sinä, kätyrini! Käy hakemassa... loput minusta.|Que dor de cabeça... nunca mais vou tomar tanta cerveja de abóbora. Ei, onde eu estou? Quem é Você? Não sinto minhas pernas... Não sinto nenhuma parte do meu corpo! Mas posso sentir essa larva amigável no meu olho. Ei você, meu servo! Vá buscar o resto de... Bom, eu.|Ооооо, какая головная боль... Я больше никогда не выпью столько тыквенного эля. Эй, где я? Кто ты? Я не чувствую своих ног... Я не чувствую ни одной части своего тела! Но я чувствую эту дружелюбную личинку в своей глазнице. Эй, ты, мой миньон! Иди приведи остальных... Ну, меня.|真是讓人頭痛... 我永遠不會再有那麼多的南瓜啤酒。  嘿， 我在哪裡？ 你是誰？ 我感覺不到我的腿... 我感覺不到我 的任何身體部位！  但我能感覺到我的 眼窩 是友善的蛆。  嘿，你，我的小乖乖！ 去把剩下的拿來給我吧。|どのような頭痛... 私は再びそのくらいの カボチャのエールを持 つことはありませんよ。 ねえ、 私はどこですか？ あなたは誰？ 私は私の足を感じることができない。。。 私は私の体の部分のいずれかを感じることができません！ しかし、 私は私の 眼窩 でその優しいうじ虫を感じることができます。 ねえ、 私の手先！の... まあ、 私残りをフェッチ行きます。|무엇 두통... 나는 다시는 그 많은 호박 에일이없는거야. 이봐, 나는 어디로? 당신은 누구인가? 내 다리에 감각이 없습니다... 나는 내 신체 부위 중 하나를 느낄 수 없습니다! 하지만 내 눈구멍 에서 해당 친화적 인 구더기를 느낄 수 있습니다. 이봐, 내 미니언! 의... 그럼 내가 나머지를 가져 간다.|Was Kopfschmerzen... habe ich nie wieder so viel Kürbis ale. Hey, wo bin ich? Wer bist du? Ich kann meine Beine nicht mehr fühlen... ich keine meiner Körperteile fühlen! Aber ich kann diese freundliche Made in meinem augenhöhle fühlen. Hey du, mein Günstling! Go holen Rest... Nun mich.|Oooooh quel mal de tête... Je ne boirai plus jamais autant de bière à la citrouille. Hé, où suis-je ? Qui es-tu ? Je ne sens plus mes jambes... Je ne sens aucune partie de mon corps ! Mais je peux sentir ce sympathique asticot dans mon orbite. Hé toi, larbin ! Va chercher le reste de... Eh bien, de moi.
halloween_event_2|What took you so long?! Considering how slow you were, you are going to need that backbone much more than I do. BWAHAAHAHHA! No please, don't take it back...|Mikä kesti?! Ottaen huomioon kuinka hidas olet, tulet tarvitsemaan selkärankaa enemmän kuin minä. BWAHAAHAHHA! Se oli vitsi, älä vie sitä takaisin...|Por que demorou tanto?! Considerando o quão lento você foi, você precisará dessa espinha dorsal muito mais do que eu. HAHAHA! Não, por favor, não leve de volta...|Почему ты так долго?! Учитывая, насколько медлительным ты был, тебе этот костяк понадобится гораздо больше, чем мне. БВАХАХАХХА! Нет, пожалуйста, не бери свои слова обратно...|你怎麼花了這麼長時間？  考慮到你的速度有多慢，你會比我更需要這種勇氣。  哇哈哈哈哈哈！不，請不要收回...|なんでそんな遅かったの？！ あなたがどれほど遅かったかを考えると、 あなたは私よりもはるかにそのバック ボーンを必要とするでしょう。 ははは！ いいえ、 取り戻さないでください...|왜 그렇게 늦었 어?! 당신이 얼마나 느리다는 것을 고려할 때, 당신은 내가하는 것보다 훨씬 더 그 골격이 필요할 것입니다. 하하하! 아니, 제발 가져 가지 마|Was hast du so lange gebraucht?! Wenn man bedenkt, wie langsam Sie waren, werden Sie dieses Rückgrat viel mehr brauchen als ich. HAHAHA! Nein bitte, nimm es nicht zurück...|Qu'est-ce qui t'a pris tant de temps ? Vu ta lenteur, tu vas avoir besoin de cette [c_yellow]colonne vertébrale[c_reset] bien plus que moi. BWAHAAHAHHA ! Non, s'il te plaît, ne fais pas demi-tour...
halloween_event_3|Aah, my right hand and my pelvis. Can you name more dynamic duo? Peanut and butter you say? Well I guess you are right... Get back in there, I'm only half a skeleton! Or half-a-ton BWAHAhahaa... Oh nevermind...|Aah, oikea käteni ja lantioni. Pystytkö nimeämään dynaamisemman duon? Maapähkinä ja voi? Noh, olet kait oikeassa... Takaisin töihin, olen vasta puolikas luuranko! Tai puoli-ranko BWAHAhahaa... Äh, unohda koko vitsi...|Aah, minha mão direita e minha pélvis. Você pode nomear uma dupla mais dinâmica? Amendoim e manteiga, você diz? Bem, acho que você está certo... Volte ao trabalho, sou apenas meio esqueleto!|Ааа, моя правая рука и мой таз. Можете ли вы назвать более динамичный дуэт? Арахис с маслом, вы говорите? Что ж, я думаю, вы правы... Возвращайтесь туда, я только наполовину скелет! Или полтонны БВАХАхахаа... О, неважно...|啊啊，我的右手和我的骨盆。  你能說出更有活力的二人組嗎？你說花生和奶油？好吧，我想你是對的...回到那裡，我只是半具骷髏！或半噸 BWAHAHAHAA...哦，沒關係...|右手と骨盤。 よりダイナミックなデュオ を指名できますか？ ピーナッツとバターと言いますか？ ええと、 あなたが正しいと思います... 仕事に戻ってください、 私はスケルトンの半分です！|오른손과 골반. 더 역동적 인 듀오 이름을 지정할 수 있습니까? 땅콩과 버터라고? 글쎄, 네 말이 맞아... 일하러 가라, 나는 단지 반 해골이야!|Meine rechte Hand und mein Becken. Können Sie ein dynamischeres Duo nennen? Erdnuss und Butter, sagst du? Nun, ich denke du hast recht... Mach dich wieder an die Arbeit, ich bin nur ein halbes Skelett!|"Aah, ma [c_yellow]main droite[c_reset] et mon [c_yellow]bassin[c_reset]. Peux-tu nommer un duo plus... dynamique ? Cacahuète et beurre, dis-tu ? Eh bien, je crois que tu as raison... Retourne là-dedans, je ne suis qu'un demi-squelette ! Ou un ""sque"" BWAHAhahaa... Oh, oublie ça..."
halloween_event_4|Finally, I have both of my arms! And since you are such a slacker, I might just lift myself off this pole and run to freedom! Uhm... crawl to freedom. Oh, who am I kidding. Handsome guy like me is nothing with out his beautiful legs!|Vihdoin, minulla on molemmat kädet! Ja, koska sinä olet laiskimus, minä voisin yhtä hyvin nostaa itseni tästä tangosta ja juosta vapauteen! Ööh... ryömiä vapauteen. Äh, ketä minä huijaan? Komea kaveri, kuten minä, ei ole mitään ilman komeita jalkojaan!|Finalmente, eu tenho meus dois braços! E já que você é tão preguiçoso, eu poderia me levantar desse poste e correr para a liberdade! Umm... rastejar para a liberdade. Oh, quem estou engando? Um cara bonito como eu não é nada sem suas lindas pernas!|Наконец-то у меня есть обе руки! И поскольку ты такой бездельник, я мог бы просто оторваться от этого шеста и побежать к свободе! Хм ... ползти к свободе. О, кого я обманываю. Такой красивый парень, как я, ничто без его красивых ног!|我終於擁有雙臂了！既然你這麼懶，那我就從這根桿子上跳下來，奔向自由吧！嗯...爬向自由。哦，我開誰玩笑呢。像我這樣的帥哥，沒有一雙美腿就什麼都不是了！|最後に、私は両腕を持っています！ そして、 あなたはそんなにたるんでいるので、 私はこの棒から自分 を持ち上げて自由に 走るかもしれません！ うーん... 自由に這う。 ああ、 冗談だよ。 私のようなハンサム な男は彼の美脚なし では何もありません！|마침내 나는 두 팔을 가지고있다! 그리고 당신이 너무 느슨하기 때문에, 나는이 기둥에서 벗어나 자신을 자유롭게 달릴 수 있습니다! 음... 자유로 기어가 내가 농담하는 사람 나와 같은 잘 생긴 남자는 그의 아름다운 다리가 아무것도 아닙니다!|Endlich habe ich beide Arme! Und da du so ein Faulpelz bist, könnte ich mich einfach von dieser Stange heben und in die Freiheit rennen! Ähm... krieche in die Freiheit. Oh, wen scherze ich? Ein hübscher Kerl wie ich ist nichts ohne seine schönen Beine!|Enfin, j'ai mes [c_yellow]deux bras[c_reset] ! Et puisque tu es un tel fainéant, je vais peut-être me soulever de ce poteau et courir vers la liberté ! Euh... ramper jusqu'à la liberté. Oh, de qui je me moque. Un beau gaillard comme moi n'est rien sans ses belles jambes !
