|en|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
inc_name_lost_resistances|Lost Resistances||Resistências Perdidas|Потерянные сопротивления|抗性喪失|抵抗力喪失|저항력 상실|Verlorene Resistenzen|Résistances perdues|Resistencias perdidas|Utracone Odporności
inc_name_absolute_weakness|Absolute Weakness||Fraqueza Absoluta|Абсолютная слабость|絕對弱點|絶対的な弱點|절대적 약화|Absolute Schwäche|Faiblesse absolue|Debilidad absoluta|Absolutna Słabość
inc_name_just_dont_get_hit|Just Dont Get Hit||Simplesmente Não Seja Atingido|Просто не получайте ударов|别被擊中就好|攻撃を受けないこと|맞지 않기|Lass dich bloß nicht treffen|Évitez les coups|Simplemente no dejes que te golpeen|Po Prostu Nie Daj Się Trafić
inc_name_power_of_weakness|Power of Weakness||Poder da Fraqueza|Сила слабости|弱點之力|弱點の力|약화의 힘|Macht der Schwäche|Pouvoir de la faiblesse|Poder de la debilidad|Moc Słabości
inc_name_power_of_mitigation|Power of Mitigation||Poder da Mitigação|Сила смягчения|減免之力|軽減の力|데미지 경감의 힘|Kraft der Schadensminderung|Pouvoir d'atténuation|Poder de mitigación|Moc Łagodzenia
inc_name_mana_tank|Mana Tank||Tanque de Mana|Танк маны|法力坦克|マナタンク|마나 탱커|Mana-Tank|Réserve de mana|Tanque de maná|Czołg Many
inc_name_echoing_thorns|Echoing Thorns||Espinhos Ecoantes|Эхо шипов|回響荊棘|反響する棘|메아리치는 가시|Echoende Dornen|Épines résonnantes|Espinas resonantes|Rozbrzmiewające Kolce
inc_name_sharp_thorns|Sharp Thorns||Espinhos Afiados|Острые шипы|尖锐荊棘|鋭い棘|날카로운 가시|Scharfe Dornen|Épines acérées|Espinas afiladas|Ostre Kolce
inc_name_magic_tolerance|Magic Tolerance||Tolerância Mágica|Устойчивость к магии|魔法耐受|魔法耐性|마법 내성|Magische Toleranz|Tolérance magique|Tolerancia mágica|Tolerancja Magiczna
inc_name_physical_tolerance|Physical Tolerance||Tolerância Física|Устойчивость к физическому воздействию|物理耐受|物理寛容|물리 내성|Physische Toleranz|Tolérance physique|Tolerancia física|Tolerancja Fizyczna
inc_name_spiritual_fullfilment|Spiritual Fulfilment||Realização Espiritual|Духовное исполнение|滿足靈魂|精神的な充足|영적 충족|Spirituelle Erfüllung|Épanouissement spirituel|Plenitud espiritual|Duchowe Spełnienie
inc_name_vital_spirituality|Vital Spirituality||Espiritualidade Vital|Жизненно важная духовность|靈性活力|活力に満ちた精神性|활력 넘치는 영성|Lebenskraft|Spiritualité vitale |Espiritualidad vital|Witalna Duchowość
inc_name_delayed_gratification|Delayed Gratification||Gratificação Adiada|Отложенное удовлетворение|延遲滿足|遅延された満足|지연된 만족|Verzögerte Belohnung|Gratification différée|Gratificación postergada|Opóźniona Satysfakcja
inc_name_monsters_rest_in_peace|Monsters Rest in Peace||Monstros Descansam em Paz|Монстры покоятся с миром|怪物安息|モンスターよ、安らかに眠れ|괴물들의 안식|Monster ruhen in Frieden|Les monstres reposent en paix|Que los monstruos descansen en paz|Potwory Spoczywają w Pokoju
inc_name_peace_after_death|Peace After Death||Paz Após a Morte|Мир после Смерть|死亡后的安寧|死後の平和|사후의 평화|Frieden nach dem Tod|Paix après la mort|Paz tras la muerte|Pokój po Śmierci
inc_name_damage_return_bosses|Damage Returned against Bosses||Dano Devolvido contra Chefes|Возвращаемый урон боссам|對首領的傷害反彈|ボスへのダメージ反射|보스에게 되돌려주는 데미지|Schaden wird von Bossen zurückgeworfen|Dégâts infligés aux boss|Daño devuelto contra jefes|Obrażenia Zwrócone wobec Bossów
inc_name_colossus_slayer|Colossus Slayer||Matador de Colossos|Убийца Колоссов|巨像殺手|巨像殺し|거대 사냥꾼|Koloss-Bezwinger|Tueur de colosses|Asesino de colosos|Pogromca Kolosów
inc_name_returned_echo|Returned Echo||Eco Retornado|Возвращаемое эхо|回響反彈|反響する残響|되돌아오는 메아리|Zurückgekehrtes Echo|Écho renvoyé|Eco devuelto|Rozbrzmiewające Echo
inc_name_echoing_till_failure|Echoing Till Failure||Ecoando Até a Falha|Эхо до провала|回響直到失败|失敗まで続く残響|실패할 때까지 메아리치기|Echo bis zum Scheitern|Écho de l'échec|Resonancia hasta el fallo|Echo aż do Porażki
inc_name_suppressive_toughness|Suppressive Toughness||Resistência Supressiva|Подавляющая стойкость|壓抑韌性|抑制的な強靭さ|억압적인 강인함|Unterdrückende Zähigkeit|Résistance au suppresseur|Tenacidad supresora|Tłumiąca Wytrzymałość
inc_name_defensive_fighter|Defensive Fighter||Lutador Defensivo|Защитный боец|防御戰士|防御型ファイター|방어적인 전사|Defensiver Kämpfer|Combattant défensif|Luchador defensivo|Bojownik Obronny
inc_name_from_defense_to_offense|From Defense to Offense||Da Defesa para o Ataque|От защиты к нападению|從防御轉為進攻|防御から攻撃へ|방어에서 공격으로|Vom Angriff zum Verteidigungsmodus|De la défense à l'attaque|De la defensa al ataque|Z Obrony na Ofensywę
inc_name_defensive_battlemage|Defensive Battlemage||Mago de Batalha Defensivo|Защитный боевой маг|防御戰鬥法師|防御型バトルメイジ|방어적인 전투 마법사|Defensiver Kampfmagier|Mage de bataille défensif|Mago de batalla defensivo|Obronny Mag Bitewny
inc_name_from_defense_to_wizard|From Defense to Wizard||Da Defesa para o Mago|От защиты к волшебнику|從防御轉為法師|防御から魔法使いへ |방어에서 마법사로|Vom Verteidigungsmodus zum Zauberer|De la défense à la magie|De la defensa a la magia|Z Obrony na Czarodzieja
inc_name_fire_resistance|Fire Resistance||Resistência ao Fogo|Сопротивление огню|火焰抗性|火炎耐性|불 저항|Feuerresistenz|Résistance au feu|Resistencia al fuego|Odporność na Ogień
inc_name_cold_resistance|Cold Resistance||Resistência ao Frio|Сопротивление холоду|冰冷抗性|冷気耐性|냉기 저항|Kälteresistenz|Résistance au froid|Resistencia al frío|Odporność na Zimno
inc_name_lightning_resistance|Lightning Resistance||Resistência ao Relâmpago|Сопротивление молнии|閃電抗性|雷耐性|번개 저항|Blitzresistenz|Résistance à la foudre|Resistencia al rayo|Odporność na Błyskawice
inc_name_poison_resistance|Poison Resistance||Resistência ao Veneno|Сопротивление яду|毒素抗性|毒耐性|독 저항|Giftresistenz|Résistance au poison|Resistencia al veneno|Odporność na Truciznę
inc_name_arcane_resistance|Arcane Resistance||Resistência Arcana|Сопротивление магии|奥術抗性|秘術耐性|아케인 저항|Arkanresistenz|Résistance aux arcanes|Resistencia arcana|Odporność Arkaniczna
inc_name_vanguard_of_fire|Vanguard of Fire||Vanguarda do Fogo|Авангард огня|火焰先鋒|炎の先鋒|불의 선봉대|Vorhut des Feuers|Avant-garde du feu|Vanguardia del fuego|Awangard Ognia
inc_name_vanguard_of_cold|Vanguard of Cold||Vanguarda do Frio|Авангард холода|冰冷先鋒|冷気の先鋒|냉기의 선봉대|Vorhut der Kälte|Avant-garde du froid|Vanguardia del frío|Awangard Zimna
inc_name_vanguard_of_lightning|Vanguard of Lightning||Vanguarda do Relâmpago|Авангард молнии|閃電先鋒|雷の先鋒|번개의 선봉대|Vorhut des Blitzes|Avant-garde de la foudre|Vanguardia del rayo|Awangard Błyskawic
inc_name_vanguard_of_poison|Vanguard of Poison||Vanguarda do Veneno|Авангард яда|毒素先鋒|毒の先鋒|독의 선봉대|Vorhut des Giftes|Avant-garde du poison|Vanguardia del veneno|Awangard Trucizny
inc_name_vanguard_of_arcane|Vanguard of Arcane||Vanguarda Arcana|Авангард магии|奥術先鋒|秘術の先鋒|아케인의 선봉대|Vorhut der Arkanen Magie|Avant-garde arcanique|Vanguardia arcana|Awangard Arkany
inc_name_light_radius|Light Radius||Raio de Luz|Световой радиус|光照半徑|光の範囲|빛 반경|Lichtradius|Éclair|Radio de luz|Promień Światła
inc_name_light_in_dark|Light In The Dark||Luz na Escuridão|Свет во тьме|黑暗中的光芒|暗闇の中の光|어둠 속의 빛|Licht in der Dunkelheit|Lumière dans les ténèbres|Luz en la oscuridad|Światło w Ciemności
inc_name_powerfunnel|Powerfunnel||Canalização de Poder|Воронка энергии|力量匯聚|パワーファネル|파워펀넬|Krafttrichter|Canalisation de la puissance|Canalización de poder|Lejek Mocy
inc_name_powerfunneled_lifespan|Powerfunneled Lifespan||Poder Canalizado Duração da Vida|Продолжительность жизни, увеличенная за счет воронки энергии|力量匯聚壽命|パワーファネルによる寿命|파워펀넬 수명|Krafttrichter-Lebensdauer|Durée de vie de la puissance canalisée|Duración de vida potenciada|Żywotność Nasączona Lejkiem Mocy
inc_name_deflecting_aegis|Deflecting Aegis||Égide Defletora|Отражающий щит|偏轉神盾|偏向の盾|방어하는 방패|Ablenkende Aegis|Égide déviante|Égida deflectora|Odbijająca Aegida
inc_name_vanguard_of_storm|Vanguard of Storm||Vanguarda da Tempestade|Авангард бури|風暴先锋|嵐の先鋒|폭풍의 선봉대|Vorhut des Sturms|Avant-garde des tempêtes|Vanguardia de la tormenta|Awangard Burzy
inc_name_hurricane_of_bones|Hurricane of Bones||Furacão de Ossos|Ураган костей|白骨颶風|骨のハリケーン|뼈의 허리케인|Hurrikan der Knochen|Ouragan d'os|Huracán de huesos|Huragan Kości
inc_name_shield_skill_damage|Shield Skill Damage||Dano de Habilidade com Escudo|Урон от навыков щита|盾牌技能傷害|シールドスキルダメージ|방패 스킬 데미지|Schildfertigkeitsschaden|Dégâts des compétences de bouclier|Daño de habilidad de escudo|Obrażenia Umiejętności Tarczy
inc_name_commander_of_tarethiel|Commander of Tarethiel||Comandante de Tarethiel|Командир Таретиэля|塔雷希爾指挥官|タレシエルの司令官|타레티엘의 사령관|Kommandant von Tarethiel|Commandant de Tarethiel|Comandante de Tarethiel|Dowódca Tarethiel
inc_name_bulwark_of_tarethiel|Bulwark of Tarethiel||Baluarte de Tarethiel|Защитный щит Таретиэля|塔雷希爾壁壘|タレシエルの防壁|타레티엘의 요새|Bollwerk von Tarethiel|Bastion de Tarethiel|Baluarte de Tarethiel|Ostoja Tarethiel
inc_name_extra_projectile_chance|Extra Projectile Chance||Chance Extra de Projétil|Дополнительный шанс снаряда|額外投射物幾率|追加投射物確率|추가 투사체 확률|Zusätzliche Projektilchchance|Bonus de chance de projectile|Probabilidad de proyectil adicional|Szansa na Dodatkowy Pocisk
inc_name_artillery|Artillery||Artilharia|Артиллерия|砲術|砲撃|포병|Artillerie|Artillerie|Artillería|Artyleria
inc_name_ranger_expertise|Ranger Expertise||Especialização de Patrulheiro|Экспертиза рейнджера|游侠专精|レンジャーの熟練度|레인저 전문성|Waldläufer-Expertise|Spécialisation éclaireur|Especialización de explorador|Ekspertyza Rangera
inc_name_maximum_damage|Maximum Damage||Dano Máximo|Максимальный урон|最大傷害|最大ダメージ|최대 데미지|Maximaler Schaden|Dégâts maximums|Daño máximo|Maksymalne Obrażenia
inc_name_shield_wielders_carnage|Shield Wielder´s Carnage||Carnificina do Portador de Escudo|Резня щитоносца|持盾殺戮|盾使いの殺戮|방패 사용자의 학살|Gemetzel des Schildträgers|Carnage du porteur de bouclier|Carnicería del portador de escudo|Rzeź Posiadacza Tarczy
inc_name_minimum_damage|Minimum Damage||Dano Mínimo|Минимальный урон|最小傷害|最小ダメージ|최소 데미지|Minimaler Schaden|Dégâts minimums|Daño mínimo|Minimalne Obrażenia
inc_name_shield_wielders_baseline|Shield Wielder´s Baseline||Dano Base do Portador de Escudo|Базовый урон щитоносца|持盾基準|盾使いの基本|방패 사용자의 기본 공격력|Grundwert des Schildträgers|Dégâts de base du porteur de bouclier|Base del portador de escudo|Baza Posiadacza Tarczy
inc_name_shield_wielders_vigor|Shield Wielder´s Vigor||Vigor do Portador de Escudo|Щит Сила Владельца|持盾活力|盾使いの活力|방패 사용자의 활력|Vitalität des Schildträgers|Vigueur des dégâts du porteur de bouclier|Vigor del portador de escudo|Wigor Posiadacza Tarczy
inc_name_jewelry|Jewelry||Joias|Ювелирные изделия|珠寶|宝石|장신구|Schmuck|Joyaux|Joyería|Biżuteria
inc_name_black_hole|Black Hole||Buraco Negro|Черная дыра|黑洞|ブラックホール|블랙홀|Schwarzes Loch|Trou noir|Agujero negro|Czarna Dziura
inc_name_all_attributes|All Attributes||Todos os Atributos |Все атрибуты |全屬性|全属性 |모든 능력치|Alle Attribute|Tous les attributs |Todos los atributos|Wszystkie Atrybuty
inc_name_slug_slinger|Slug Slinger||Lançador de Projéteis|Метатель слизней|彈丸射手|スラッグ・スリンガー|점액탄 사수|Schleimschleuderer|Lance-limaces|Lanzador de Balas|Wyrzutca Pocisków
inc_name_ranged_projectile_speed|Ranged Projectile Speed||Velocidade de Projétil à Distância|Скорость полета снаряда на дальнем расстоянии|遠程投射物速度|遠距離投射物速度|원거리 투사체 속도|Geschwindigkeit von Fernkampfgeschossen|Vitesse des projectiles à distance|Velocidad de Proyectiles a Distancia|Szybkość pocisków dystansowych
inc_name_flying_debris|Flying Debris||Destroços Voadores|Летающие обломки|飛散碎片|飛散する破片|날아오는 파편|Fliegende Trümmer|Débris volants|Escombros Voladores|Lecące odłamki
inc_name_melee_projectile_speed|Melee Projectile Speed||Velocidade de Projétil Corpo a Corpo|Скорость снаряда в ближнем бою|近戰投射物速度|近接投射物速度|근접 투사체 속도|Geschwindigkeit von Nahkampfgeschossen|Vitesse des projectiles de mêlée|Velocidad de Proyectiles Cuerpo a Cuerpo|Szybkość pocisków w walce wręcz
inc_name_magic_damage_mitigation|Magic Damage Mitigation||Mitigação de Dano Mágico|Снижение магического урона|減免魔法傷害|魔法ダメージ軽減|마법 데미지 경감|Magieschadensreduzierung|Réduction des dégâts magiques|Mitigación de Daño Mágico|Redukcja obrażeń magicznych
inc_name_anti_magic_shell|Anti-Magic Shell||Escudo Antimagia|Антимагическая оболочка|反魔法護盾|アンチマジック・シェル|안티-매직 보호막|Antimagische Hülle|Bouclier antimagique|Caparazón Antimágico|Powłoka antymagiczna
inc_name_elemental_light_radius|Elemental Light Radius||Raio de Luz Elemental|Радиус элементарного света|元素照亮範圍|エレメンタル・ライトの範囲|원소 빛 반경|Elementarer Lichtradius|Rayon de lumière élémentaire|Radio de Luz Elemental|Promień światła żywiołu
inc_name_light_in_darkness|Light in the Darkness||Luz na Escuridão|Свет во тьме|黑暗微光|暗闇の光|어둠 속의 빛|Licht in der Dunkelheit|Lumière dans les ténèbres|Luz en la Oscuridad|Światło w ciemności
inc_name_lingering_frostbite|Lingering Frostbite||Congelamento Persistente|Затяжное обморожение|持續凍傷|持続する凍傷|지속되는 동상|Anhaltende Erfrierung|Gelure persistante|Escarcha Persistente|Utrzymujące się odmrożenie
inc_name_lingering_shadowburn|Lingering Shadowburn||Queimadura Sombria Persistente|Затяжное ожог тени|持續影灼|持続するシャドウバーン|지속되는 그림자 화상|Anhaltender Schattenbrand|Brûlure d'ombre persistante|Quemadura Umbría Persistente|Utrzymujące się wypalenie cieniem
inc_name_lingering_poison|Lingering Poison||Veneno Persistente|Длительное действие яда|持續中毒|持続する毒|지속되는 독|Anhaltendes Gift|Poison persistant|Veneno Persistente|Utrzymująca się trucizna
inc_name_lingering_burn|Lingering Burning||Queimadura Persistente|Затяжное жжение|持續燃燒|持続する炎上|지속되는 화상|Anhaltendes Brennen|Brûlure persistante|Quemadura Persistente|Utrzymujące się podpalenie
inc_name_lingering_stasis|Lingering Stasis||Estase Persistente|Длительный застой|持續停滯|持続するステイシス|지속되는 정체|Anhaltende Stasis|Stase persistante|Stasis Persistente|Utrzymująca się staza
inc_name_frostbite_duration|Frostbite Duration||Duração do Congelamento|Продолжительность обморожения|凍傷持續時間|凍傷の持続時間|동상 지속시간|Dauer der Erfrierung|Durée de la gelure|Duración de Escarcha|Czas trwania odmrożenia
inc_name_shadowburn_duration|Shadowburn Duration||Duração da Queimadura Sombria|Длительность эффекта «теневого ожога»|影灼持續時間|シャドウバーンの持続時間|그림자 화상 지속시간|Dauer des Schattenbrands|Durée de la brûlure d'ombre|Duración de Quemadura Umbría|Czas trwania wypalenia cieniem
inc_name_poisoned_duration|Poisoned Duration||Duração do Envenenamento|Продолжительность отравления|中毒持續時間|毒状態の持続時間|독 지속시간|Dauer der Vergiftung|Durée de l'empoisonnement|Duración de Envenenamiento|Czas trwania zatrucia
inc_name_burning_duration|Burning Duration||Duração da Queimadura|Продолжительность горения|燃燒持續時間|炎上の持続時間|화상 지속시간|Dauer des Brennens|Durée de la brûlure|Duración de Quemadura|Czas trwania podpalenia
inc_name_stasis_duration|Stasis Duration||Duração da Estase|Продолжительность стазиса|停滯持續時間|ステイシスの持続時間|정체 지속시간|Dauer der Stasis|Durée de la stase|Duración de Stasis|Czas trwania stazy
inc_name_deadeye_marksman|Deadeye Marksman||Atirador de Elite|Меткий стрелок|神射手|デッドアイ・マークスマン|데드아이 명사수|Scharfschütze|Tireur d'élite|Francotirador Certero|Celny Strzelec
inc_name_multishot_chance|Multishot Chance||Chance de Disparo Múltiplo|Шанс на многократный выстрел|多重射擊機率|マルチショット発生率|멀티샷 확률|Mehrfachschuss-Chance|Chance de tir multiple|Probabilidad de Disparo Múltiple|Szansa na wielokrotny strzał
inc_name_bow_multishot_chance|Bow Multishot Chance||Chance de Disparo Múltiplo com Arco|Шанс на многократный выстрел из лука|弓箭多重射擊機率|弓のマルチショット発生率|활 멀티샷 확률|Bogen-Mehrfachschuss-Chance|Chance de tir multiple (arc)|Probabilidad de Disparo Múltiple con Arco|Szansa na wielokrotny strzał z łuku
inc_name_wall_banger|Wallbanger||Atravessador de Paredes|Уоллбангер|撞牆反彈|ウォールバンガー|벽 관통|Wandtreffer|Ricochet mural|Rompeparedes|Przebijacz Ścian
inc_name_leap_skill_damage|Leap Skill Damage||Dano de Habilidade de Salto|Урон от навыка «Прыжок»|跳躍技能傷害|リープスキルのダメージ|도약 스킬 데미지|Schaden durch Sprungfertigkeiten|Dégâts de compétence de saut|Daño de Habilidades de Salto|Obrażenia umiejętności skoku
inc_name_deadly_parkour|Deadly Parkour||Parkour Mortal|Смертоносный паркур|致命跑酷|デッドリー・パルクール|치명적인 파쿠르|Tödlicher Parkour|Parkour mortel|Parkour Mortal|Zabójczy parkour
inc_name_fire_break|Fire Break||Ruptura de Fogo|Противопожарная полоса|火焰破甲|ファイア・ブレイク|불 파괴|Feuer-Durchbruch|Rupture de feu|Ruptura Ígnea|Przełamanie ognia
inc_name_fulminating_flames|Fulminating Flames||Chamas Fulminantes|Взрывающееся пламя|猛烈火焰|爆発する炎|폭발하는 화염|Explosive Flammen|Flammes fulminantes|Llamas Fulminantes|Wybuchowe płomienie
inc_name_piercing_ignition|Piercing Ignition||Ignição Perfurante|Проникающее воспламенение|穿透點燃|貫通する着火|관통하는 점화|Durchdringende Entzündung|Embrasement perçant|Ignición Perforante|Przebijający zapłon
inc_name_heart_of_fire|Heart of Fire||Coração de Fogo|Сердце огня|烈火之心|炎の心臓|불의 심장|Herz des Feuers|Cœur de feu|Corazón de Fuego|Serce ognia
inc_name_poison_break|Poison Break||Ruptura de Veneno|Ядовитый перерыв|劇毒破甲|ポイズン・ブレイク|독 파괴|Gift-Durchbruch|Rupture de poison|Ruptura del Veneno|Przełamanie trucizny
inc_name_corroded_veins|Corroded Veins||Veias Corroídas|Коррозированные вены|腐蝕脈絡|腐食する血管|부식된 혈맥|Korrodierte Adern|Veines corrodées|Venas Corroídas|Skorodowane żyły
inc_name_piercing_toxins|Piercing Toxins||Toxinas Perfurantes|Токсины, проникающие в кожу|穿透毒素|貫通する毒素|관통하는 독소|Durchdringende Toxine|Toxines perçantes|Toxinas Perforantes|Przebijające toksyny
inc_name_vile_pustules|Vile Pustules||Pústulas Vis|Мерзкие гнойнички|邪惡膿疱|邪悪な膿疱|사악한 농포|Bösartige Pusteln|Pustules immondes|Pústulas Viles|Wstrętne krosty
inc_name_arcane_break|Arcane Break||Ruptura Arcana|Тайный Разрыв|秘法破甲|アーケイン・ブレイク|아케인 파괴|Arkaner Durchbruch|Rupture arcanique|Ruptura Arcana|Przełamanie magii tajemnej
inc_name_suffocating_touch|Suffocating Touch||Toque Sufocante|Удушающее прикосновение|窒息之觸|窒息の接触|질식의 손길|Erstickende Berührung|Toucher suffocant|Toque Asfixiante|Duszący dotyk
inc_name_piercing_essence|Piercing Essence||Essência Perfurante|Эссенция для пирсинга|穿透精華|貫通するエッセンス|관통하는 정수|Durchdringende Essenz|Essence perçante|Esencia Perforante|Przebijająca esencja
inc_name_arcana_destruction|Arcana Destruction||Destruição Arcana|Разрушение Арканы|秘法毀滅|魔力の破壊|아르카나 파괴|Arkane Zerstörung|Destruction arcanique|Destrucción Arcana|Destrukcja magii tajemnej
inc_name_lightning_break|Lightning Break||Ruptura de Raio|Молниеносный перерыв|閃電破甲|ライトニング・ブレイク|번개 파괴|Blitz-Durchbruch|Rupture de foudre|Ruptura Eléctrica|Przełamanie błyskawic
inc_name_essence_of_storm|Essence of Storm||Essência da Tempestade|Суть бури|風暴精華|嵐のエッセンス|폭풍의 정수|Essenz des Sturms|Essence de la tempête|Esencia de la Tormenta|Esencja burzy
inc_name_piercing_stasis|Piercing Stasis||Estase Perfurante|Пронзающий стазис|穿透停滯|貫通するステイシス|관통하는 정체|Durchdringende Stasis|Stase perçante|Stasis Perforante|Przebijająca staza
inc_name_storm_turbulence|Storm Turbulence||Turbulência da Tempestade|Штормовая турбулентность|風暴亂流|嵐の乱気流|폭풍의 격동|Sturm-Turbulenz|Turbulences de tempête|Turbulencia de Tormenta|Turbulencje burzy
inc_name_cold_break|Cold Break||Ruptura de Gelo|Холодный перерыв|冰霜破甲|コールド・ブレイク|냉기 파괴|Kälte-Durchbruch|Rupture de froid|Ruptura Gélida|Przełamanie chłodu
inc_name_festering_cold|Festering Cold||Frio Purulento|Гнойная простуда|潰爛寒霜|蝕む冷気|곪아가는 냉기|Schwärende Kälte|Froid purulent|Frío Infeccioso|Raniący chłód
inc_name_piercing_frostburn|Piercing Frostburn||Queimadura de Gelo Perfurante|Пронизывающий обморожение|穿透霜灼|貫通する凍傷の火傷|관통하는 프로스트번|Durchdringender Frostbrand|Brûlure de givre perçante|Escarcha Perforante|Przebijające odmrożenie
inc_name_avalanche_of_boulders|Avalanche of Boulders||Avalanche de Rochas|Лавина валунов|巨石崩落|岩塊の雪崩|바위의 눈사태|Felslawine|Avalanche de rochers|Avalancha de Rocas|Lawina głazów
inc_name_rays_of_magic|Rays of Magic||Raios de Magia |Лучи Магии|魔法光束|魔法の光線 |마법의 광선|Magische Strahlen |Rayons magiques |Rayos de Magia|Promienie magii
|||||||||||
inc_execution|Execution Threshold||Limite de Execução|Порог исполнения|斬殺閾値|処刑発動ライン|처형 기준치|Hinrichtungsschwelle|Seuil d'exécution|Umbral de Ejecución|Próg egzekucji
inc_area_of_effect_momentum|Area of Effect radius per stack||Raio da área de efeito por acúmulo|Радиус зоны действия на каждый стопку|每層效果範圍半徑|スタックごとの効果範囲（半径）|스택당 광역 반경|Radius des Wirkungsbereichs pro Stapel|Rayon de la zone d'effet par cumul|Radio de área de efecto por acumulación|Promień obszaru działania na ładunek
inc_area_of_effect_momentum_stack|Maximum Stacks||Máximo de acúmulos|Максимальное количество стопок|最大層數|最大スタック数|최대 스택|Maximale Stapelanzahl|Cumuls maximums|Acumulaciones Máximas|Maksymalna liczba ładunków
inc_the_ripper|Chance on hit to unleash multiple piercing daggers flying in a cone dealing damage.||Chance ao acertar de disparar múltiplas adagas perfurantes em cone, causando dano.|При попадании появляется шанс выпустить несколько пронзающих кинжалов, летящих конусом и наносящих урон.|擊中時有幾率釋放多把穿透匕首呈扇形飛出並造成傷害。|ヒット時、扇状に貫通する複数の短剣を放ちダメージを与える確率|명중 시 일정 확률로 여러 개의 관통 단검을 원뿔 형태로 발사하여 데미지를 가합니다.|Chance bei Treffer, mehrere durchschlagende Dolche in einem Kegel freizusetzen, die Schaden verursachen.|Chance, à l'impact, de libérer plusieurs dagues perforantes en cône infligeant des dégâts.|Probabilidad al golpear de lanzar múltiples dagas perforantes en forma de cono que infligen daño.|Szansa przy trafieniu na uwolnienie wielu przebijających sztyletów lecących w stożku i zadających obrażenia.
inc_dagger_physical_damage_f|to Physical Damage while wielding a Dagger||Dano Físico ao empunhar uma Adaga|к физическому урону при использовании кинжала|使用匕首時的物理傷害|短剣装備時の物理ダメージ|단검 착용 시 물리 데미지 증가|Physischer Schaden bei Verwendung eines Dolches|Dégâts physiques en maniant une dague|al Daño Físico al empuñar una Daga|do obrażeń fizycznych podczas władania sztyletem
inc_dagger_physical_damage_enhanced|to Enhanced Damage while wielding a Dagger||Dano Aumentado ao empunhar uma Adaga|для увеличения урона при использовании кинжала|使用匕首時的增加傷害|短剣装備時のダメージ強化|단검 착용 시 강화 데미지 증가|Erhöhter Schaden bei Verwendung eines Dolches|Dégâts accrus en maniant une dague|al Daño Mejorado al empuñar una Daga|do zwiększonych obrażeń podczas władania sztyletem
inc_melee_projectile_damage|Increased Melee Projectile Damage||Dano de Projétil Corpo a Corpo Aumentado|Увеличенный урон от снарядов ближнего боя|增加近戰投射物傷害|近接投射物ダメージ増加|근접 투사체 데미지 증가|Erhöhter Schaden durch Nahkampfprojektile|Dégâts accrus des projectiles de mêlée|Daño de Proyectiles Cuerpo a Cuerpo aumentado|Zwiększone obrażenia pocisków w walce wręcz
inc_melee_projectile_critical_damage|Increased Melee Projectile Critical Damage||Dano Crítico de Projétil Corpo a Corpo Aumentado|Увеличен критический урон от снарядов ближнего боя.|增加近戰投射物暴擊傷害|近接投射物クリティカルダメージ増加|근접 투사체 치명타 데미지 증가|Erhöhter kritischer Schaden durch Nahkampfprojektile|Dégâts critiques accrus des projectiles de mêlée|Daño Crítico de Proyectiles Cuerpo a Cuerpo aumentado|Zwiększone obrażenia krytyczne pocisków w walce wręcz
inc_melee_projectile_size|Increased Melee Projectile Size||Tamanho de Projétil Corpo a Corpo Aumentado|Увеличен размер снаряда ближнего боя|增加近戰投射物大小|近接投射物サイズ増加|근접 투사체 크기 증가|Erhöhte Größe von Nahkampfprojektilen|Taille accrue des projectiles de mêlée|Tamaño de Proyectiles Cuerpo a Cuerpo aumentado|Zwiększony rozmiar pocisków w walce wręcz
inc_explosion_skills|to Explosion Skills||para Habilidades de Explosão|к навыкам взрыва|爆炸技能|爆発スキルへの補正|폭발 스킬 증가|Bonus für Explosionsfertigkeiten|Bonus aux compétences d'explosion|a las Habilidades de Explosión|do umiejętności wybuchowych
inc_skill_stacks|to Maximum Skill Stacks||para Acúmulos Máximos da Habilidade|до максимального количества навыков|技能最大層數|スキル最大スタック数への補正|최대 스킬 스택 증가|Bonus für maximale Fertigkeitsstapel|Bonus au nombre maximal de cumuls de compétence|a las Acumulaciones Máximas de Habilidad|do maksymalnej liczby ładunków umiejętności
inc_malicious_veins|of Maximum life dealt as Arcane Damage||de Vida Máxima causado como Dano Arcano|Максимальное количество здоровья, наносимое в виде магического урона|將最大生命值的特定比例轉換為奧術傷害|最大ライフの一定割合を魔力（Arcane）ダメージとして与える|최대 생명력의 일부를 아케인 데미지로 가함|Prozentsatz des maximalen Lebens als Arkanschaden verursacht|Pourcentage de la vie maximale infligé en tant que dégâts arcaniques|de la vida máxima infligido como Daño Arcano|jako obrażenia tajemne (wartość zależna od maksymalnego zdrowia)
inc_reduced_movement_speed|Reduced Movement Speed||Velocidade de Movimento Reduzida|Сниженная скорость передвижения|降低移動速度|移動速度低下|이동 속도 감소|Verringerte Bewegungsgeschwindigkeit|Vitesse de déplacement réduite|Velocidad de Movimiento reducida|Zmniejszona prędkość ruchu
