|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
talent_desc_solarForm|Turn into a living sun and gain additional fire damage. Every time you cast an active ability in solar form you unleash a fiery pulse around you.|Turn into a living sun and gain additional fire damage. Every time you cast an active ability in solar form you unleash a fiery pulse around you.|Transforme-se em um sol vivo e receba Dano de Fogo adicional. Toda vez que você conjurar uma habilidade ativa na Forma Solar, criará um pulso de fogo ao seu redor.| Превратитесь в живое солнце и получите дополнительный урон от огня. Каждый раз, когда вы применяете активную способность в солнечной форме, вы выпускаете огненный импульс вокруг себя.|變成活生生的太陽,並獲得額外的火傷害. 每次你在太陽形態下施放主動技能時,你都會在你周圍產生一個熾熱的脈衝. |生きた太陽に変身し、追加の火属性ダメージを得る。太陽形態でアクティブスキルを使用するたびに、自身の周囲に炎の波動を放つ。|살아있는 태양으로 변하여 추가 불 데미지를 얻습니다. 솔라 폼 상태에서 활성화 스킬을 사용할 때마다 주변에 불꽃 파동을 방출합니다.|Verwandle dich in eine lebende Sonne und verursache zusätzlichen Feuerschaden. Jedes Mal, wenn du in Sonnenform eine aktive Fertigkeit einsetzt, entfesselst du einen Feuerimpuls um dich herum.|Transformez-vous en un soleil vivant et infligez des dégâts de feu supplémentaires. Chaque fois que vous utilisez une capacité active sous Forme Solaire, vous libérez une pulsation de feu autour de vous. |Te conviertes en un sol viviente y obtienes daño de fuego adicional. Cada vez que lanzas una habilidad activa en forma solar liberas un pulso ardiente a tu alrededor.|Zamień się w żywe słońce i zyskaj dodatkowe obrażenia fire. Za każdym razem gdy rzucasz aktywną umiejętność w formie solarnej uwalniasz ognisty puls wokół siebie.
talent_desc_solarBurst|When you kill a monster, summon a burning burst of solar fire beneath the dead monster that deals area of effect fire damage.|When you kill a monster, summon a burning burst of solar fire beneath the dead monster that deals area of effect fire damage.|Quando você mata um inimigo, invoca uma explosão ardente de Fogo Solar sob o inimigo morto, causando Dano de Fogo em área.| Когда убиваешь монстра|當你殺死怪物時,在死去的怪物腳下召喚一股燃燒的太陽火焰,造成範圍火焰傷害. |モンスターを倒すと、その死体の下に燃え盛る太陽の炎を召喚し、範囲内のモンスターに火属性ダメージを与える。|몬스터를 처치하면, 그 자리 아래에 태양 불꽃 폭발을 소환하여 광역 불 데미지를 입힙니다.|Wenn du ein Monster tötest, beschwöre unter dem toten Monster einen brennenden Sonnenfeuerstoß, der Flächenschaden verursacht.|Lorsque vous tuez un monstre, invoquez une explosion de feu solaire sous sa carcasse, infligeant des dégâts de feu de zone.|Al matar a un monstruo, invocas una explosión ardiente de fuego solar debajo del monstruo muerto que inflige daño de fuego en área.|Gdy zabijesz potwora przywołaj płonący wybuch solarnego ognia pod martwym potworem który zadaje obrażenia obszarowe fire.
talent_desc_supernova|Explode into a supernova dealing fire damage on a large radius.|Explode into a supernova dealing fire damage on a large radius.|Exploda em uma supernova, causando Dano de Fogo em uma grande área. | Взорвитесь, превратившись в сверхновую, нанося урон огнем по большому радиусу.|爆炸形成超新星,造成大範圍火焰傷害.|超新星となって爆発し、広範囲に火属性ダメージを与える。|거대한 반경으로 불 데미지를 입히는 슈퍼노바로 폭발합니다.|Explodiere zu einer Supernova und verursache Flächenschaden durch Feuer.|Explosez en supernova, infligeant des dégâts de feu sur un large rayon.|Explota en una supernova infligiendo daño de fuego en un radio grande.|Eksploduj w supernovę zadającą obrażenia fire na dużym promieniu.
talent_desc_collision|Leap forward from your orbit and smash the ground dealing cold damage in an area. Then dash forward on the surface of earth for short period of time and deal cold damage.|Leap forward from your orbit and smash the ground dealing area of effect cold damage. Then dash forward on the surface of earth for short period of time and deal cold damage.|Salte para frente de sua órbita e esmague o chão, causando Dano de Gelo em Área. Em seguida, avance sobre a superfície da Terra por um curto período de tempo e cause Dano de Gelo.| Прыгай вперед с орбиты и разбей землю, нанося урон холодом по области. Затем рывком вперед по поверхности земли на короткое время наноси урон холодом.|從軌道上向前跳躍並重擊地面造成範圍寒冰傷害. 隨後在地表向前衝鋒一小段時間並造成寒冰傷害. |軌道から前方に跳躍し、地面を叩きつけて範囲の氷属性ダメージを与え、その後しばらく地表をダッシュして氷属性ダメージを与える。|궤도에서 앞으로 도약하여 땅을 내려쳐 광역 냉기 데미지를 입힙니다. 그 후 짧은 시간 동안 지면을 따라 대시하며 냉기 데미지를 입힙니다.|Springe aus deiner Umlaufbahn nach vorn und schlage auf den Boden, um Flächenschaden durch Kälte zu verursachen. Sprinte anschließend kurz über die Erdoberfläche und verursache Kälteschaden.|Bondissez votre orbite et frappez le sol, infligeant des dégâts de froid de zone. Foncez ensuite à la surface de la Terre pendant un court instant, infligeant des dégâts de froid.|Salta hacia adelante desde tu órbita y golpea el suelo infligiendo daño de frío en área. Luego te lanzas hacia adelante por la superficie de la tierra durante un breve período e infliges daño de frío.|Skocz do przodu ze swojej orbity i uderz w ziemię zadając obrażenia obszarowe zimna. Następnie szarżuj do przodu po powierzchni ziemi przez krótki czas i zadaj obrażenia zimna.
talent_desc_darkSideofTheMoon|While active, slow monsters around you. Also increases your mana replenish and energy.|While active, slow monsters around you and increase your mana replenish.|Quando ativa, reduz a velocidade dos inimigos ao seu redor e aumenta a Energia e a Recuperação de Mana| Пока активен|啟動時,可以緩速周圍敵人,並增加你的法力回復.|発動中は周囲のモンスターの動きを遅くし、マナ回復を増加させる。|활성화되어 있는 동안 주변 몬스터를 둔화시키고 마나 회복량을 증가시킵니다. |Solange diese Fähigkeit aktiv ist, werden Monster in deiner Nähe verlangsamt und deine Manaregeneration erhöht.|Pendant cet effet, vous ralentissez les monstres autour de vous et augmentez votre régénération de mana.|Mientras está activa, ralentiza a los monstruos a tu alrededor y aumenta tu regeneración de maná.|Gdy aktywna spowalniaj potwory wokół siebie i zwiększaj swój replenish many.
talent_desc_tsunami|Direct your lunar mass to cast a wave of tsunami forward dealing cold damage.|Direct your lunar mass to cast a wave of tsunami forward dealing cold damage.|Direcione sua massa lunar para lançar uma onda de tsunami para frente, causando Dano de Gelo.| Направьте свою лунную массу, чтобы бросить вперед волну цунами, наносящую урон холодом.|引導你的月球質量向前投射一波海嘯,造成冰霜傷害. |月の質量を操り、前方に津波の波を放って氷属性ダメージを与える。|자신의 달 질량을 지휘하여 앞으로 쓰나미 파동을 발사해 냉기 데미지를 입힙니다.|Lenke deine Mondmasse, um eine Tsunamiwelle auszulösen, die Kälteschaden verursacht.|Dirigez votre masse lunaire pour déclencher un tsunami, infligeant des dégâts de froid.|Dirige tu masa lunar para lanzar una ola de tsunami hacia adelante infligiendo daño de frío.|Kieruj swoją księżycową masą aby rzuciła falę tsunami do przodu zadającą obrażenia zimna.
talent_desc_asteroid|Cast down an asteroid from the sky dealing cold damage when landing.|Cast down an asteroid from the sky dealing cold damage when landing.|LanceD um asteroide do céu, causando Gdano de gelo ao atingir o solo. | С неба падает астероид, наносящий при приземлении урон холодом.|召喚一顆小行星撞擊,落地時造成冰霜傷害.. |空から小惑星を落とし、着地時に氷属性ダメージを与える。|하늘에서 소행성을 떨어뜨려 착지 시 냉기 데미지를 입힙니다.|Schleudere einen Asteroiden vom Himmel, der beim Aufprall Kälteschaden verursacht.|Faites s'écraser un astéroïde depuis le ciel, infligeant des dégâts de froid à l'impact. |Hace caer un asteroide desde el cielo que inflige daño de frío al aterrizar.|Rzuć asteroidą z nieba zadającą obrażenia zimna przy lądowaniu.
talent_desc_lunarForm|Turn into a living moon and gain additional cold damage. Every time you jump, cast Collision instead.|Turn into a living moon and gain additional cold damage. Every time you jump, cast Collision instead.|Transforme-se em uma lua viva e receba Dano de Gelo adicional. Toda vez que você pular, conjure Colisão em vez disso.| Превратитесь в живую луну и получите дополнительный урон от холода. Каждый раз, когда вы прыгаете|變成活生生的月亮,獲得額外的冰霜傷害. 每次使用跳躍時,改為施放碰撞. |生きた月に変身し、追加の氷属性ダメージを得る。ジャンプするたびに代わりに「コリジョン」を発動する。|살아있는 달로 변하여 추가 냉기 데미지를 얻습니다. 점프할 때마다 충돌을 발동합니다.|Verwandle dich in einen lebenden Mond und erhalte zusätzlichen Kälteschaden. Wirke stattdessen bei jedem Sprung Kollision.|Transformez-vous en lune vivante et infligez des dégâts de froid supplémentaires. À chaque saut, lancez Collision à la place.|Te conviertes en una luna viviente y obtienes daño de frío adicional. Cada vez que saltas, lanza Colisión en su lugar.|Zamień się w żywy księżyc i zyskaj dodatkowe obrażenia zimna. Za każdym razem gdy skaczesz rzucaj Collision zamiast tego.
talent_desc_lunarOrbit|Unleash small moons in your orbit dealing cold damage on hit. |Unleash small moons in your orbit dealing cold damage on hit. |Libere pequenas luas em sua órbita, causando Dano de Gelo ao atingir o alvo. | Выпускайте на своей орбите небольшие луны, наносящие урон холодом при попадании.|施放環繞你的小型衛星,擊中造成冰霜傷害.|軌道上にある小さな月を解き放ち、命中時に氷属性ダメージを与える。|궤도를 도는 작은 달들을 발사하여 명중 시 냉기 데미지를 입힙니다.|Entfessele kleine Monde in deiner Umlaufbahn, die bei Treffern Kälteschaden verursachen.|Déployez de petites lunes en orbite autour de vous, infligeant des dégâts de froid à l'impact.|Libera pequeñas lunas en tu órbita que infligen daño de frío al impactar. |Uwolnij małe księżyce w swojej orbicie zadające obrażenia zimna przy trafieniu.
talent_desc_bloodMoon|Turn the orbiting moons into blood moons increasing their cold damage and causing them to inflict bleeding on hit.|Turn the orbiting moons into blood moons increasing their cold damage and causing them to inflict bleeding on hit.|Transforme as luas em órbita em Luas de Sangue, aumentando seu Dano de Gelo e fazendo com que causam Sangramento nos inimigos atingidos.| Превратите вращающиеся по орбите луны в кровавые луны, что увеличит их урон от холода и заставит их вызывать кровотечение при попадании.|將月球軌道的小型衛星變成血月,增加其冰霜傷害,並使其對被擊中的敵人造成流血. |軌道上の月をブラッドムーンに変化させ、氷属性ダメージを増加させ、命中時に出血状態を付与する。|궤도를 도는 달들을 블러드 문으로 변환하여 냉기 데미지를 증가시키고, 명중 시 출혈을 일으킵니다.|Verwandle die kreisenden Monde in Blutmonde, wodurch ihr Kälteschaden erhöht wird und sie bei Treffern Blutungen verursachen.|Transformez ces lunes en lunes de sang, augmentant leurs dégâts de froid et infligeant des saignements à l'impact.|Convierte las lunas en órbita en lunas de sangre aumentando su daño de frío y haciendo que inflijan sangrado al impactar.|Zamień orbitujące księżyce w krwawy księżyc zwiększając ich obrażenia zimna i powodując że nakładają krwawienie przy trafieniu.
talent_desc_moonlight|Increases your movement speed and cold damage dealt.|Increases your movement speed and cold damage dealt.|Aumenta a sua Velocidade de Movimento e Dano de Gelo causado.| Увеличивает скорость передвижения и наносимый урон холодом.|增加你的移動速度和所造成的冰霜傷害. |移動速度と与える氷属性ダメージが増加する。|이동 속도와 냉기 데미지를 증가시킵니다.|Erhöht deine Bewegungsgeschwindigkeit und deinen verursachten Kälteschaden.|Augmente votre vitesse de déplacement et les dégâts de froid infligés.|Aumenta tu velocidad de movimiento y daño de frío infligido.|Zwiększa twoją prędkość ruchu i obrażenia zimna zadawane.
talent_desc_blackHole|Cast a black hole on target location that slows and pulls monsters towards it dealing cold damage.|Cast a black hole on target location that slows and pulls monsters towards it dealing cold damage.|Conjura um enorme buraco negro no local-alvo que reduz a velocidade e puxa os inimigos em sua direção.| Создает в указанном месте черную дыру, которая замедляет и притягивает к себе монстров, нанося урон холодом.|在目標位置施放一個巨大的黑洞,減緩敵人的速度並將其拉向區域,造成冰霜傷害. |目標地点にブラックホールを召喚し、モンスターの動きを遅くし引き寄せながら氷属性ダメージを与える。|목표 위치에 블랙홀을 소환하여 몬스터를 끌어당기고 둔화시키며 냉기 데미지를 입힙니다.|Erzeuge ein Schwarzes Loch an einem Zielort, das Monster verlangsamt und zu sich zieht und ihnen Kälteschaden zufügt.|Créez un trou noir à l'emplacement ciblé, ralentissant et attirant les monstres vers lui, leur infligeant des dégâts de froid. |Invoca un agujero negro en la ubicación objetivo que ralentiza y atrae a los monstruos hacia él infligiendo daño de frío.|Rzuć czarną dziurą w miejsce celu która spowalnia i przyciąga potwory do siebie zadając obrażenia zimna.
|||||||||||
talent_name_slicingThrow|Slicing Throw|Slicing Throw|Arremesso Cortante| Режущий бросок|切割投擲|切り裂く投げ|슬라이싱 쓰로우|Schneidender Wurf|Lancer tranchant|Lanzamiento Cortante|Rzut Tnący
talent_name_furiousStrike|Furious Strike|Furious Strike|Ataque Furioso| Яростный Удар|狂怒打擊|激怒の一撃|퓨리어스 스트라이크|Wütender Schlag|Frappe furieuse|Golpe Furioso|Wściekłe Uderzenie
talent_name_holyForm|Holy Form|Holy Form|Forma Sagrada| Священная Форма|神聖形態|聖なる姿|홀리 폼|Heilige Form|Forme sacrée|Forma Sagrada|Forma Święta
talent_name_unholyForm|Unholy Form|Unholy Form|Forma Profana| Нечестивая форма|邪惡形態|不浄な姿|언홀리 폼|Unheilige Form|Forme impie|Forma Impía|Forma Nieświęta
talent_name_sacrilegiousScorn|Sacrilegious Scorn|Sacrilegious Scorn|Escárnio Sacrílego| Кощунственное презрение|褻瀆蔑視|冒涜的な軽蔑|새크릴리저스 스콘|Sakrilegische Verachtung|Mépris sacrilège|Desdén Sacrilegio|Świętokradcze Pogardzenie
talent_name_endingFate|Ending Fate|Ending Fate|Destino Final| Конечная судьба|終結命運|運命の終焉|엔딩 페이트|Endendes Schicksal|Fin du destin|Destino Final|Końcowy Los
talent_name_spiritualDuality|Spiritual Duality|Spiritual Duality|Dualidade Espiritual| Духовная двойственность|雙重人格|霊的二元性|스피릿 듀얼리티|Spirituelle Dualität|Dualité spirituelle|Dualidad Espiritual|Duchowa Dualność
talent_name_awakeningFury|Awakening Fury|Awakening Fury|Despertar da Fúria| Пробуждение Ярости|覺醒之怒|目覚める怒り|어웨이큰 퓨리|Erwachende Wut|Fureur éveillée|Furia Despertada|Przebudzenie Furii
talent_name_insatiableHunger|Insatiable Hunger|Insatiable Hunger|Fome Insaciável| Ненасытный голод|極度饑渴|飽くことのない飢え|인세이셔블 헝거|Unersättlicher Hunger|Faim insatiable|Hambre Insaciable|Nienasycony Głód
talent_name_chainRip|Chain Rip|Chain Rip|Rasgo de Corrente| Цепь разрыва|撕裂鎖鏈|鎖の裂き|체인 립|Kettenriss|Déchirure de chaîne|Arrancada en Cadena|Rozrywanie Łańcuchem
talent_name_brutalizingSlash|Brutalizing Slash|Brutalizing Slash|Corte Brutalizante| Жестокий удар|殘酷斬擊|残忍な斬りつけ|브루털라이징 슬래시|Brutalisierender Hieb|Fente brutale|Corte Brutalizador|Brutalizujące Cięcie
talent_name_fuelToFire|Fuel to Fire|Fuel to Fire|Combustível para o Fogo| Топливо для огня|火上澆油|燃料を燃やす|파이어 퓨얼|Öl ins Feuer|Carburant pour le feu|Combustible para el Fuego|Paliwo do Ognia
talent_name_hungerForBlood|Hunger For Blood|Hunger For Blood|Fome de Sangue| Жажда крови|嗜血如命|血への渇望|블러드 헝거|Hunger nach Blut|Faim de sang|Hambre de Sangre|Głód Krwi
talent_name_butchersHook|Butchers Hook|Butchers Hook|Gancho do Açougueiro| Мясниковый крюк|屠夫鉤|肉屋の鉤爪|부처 훅|Fleischerhaken|Crochet de boucher|Gancho del Carnicero|Hak Rzeźnika
talent_name_chainSwing|Chain Swing|Chain Swing|Balanço de Corrente| Качели на цепи|擺動鎖鏈|鎖の振り回し|체인 윙|Kettenschwung|Balancement de chaîne|Balanceo de Cadena|Zamach Łańcuchem
talent_name_submergedKnives|Submerged Knives|Submerged Knives|Facas Submersas| Погруженные ножи|湮滅之刀|水中ナイフ|섭머지드 나이프|Untergetauchte Messer|Couteaux submergés|Cuchillos Sumergidos|Zanurzone Noże
talent_name_enragedMania|Enraged Mania|Enraged Mania|Mania Enfurecida| Разъяренная мания|憤怒狂熱|激怒した狂気|인레이지 매니아|Wütende Manie|Manie enragée|Manía Enfurecida|Rozwścieczona Mania
talent_name_blender|Blender|Blender|Blender| Блендер|攪拌機|ブレンダー|블렌더|Mixer|Mélangeur|Licuadora|Blender
talent_name_daisysCall|Daisy´s Call|Daisy´s Call|Chamado da Daisy| Звонок Дейзи|呼喚黛西|デイジーの呼び声 |데이지 콜|Daisys Ruf|L'appel de Daisy |Llamada de Daisy|Wezwanie Daisy
|||||||||||
talent_desc_slicingThrow|Throw your weapon like a boomerang returning back to you dealing physical damage to monsters on its path. You can activate Daisy's Call to re-appear where the last thrown slicing throw is at any point in the flight.|Throw your weapon like a boomerang returning back to you dealing physical damage to monsters on its path. You can activate Daisy's Call to re-appear where the last thrown slicing throw is at any point in the flight.|Arremessa sua arma como um bumerangue que retorna para você e causa Dano em Área. Você pode ativar o Chamado da Daisy para reaparecer onde o último Arremesso Cortante lançado estiver em qualquer ponto do voo.| Бросайте свое оружие как бумеранг, возвращаясь к вам, нанося физический урон монстрам на своем пути. Вы можете активировать Daisy's Call, чтобы снова появиться там, где был последний брошенный режущий бросок, в любой точке полета.|把你的武器像回旋鏢一樣扔出, 對路徑上的怪物造成物理傷害. 你可以啟動召喚黛西,在飛行中的任何時刻使用會移動到武器最後的位置. |ブーメランのように武器を投げ、飛んだ経路上のモンスターに物理ダメージを与えます。デイジーズコールを発動すると、最後に投げたスライシングスローの位置に飛行中いつでも瞬間移動できます。|무기를 부메랑처럼 던져 경로상의 몬스터에게 물리 데미지를 주며 돌아옵니다. 날아가는 도중 언제든 데이지 콜을 발동해 마지막으로 던진 슬라이싱 쓰로우의 위치로 순간이동할 수 있습니다.|Wirf deine Waffe wie einen Bumerang, der zu dir zurückkehrt und Monstern auf seinem Weg physischen Schaden zufügt. Du kannst Daisys Ruf aktivieren, um jederzeit während des Fluges an der Stelle des letzten Hiebs wieder zu erscheinen.|Lancez votre arme comme un boomerang ; elle reviendra vers vous, infligeant des dégâts physiques aux monstres sur son passage. Vous pouvez activer l'Appel de Daisy pour réapparaître à l'endroit où s'est arrêté votre dernier lancer tranchant, à n'importe quel moment de sa trajectoire.|Lanza tu arma como un bumerán que regresa a ti infligiendo daño físico a los monstruos en su trayectoria. Puedes activar la Llamada de Daisy para reaparecer donde se encuentra el último Lanzamiento Cortante en cualquier punto de su vuelo.|Rzuć swoją bronią jak bumerangiem wracającą do ciebie zadającą obrażenia fizyczne potworom na swojej drodze. Możesz aktywować Daisy’s Call aby pojawić się ponownie gdzie ostatni rzucony slicing throw jest w dowolnym momencie lotu.
talent_desc_furiousStrike|Perform a powerful area of effect attack dealing physical damage and infecting monsters struck with a stack of rabies. Each stack of rabies increases attack damage dealt to the monster.|Perform a powerful area of effect attack dealing increased damage and infecting monsters struck with a stack of rabies. Each stack of rabies increases attack damage dealt to the monster.|Executa um poderoso ataque em área que causa dano aumentado e infecta os inimigos atingidos com um acúmulo de Raiva. Cada acúmulo de Raiva aumenta o Dano Físico causado no inimigo.| Выполнить мощную атаку по области, наносящую повышенный урон и заражающую монстров, пораженных стаком бешенства. Каждый стак бешенства увеличивает урон, наносимый монстру.|發動一次強大的範圍攻擊，造成物理傷害並使擊中的怪物感染一層狂犬病. 每層狂犬病都會提升對該怪物造成的攻擊傷害. |強力な範囲攻撃を行い、ダメージが増加し、攻撃を受けたモンスターに狂犬病のスタックを付与します。狂犬病のスタック数が増えるほど、モンスターへのダメージが増加します。|강력한 범위 공격을 가해 몬스터에게 데미지를 주고 광견병 중첩을 부여합니다. 중첩된 광견병은 해당 몬스터가 받는 데미지를 증가시킵니다.|Führe einen mächtigen Flächenangriff aus, der erhöhten Schaden verursacht und getroffene Monster mit Tollwut infiziert. Jeder Tollwut-Stapel erhöht den Angriffsschaden gegen das Monster.|Effectuez une puissante attaque de zone infligeant des dégâts accrus et infectant les monstres touchés d'une charge de rage. Chaque charge de rage augmente les dégâts d'attaque infligés au monstre.|Realiza un poderoso ataque en área que inflige daño aumentado e infecta a los monstruos alcanzados con una pila de rabia. Cada pila de rabia aumenta el daño de ataque infligido al monstruo.|Wykonaj potężny atak obszarowy zadający zwiększone obrażenia i zakażający trafione potwory stackiem rabies. Każdy stack rabies zwiększa obrażenia ataku zadawane potworowi.
talent_desc_holyForm|Activate Holy Form gaining increased life replenish and life steal at the cost of damage dealt. Any damage dealt while in this form is decreased.|Activate Holy Form gaining increased life replenish and life steal at the cost of damage dealt. Any damage dealt while in this form is decreased.|Ativa a Forma Sagrada, ganhando maior recuperação e roubo de vida às custas do dano causado. Qualquer dano causado durante essa forma é reduzido.| Активируйте Святую форму, получая повышенное пополнение жизни и кражу жизни за счет нанесенного урона. Любой урон, нанесенный в этой форме, уменьшается.|啟用神聖形態, 增強生命回復和生命偷取, 但以所造成傷害為代價獲得. 在此形態下,所造成的任何傷害都會減少. |ホーリーフォームを発動し、ライフ回復量とライフ吸収量が増加しますが、与えるダメージは減少します。このフォーム中に与えるダメージは減少します。|홀리 폼을 발동하면 생명력 회복과 생명력 흡수가 증가하지만, 가하는 데미지가 감소합니다. 이 상태에서는 모든 데미지가 줄어듭니다.|Aktiviere die Heilige Form, um deine Lebensregeneration und deinen Lebensraub zu erhöhen, jedoch auf Kosten des verursachten Schadens. Jeglicher Schaden, den du in dieser Form verursachst, wird verringert.|Activez la Forme Sacrée : votre régénération de vie et votre vol de vie sont augmentés, au prix d'une réduction des dégâts infligés. Les dégâts infligés sous cette forme sont réduits.|Activa Forma Sagrada obteniendo regeneración de vida y robo de vida aumentados a costa de daño infligido. Cualquier daño infligido mientras estás en esta forma se reduce.|Aktywuj Formę Świętą zyskując zwiększony replenish życia i life steal kosztem zadawanych obrażeń. Jakiekolwiek obrażenia zadawane w tej formie są zmniejszone.
talent_desc_unholyForm|Activate Unholy Form gaining increased damage at the cost inflicting a portion of your max life as damage to your self every time you cast, attack or proc something. Any life replenish when in this form is lowered.|Activate Unholy Form gaining increased damage at the cost inflicting a portion of your max life as damage to your self every time you cast, attack or proc something. Any life replenish when in this form is lowered.|Ativa a Forma Profana, ganhando dano aumentado às custas de infligir uma porção de sua vida máxima como dano a si mesmo toda vez que conjurar, atacar ou procar algo. Qualquer recuperação de vida nesta forma é reduzida.| Активируйте Нечестивую форму, получая увеличенный урон за счет нанесения части вашего максимального здоровья в качестве урона себе каждый раз, когда вы применяете заклинание.|啟動邪惡形態, 每次施放、攻擊或觸發某些物品效果時, 以犧牲部分最大生命值作為代價, 獲得增加的傷害. 在此形態下, 任何生命恢覆效果都會降低. |アンホーリーフォームを発動し、ダメージが増加しますが、攻撃やキャスト、プロックを行うたびに最大ライフの一部が自分にダメージとして入ります。このフォーム中のライフ回復量は減少します。|언홀리 폼을 발동하면 데미지가 증가하지만, 공격, 시전, 발동 시마다 자신의 최대 생명력 일부를 데미지로 받습니다. 이 상태에서는 생명력 회복량이 감소합니다.|Aktiviere die Unheilige Form, um erhöhten Schaden zu verursachen, jedoch jedes Mal, wenn du einen Zauber wirkst, angreifst oder einen Effekt auslöst, einen Teil deiner maximalen Lebenspunkte als Schaden zu erleiden. Jegliche Lebensregeneration in dieser Form wird verringert.|Activez la Forme Impie : vos dégâts sont augmentés, mais vous vous infligez des dégâts équivalents à une partie de vos points de vie maximum à chaque incantation, attaque ou déclenchement d'effet. Votre régénération de vie est réduite sous cette forme.|Activa Forma Impía obteniendo daño aumentado a costa de infligir una porción de tu vida máxima como daño a ti mismo cada vez que lanzas, atacas o activas algo. La regeneración de vida mientras estás en esta forma se reduce.|Aktywuj Formę Nieświętą zyskując zwiększone obrażenia kosztem nakładania części twojego max życia jako obrażeń na siebie za każdym razem gdy rzucasz, atakujesz lub procujesz coś. Jakikolwiek replenish życia w tej formie jest obniżony.
talent_desc_sacrilegiousScorn|While in Holy Form gain increased attack speed and while in Unholy Form gain increased Critical damage.|While in Holy Form gain increased attack speed and while in Unholy Form gain increased Critical damage.|Enquanto estiver na Forma Sagrada, ganha Velocidade de Ataque aumentada e, enquanto estiver na Forma Profana, ganha Dano Crítico aumentado.| В святой форме вы получаете повышенную скорость атаки, а в нечестивой форме — повышенный критический урон.|當處於神聖形態時,增加攻擊速度, 而當處於邪惡形態時,增加暴擊傷害. |ホーリーフォーム中は攻撃速度が増加し、アンホーリーフォーム中はクリティカルダメージが増加します。|홀리 폼 상태에서는 공격 속도가 증가하며, 언홀리 폼 상태에서는 치명타 데미지가 증가합니다.|In der Heiligen Form erhältst du erhöhtes Angriffstempo und in der Unheiligen Form erhöhten kritischen Schaden.|Sous la Forme Sacrée, votre vitesse d'attaque est augmentée ; sous la Forme Impie, vos dégâts critiques sont augmentés.|Mientras estás en Forma Sagrada obtienes velocidad de ataque aumentada y mientras estás en Forma Impía obtienes daño crítico aumentado.|W Formie Świętej zyskaj zwiększoną prędkość ataku a w Formie Nieświętej zyskaj zwiększone obrażenia krytyczne.
talent_desc_endingFate|While in Holy Form gain increased base life regen after killing a monster and while in Unholy Form rip the monster apart after killing a monster causing huge area of effect damage.|While in Holy Form gain increased base life regen after killing a monster and while in Unholy Form rip the monster apart after killing a monster causing huge area of effect damage.|Enquanto estiver na Forma Sagrada, ganha maior regeneração de vida base depois de matar um inimigo e, enquanto estiver na Forma Profana, despedaça o inimigo depois de matá-lo, causando um enorme dano em área.| Находясь в Святой форме, вы получаете повышенную базовую регенерацию здоровья после убийства монстра, а находясь в Нечестивой форме, разрываете монстра на части после убийства, нанося огромный урон по области действия.|在神聖形態下,殺死敵人後獲得更高的基礎生命回覆, 而在邪惡形態下,殺死敵人後會撕裂敵人,造成巨大的範圍傷害. |ホーリーフォーム中にモンスターを倒すと、基礎ライフ回復量が増加し、アンホーリーフォーム中にモンスターを倒すと大規模な範囲ダメージを与えてモンスターを引き裂きます。|홀리 폼 상태에서는 몬스터 처치 시 기본 생명력 재생이 증가하고, 언홀리 폼 상태에서는 몬스터를 찢어 강력한 범위 데미지를 일으킵니다.|In Heiliger Gestalt regenerierst du nach dem Töten eines Monsters mehr Lebenspunkte. In Unheiliger Gestalt zerreißt du das Monster nach dem Töten und verursachst so massiven Flächenschaden.|Sous la Forme Sacrée, votre régénération de vie de base est augmentée après avoir tué un monstre ; sous la Forme Impie, vous déchiquetez le monstre après l'avoir tué, infligeant d'importants dégâts de zone.|Mientras estás en Forma Sagrada obtienes regeneración de vida base aumentada tras matar a un monstruo y mientras estás en Forma Impía despedazas al monstruo tras matarlo causando enorme daño en área.|W Formie Świętej zwiększ twoje life Per Hit a w Formie Nieświętej zwiększ twoje obrażenia ataku.
talent_desc_spiritualDuality|While in Holy Form increases your life Per Hit and while in Unholy Form increases your attack damage.|While in Holy Form increases your life Per Hit and while in Unholy Form increases your attack damage.|Na Forma Sagrada, aumenta seu Roubo de Vida. Na Forma Profana, aumenta seu Dano de Ataque.| В святой форме вы увеличиваете здоровье за удар, а в нечестивой форме увеличиваете урон от атак.|在神聖形態下,每次攻擊都會增加你的生命值, 而在邪惡形態下,會增加你的攻擊傷害. |ホーリーフォーム中は1ヒットあたりのライフ回復が増加し、アンホーリーフォーム中は攻撃ダメージが増加します。|홀리 폼 상태에서는 타격 시 회복되는 생명력이 증가하며, 언홀리 폼 상태에서는 공격 데미지가 증가합니다.|In Heiliger Gestalt erhöht sich dein Leben pro Treffer, in Unheiliger Gestalt dein Angriffsschaden.|Sous forme sacrée, vos points de vie par coup augmentent, et sous forme impie, vos dégâts d'attaque augmentent. |Mientras estás en Forma Sagrada aumenta tu vida por golpe y mientras estás en Forma Impía aumenta tu daño de ataque.|Przy trafieniu zyskaj szansę na zwiększenie twoich obrażeń ataku na krótki czas.
