[Item Stats]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
tal_per_point_mana|Per Point of Mana|Per Point of Mana|Por Ponto de Mana|За каждое очко маны|每點魔力|マナ1ポイントあたり|마나 포인트당|Pro Manapunkt|Par point de mana|Por Punto de Maná|Na punkt many
tal_ring_effect|Ring Effectiveness increased by|Renkaan tehokkuus parani|Efetividade do Anel Aumentada|Эффективность кольца повышена|戒指效果增加|リング効果急速起動の確率が|반지 효과 증가|Ring-Effektivität erhöht um|Efficacité de l'anneau augmentée de|Efectividad de Anillo aumentada un|Skuteczność pierścienia zwiększona o
tal_activation_time|Chance for Rapid Activation|Mahdollisuus nopeaan aktivointiin |Chance de Ativação Rápida|Шанс быстрой активации|快速啟動機率|増加 |빠른 활성화를 위한 기회|Chance auf schnelle Aktivierung|Chances d'activation rapide |Probabilidad de Activación Rápida|Szansa na szybką aktywację
tal_per_mana|Maximum Mana divided by|Suurin mana jaettuna |Mana Máxima Dividida por|Максимальная мана делится на|最大魔力除以|最大マナを |최대 마나를 나눈 값|Maximales Mana geteilt durch|Mana maximum divisé par |Maná Máximo dividido por|Maksymalna mana podzielona przez
tal_accuracy|Accuracy|Tarkkuus|Precisão|Точность|精準度|正確さ |정확도|Genauigkeit|Précision |Precisión|Celność
tal_life_conversion|Life Converted to Damage|Elämä muutettu vahingoksi|Vida Convertida em Dano|Жизнь превращается в урон|生命轉為傷害|ライフをダメージに変換 |생명력이 데미지로 전환됨|Leben in Schaden umgewandelt|La vie transformée en dégâts |Vida Convertida en Daño|Życie konwertowane na obrażenia
tal_stats|Stats|Tilastot|Atributos|Характеристики|屬性|ステータス|스탯|Statistiken|Statistiques|Atributos|Statystyki
tal_extra_loot|Extra Loot Amount|Ylimääräinen saalismäärä|Quantidade Extra de Saque|Дополнительное количество добычи|額外戰利品數量|追加戦利品数|추가 전리품 양|Zusätzliche Beutemenge|Butin supplémentaire|Cantidad de Botín Adicional|Dodatkowa ilość łupu
tal_weapon_restrictions|Weapon Restrictions Reduced by|Aserajoituksia alennettu|Restrições de Arma Reduzidas|Ограничения оружия снижены|武器限制減少|武器制限の減少|무기 제안 감소|Waffenbeschränkungen reduziert um|Restrictions d'armes réduites de|Restricciones de Arma Reducidas un|Ograniczenia broni zmniejszone o
tal_ripple_damage|Ripple Damage|Aaltoiluvaurio|Dano de Ondulação|Урон от ряби|波紋傷害|波及ダメージ|잔물결 피해|Wellenschaden|Dégâts d'entraînement|Daño de Onda|Obrażenia Ripple
tal_burning_max_life|Burning based on max life|Polttaminen perustuu maksimikäyttöikään|Queimadura Baseada na Vida Máxima|Горение на основе максимальной жизни|基於最大生命的燃燒|最大ライフに基づく燃焼|최대 생명력에 따라 화상|Brennen basierend auf maximalem Leben|Brûlures basées sur la vie maximale|Quemadura basada en la vida máxima|Palenie na podstawie maksymalnego życia
tal_consequent_critical_chance|Consequent Critical Chance|Seurauksena oleva kriittinen mahdollisuus|Chance de Crítico Consecutivo|Шанс последовательных критических ударов|連續暴擊機率|クリティカル発生率|결과적인 치명타 확률|Konsequente kritische Trefferchance|Chances de critique conséquentes|Probabilidad de Crítico Consecutivo|Kolejna szansa na krytyczne
tal_explosion_delay|Explosion Delay Reduced by|Räjähdysviivettä vähennetty |Atraso da Explosão Reduzido|Задержка взрыва снижена|減少的爆炸延遲|爆発遅延の減少 |폭발 지연 시간 감소 |Explosionsverzögerung reduziert um|Délai d'explosion réduit de |Retraso de Explosión reducido un|Opóźnienie wybuchu zmniejszone o
tal_maximum_critical_damage|Maximum Critical Damage||Dano Crítico Máximo|Максимальный урон от критического удара|最大暴擊傷害|最大クリティカルダメージ|최대 크리티컬 데미지|Maximaler kritischer Schaden|Dégâts critiques maximum|Daño crítico máximo|Maksymalne obrażenia krytyczne
tal_jagged_damage|Jagged Gauntlet Damage||Dano da Manopla Serrilhada|Урон от зазубренной перчатки|鋸齒手套傷害|ギザギザガントレットのダメージ|재기드 건틀렛 데미지|Schaden des gezackten Handschuhs|Dégâts du gantelet dentelé|Daño del guantelete dentado|Obrażenia Jagged Gauntlet
tal_rolls|Additional Rolls||Rolagens Adicionais|Дополнительные броски|額外骰擲次數|追加ロール|추가 굴림|Zusätzliche Würfe|Lancements supplémentaires|Tiradas adicionales|Dodatkowe rzuty
tal_drop_rate|Drop Rate Increased by||Taxa de Queda Aumentada|Шанс выпадения повышен|掉落率增加|ドロップ率増加|드랍률 증가|Droprate erhöht um|Taux de chute augmenté de |Tasa de caída aumentada en |Szansa na drop zwiększona o
tal_spirits_presence|Spirit´s Presence Buff||Buff da Presença do Espírito|Бафф присутствия духа|靈魂存在增益|精霊の存在感バフ|정령의 존재 버프|Buff „Geistpräsenz“|Bonus de présence spirituelle|Mejora de Presencia Espiritual|Buff Obecności Ducha
tal_overcap_mspeed_attack_damage|Added as Attack Damage||Adicionado como Dano de Ataque|Добавляется как урон от атаки|轉為攻擊傷害|攻撃ダメージとして追加|공격 피해로 추가|Zusätzlicher Angriffsschaden|Ajouté aux dégâts d'attaque|Añadido como daño de ataque|Dodane jako obrażenia ataku
tal_overcap_mspeed_skill_damage|Added as Magic Skill Damage||Adicionado como Dano de Habilidades Mágicas|Добавляется как урон от магических навыков|轉為魔法技能傷害|魔法スキルダメージとして追加|마법 스킬 피해로 추가|Zusätzlicher Magieschaden|Ajouté aux dégâts de compétence magique|Añadido como daño de habilidad mágica|Dodane jako obrażenia umiejętności magicznych
tal_damage_return_emmitted|Damage Return Emmitted||Devolução de Dano Emitida|Возврат урона испускается|發射傷害反彈|ダメージリターン発生|피해 반격|Zurückgeworferner Schaden verteilt|Dégâts renvoyés|Daño de retorno emitido|Zwrot obrażeń emitowany
tal_buff_duration_increased|Buff Duration Increased by||Duração do Buff Aumentada|Длительность баффа повышена|增益持續時間增加|バフ持続時間増加|버프 지속 시간 증가|Buff-Dauer erhöht um|Durée du bonus augmentée de|Duración de la mejora aumentada|Czas trwania buffa zwiększony o
tal_debuff_duration_decreased|Debuff Duration decreased by||Duração do Debuff Reduzida|Длительность дебаффа снижена|減益持續時間減少|デバフ持続時間減少|디버프 지속 시간 감소|Debuff-Dauer verringert um|Durée du malus réduite de|Duración de la desventaja disminuida|Czas trwania debuffa zmniejszony o
tal_deadly_blow|Chance to deal a Deadly Blow||Chance de Causar um Golpe Mortal|Шанс нанести смертельный удар|造成致命一擊機率|致命的な一撃を与える確率|치명타 확률 증가|Chance auf einen tödlichen Schlag|Chance d'infliger un coup fatal|Probabilidad de asestar un golpe mortal|Szansa na zadanie śmiertelnego ciosu
tal_deadly_blow_effectiveness|Deadly Blow Effectiveness||Efetividade do Golpe Mortal|Эффективность смертельного удара|致命一擊效果|致命的な一撃の効果|치명타 효과 증가|Effektivität des tödlichen Schlags|Efficacité du coup fatal|Efectividad del golpe mortal|Skuteczność śmiertelnego ciosu
tal_rage_stack|Maximum Rage stacks||Máximo de Acúmulos de Fúria|Максимум зарядов ярости|最大怒氣層數|怒りスタック最大数|최대 분노 중첩 수|Maximale Wutstapel|Nombre maximal de cumuls de rage|Máximo de acumulaciones de Furia|Maksymalna liczba stacków wściekłości
tal_jump_ignore_terrain|Terrain Ignored||Terreno Ignorado|Игнорирование ландшафта|無視地形|地形無視|지형 무시|Gelände ignoriert|Terrain ignoré|Terreno ignorado|Ignorowanie terenu
tal_ailment_damage|Ailment damage increased by||Dano de Efeitos Negativos Aumentado|Урон от негативных эффектов повышен|異常狀態傷害增加|状態異常ダメージ増加|상태 이상 피해 증가|Leidensschaden erhöht um|Dégâts des altérations d'état augmentés de|Daño de dolencia aumentado|Obrażenia dolegliwości zwiększone o
tal_max_pillars|Maximum Pillars||Máximo de Pilares|Максимум столбов|最大柱子數量|柱最大数|최대 기둥 수|Maximale Anzahl Säulen|Nombre maximal de piliers|Máximo de pilares|Maksymalna liczba filarów
tal_wooden_airplanes|Wooden Airplanes||Aviões de Madeira|Деревянные самолёты|木製飛機|木製飛行機|목조 비행기|Holzflugzeuge|Avions en bois|Aviones de madera|Drewniane samoloty
tal_motorcycle_riders|Motorcycle Riders||Pilotos de Motocicleta|Водители мотоциклов|摩托車騎士|オートバイライダー |오토바이 운전자 |Motorradfahrer|Motards |Motociclistas |Motocykliści
tal_gathering_storm_damage|Gathering Storm damage||Dano de Gathering Storm|Урон от собирающейся бури|聚集風暴傷害|ギャザリング・ストームのダメージ|개더링 스톰 데미지|Schaden durch „Aufziehender Sturm“|Dégâts de Tempête montante|Daño de Tormenta Inminente|Obrażenia od Gathering Storm
tal_nova_arrows|Nova Arrows||Flechas Nova|Нова Эрроуз|新星之箭|ノヴァ・アロー|노바 화살|Nova-Pfeile|Flèches Nova|Nova de Flechas|Strzały Nova
tal_multishot_projectiles|Multishot Projectiles||Projéteis de Multishot |Мультивыстрел|多重射擊投射物|マルチショットの投射物 |멀티샷 투사체|Mehrfachschuss-Projektile |Projectiles de Tir multiple |Proyectiles de Multidisparo|Pociski z Multishota
|||||||||||
[Buff Tooltips]|||||||||||
buff_heat|Heat||Calor|Жара|熱量|ヒート|열|Hitze|Chaleur |Calor |Ciepło
buff_attack_damage|Attack Damage Increased by|Attack Damage lisääntynyt|Dano de Ataque Aumentado|Урон от атаки повышен|攻擊傷害增加|攻撃ダメージ増加|공격력 증가|Angriffsschaden erhöht um|Dégâts d'attaque augmentés de |Daño de Ataque aumentado un|Obrażenia ataku zwiększone o
buff_attack_speed|Attack Speed Increased by|Hyökkäysnopeus lisääntynyt|Velocidade de Ataque Aumentada|Скорость атаки повышена|攻擊速度增加|攻撃速度増加|공격 속도 증가|Angriffsgeschwindigkeit erhöht um|Vitesse d'attaque augmentée de |Velocidad de Ataque aumentada un|Szybkość ataku zwiększona o
buff_attack_rating|Attack Rating Increased by|Hyökkäysluokitus nousi|Precisão de Ataque Aumentada|Точность атаки повышена|攻擊命中率增加|攻撃レーティング増加|명중률 증가|Angriffswertung erhöht um|Niveau d'attaque augmenté de |Puntería aumentada en|Celność ataku zwiększona o
buff_movement_speed|Movement Speed Increased by|Liikenopeus lisääntynyt|Velocidade de Movimento Aumentada|Скорость передвижения повышена|移動速度增加|移動速度増加|이동 속도 증가|Bewegungsgeschwindigkeit erhöht um|Vitesse de marche/course augmentée de |Velocidad de Movimento aumentada un|Prędkość ruchu zwiększona o
buff_movement_speed_reduced|Movement Speed Decreased by|Liikenopeus vähentynyt|Velocidade de Movimento Reduzida|Скорость передвижения снижена|移動速度降低|移動速度減少|이동 속도 감소|Bewegungsgeschwindigkeit verringert um|||Prędkość ruchu zmniejszona o
buff_defense|Defense Increased by|Puolustus lisääntynyt|Defesa Aumentada|Защиta повышена|防禦增加|防御増加|방어구 증가|Verteidigung erhöht um|Défense augmentée de |Defensa aumentada un|Obrona zwiększona o
buff_life|Life Increased by|Elinikä lisääntynyt|Vida Aumentada|Жизнь повышена|生命增加|ライフ増加|생명력 증가|Leben erhöht um|Vie augmentée de |Vida aumentada en|Życie zwiększone o
buff_mana|Mana Increased by|Mana lisääntynyt|Mana Aumentada|Мана повышена|魔力增加|マナ増加|마나 증가|Mana erhöht um|Mana augmenté de |Maná aumentado en|Mana zwiększona o
buff_life_steal|Life Steal per hit|Life Steal per osuma|Roubo de Vida por Acerto|Кража жизни за удар|每次擊中生命偷取|ヒットごとのライフスティール|타격당 생명력 흡수|Lebensraub pro Treffer|Vol de vie par coup |Robo de Vida por golpe|Kradzież życia na uderzenie
buff_mana_steal|Mana Steal per hit|Mana Steal per osuma|Roubo de Mana por Acerto|Кража маны за удар|每次擊中魔力偷取|ヒットごとのマナスティール|타격당 마나 흡수|Manaraub pro Treffer|Vol de mana par coup |Robo de Maná por golpe|Kradzież many na uderzenie
buff_life_replenish|Life Replenish by|Life Replenish by|Recuperação de Vida|Восстановление жизни|生命回復|ライフ補充|생명력 회복|Lebensregeneration um|Régénération de vie de |Regeneración de Vida aumentada en|Odnawianie życia o
buff_mana_replenish|Mana Replenish by|Mana Replenish by|Recuperação de Mana|Восстановление маны|魔力回復|マナ補充|마나 회복|Manaregeneration um|Régénération de mana de |Regeneración de Maná aumentada en|Odnawianie many o
buff_magic_damage_reduction|Magic Damage taken reduced by|Magic Damage vähennetty|Dano Mágico Recebido Reduzido|Снижение магического урона|魔法傷害減免|受ける魔法ダメージ減少|받는 마법 데미지 감소|Erlittener Magieschaden reduziert um|Dégâts magiques subis réduits de |Daño Mágico recibido reducido un|Otrzymane obrażenia magiczne zmniejszone o
buff_physical_damage_reduction|Physical Damage taken reduced by|Fyysiset vahingot vähennetty|Dano Físico Recebido Reduzido|Снижение физического урона|物理傷害減免|受ける物理ダメージ減少|받는 물리 데미지 감소|Erlittener physischer Schaden reduziert um|Les dégâts physiques subis sont réduits par |El daño físico sufrido se reduce por |Otrzymane obrażenia fizyczne zmniejszone o
buff_damage_reduction|Damage taken reduced by|Korvattu vahinko vähennetty|Dano Recebido Reduzido|Снижение урона|傷害減免|受けるダメージ減少|받는 데미지 감소|Erlittener Schaden reduziert um|Dégâts subis réduits de |Daño recibido reducido un|Otrzymane obrażenia zmniejszone o
buff_damage_taken_mana|Damage taken converted into mana|Vahinko muutettu manaksi|Dano Recebido Convertido em Mana|Полученный урон превращается в ману|承受的傷害轉為魔力|受けるダメージをマナに変換|받는 데미지가 마나로 전환|Erlittener Schaden in Mana umgewandelt|Dégâts subis sont convertis en mana |El daño recibido se convierte en Maná|Otrzymane obrażenia przekonwertowane na manę
buff_cast_rate|Cast Rate Increased by|Cast Rate lisääntynyt|Taxa de Conjuração Aumentada|Скорость чтения заклинаний повышена|施法速度增加|キャスト率増加|시전 속도 증가|Zauberrate erhöht um|Vitesse des sorts augmentée de |Velocidad de Lanzamiento aumentada un|Szybkość rzucania zwiększona o
buff_immortality|Immortality|Kuolemattomuus|Imortalidade|Бессмертие|不朽|不死|불멸|Unsterblichkeit|Invulnérable|Inmortalidad|Nieśmiertelność
buff_freeze|Freeze Duration|Jäädytyksen kesto|Duração da Congelamento|Длительность заморозки|冰凍持續時間|凍結持続時間|동결 지속 시간|Einfrierdauer|Durée du gel |Duración de Congelación|Czas zamrożenia
buff_slow|Slow Duration|Hidas kesto |Duração do Lentidão|Длительность замедления|緩速持續時間|スロウ持続時間|슬로우 지속 시간|Verlangsamungsdauer|Durée de ralentissement |Duración de Ralentización|Czas spowolnienia
buff_dodge|Dodge Increased by|Dodge lisääntynyt|Esquiva Aumentada|Уклонение повышено|閃避增加|回避増加|회피 증가|Ausweichen erhöht um|Esquiver et augmenter de |Esquivar Incrementado en |Unik zwiększony o
buff_stun|Stun Duration|Tainnutuksen kesto|Duração do Atordoamento|Длительность оглушения|暈眩持續時間|スタン持続時間|기절 지속 시간|Betäubungsdauer|Durée de l'étourdissement |Duración de Aturdimiento|Czas ogłuszenia
buff_damage_return|Damage Returned to attacker|Vahinko palautettu hyökkääjälle|Dano Devolvido ao Atacante|Урон возвращается атакующему|反彈傷害給攻擊者|攻撃者へのダメージ返還|공격자에게 반환되는 데미지|An Angreifer zurückgegebener Schaden|Dégâts renvoyés à l'attaquant |Daño devuelto al atacante|Obrażenia zwrócone atakującemu
buff_strength|Strength Increased by|Vahvuus lisääntynyt|Força Aumentada|Сила повышена|力量增加|筋力増加|힘 증가|Stärke erhöht um|Force augmentée de |Fuerza aumentada en|Siła zwiększona o
buff_dexterity|Dexterity Increased by|Kätevyys lisääntynyt|Destreza Aumentada|Ловкость повышена|敏捷增加|器用さ増加|민첩성 증가|Geschicklichkeit erhöht um|Dextérité augmentée de |Destreza aumentada en|Zręczność zwiększona o
buff_energy|Energy Increased by|Energiaa lisätty|Energia Aumentada|Энергия повышена|能量增加|エネルギー増加|에너지 증가|Energie erhöht um|Énergie augmentée de |Energía aumentada en|Energia zwiększona o
buff_armor|Armor Increased by|Panssari lisätty|Armadura Aumentada|Броня повышена|護甲增加|アーマー増加|방어력 증가|Rüstung erhöht um|Armure augmentée de |Armadura aumentada en|Pancerz zwiększony o
buff_vitality|Vitality Increased by|Elinvoimaisuus lisääntynyt|Vitalidade Aumentada|Живучесть повышена|體力增加|バイタリティ増加|활력 증가|Vitalität erhöht um|Vitalité augmentée de |Vitalidad aumentada en|Witalność zwiększona o
buff_experience_gain|Experience Gained Increased by|Saatu kokemus lisääntynyt|Ganho de Experiência Aumentado|Получение опыта повышено|經驗值獲得增加|獲得経験値増加|경험치 획득 증가|Erworbene Erfahrung erhöht um|Expérience gagnée augmentée de |Experiencia ganada aumentada un|Zdobywanie doświadczenia zwiększone o
buff_magic_find|Magic Find Increased by|Magic Find lisääntynyt|Chance de Itens Mágicos Aumentada|Магическая находка повышена|物品稀有度增加|魔法発見増加|마법 아이템 발견 확률 증가|Magie Fund erhöht um|Découverte d'objets magiques augmentée de |Hallazgo Mágico aumentado un|Szansa na magiczne przedmioty zwiększona o
buff_extra_gold|Extra Gold from kills|Ylimääräistä kultaa tappoista|Ouro Extra de Mortes|Дополнительное золото с убийств|擊殺獲得額外金幣|キルによる追加ゴールド|킬로 얻는 추가 골드|Zusätzliches Gold durch Kills|Or supplémentaire grâce aux éliminations |Oro extra por eliminaciones |Dodatkowe złoto z zabójstw
buff_all_skills|All Skills Increased by|Kaikki taidot lisääntyneet|Todas as Habilidades Aumentadas|Все навыки повышены|所有技能增加|全スキル増加|모든 스킬 증가|Alle Fertigkeiten erhöht um|Toutes les compétences augmentées de |Todas las Habilidades aumentadas en|Wszystkie umiejętności zwiększone o
buff_additive_physical_damage|Physical Damage Increased by|Fyysiset vauriot lisääntyneet|Dano Físico Aumentado|Физический урон повышен|物理傷害增加|物理ダメージ増加|물리 데미지 증가|Physischer Schaden erhöht um|Dégâts physiques augmentés de |Daño Físico aumentado un|Obrażenia fizyczne zwiększone o
buff_physical_damage|Physical Damage dealt|Fyysinen vahinko käsitelty|Dano Físico Causado|Наносимый физический урон|造成物理傷害|物理ダメージ与える|주는 물리 데미지|Verursachter physischer Schaden|Dégâts physiques infligés |Daño Físico infligido|Zadane obrażenia fizyczne
buff_skill_damage|Magic Skill Damage Increased by|Magic Skill Damage lisääntynyt|Dano de Habilidades Mágicas Aumentado|Урон от магических навыков повышен|魔法技能傷害增加|魔法スキルダメージが増加|마법 스킬 데미지 증가|Magiefertigkeit Schaden erhöht um|Dégâts des compétences augmentés de |Daño de Habilidad Mágica aumentado un|Obrażenia umiejętności magicznych zwiększone o
buff_additive_fire_damage|Additive Fire Damage Increased by|Lisäaine palovahinko lisääntynyt|Dano de Fogo Adicional Aumentado|Дополнительный урон от огня повышен|附加火焰傷害增加|追加火炎ダメージが増加|추가 불 데미지 증가|Additiver Feuerschaden erhöht um|Dégâts de feu augmentés de |Daño de Fuego aumentado un|Addytywne obrażenia ogniste zwiększone o
buff_fire_damage|Fire Damage dealt|Palovahingot käsitelty|Dano de Fogo Causado|Наносимый урон от огня|造成火焰傷害|与える火炎ダメージ|주는 불 데미지|Verursachter Feuerschaden|Dégâts de feu infligés |Daño de Fuego infligido|Zadane obrażenia ogniste
buff_fire_skill_damage|Fire Skill Damage Increased by|Palon taitojen vauriot lisääntyneet|Dano de Habilidades de Fogo Aumentado|Урон от навыков огня повышен|火焰技能傷害增加|火炎スキルダメージが増加|불 스킬 데미지 증가|Erhöhter Feuerfertigkeitsschaden um|Dégâts des compétences de feu augmentés de |Daño de Habilidad de Fuego aumentado un|Obrażenia umiejętności ognistych zwiększone o
buff_additive_cold_damage|Additive Cold Damage Increased by|Lisäaine Kylmävaurio lisääntynyt|Dano de Gelo Adicional Aumentado|Дополнительный урон от холода повышен|附加冰霜傷害增加|追加冷気ダメージが増加|추가 냉기 데미지 증가|Additiver Kälteschaden erhöht um|Dégâts de froid augmentés de |Daño de Frío aumentado un|Addytywne obrażenia lodowe zwiększone o
buff_cold_damage|Cold Damage dealt|Cold Damage jaettu|Dano de Gelo Causado|Наносимый урон от холода|造成冰霜傷害|与える冷気ダメージ|주는 냉기 데미지|Verursachter Kälteschaden|Dégâts de froid infligés |Daño de Frío infligido|Zadane obrażenia lodowe
buff_cold_skill_damage|Cold Skill Damage Increased by|Kylmätaitojen vauriot lisääntyneet|Dano de Habilidades de Gelo Aumentado|Урон от навыков холода повышен|冰霜技能傷害增加|冷気スキルダメージが増加|냉기 스킬 데미지 증가|Erhöhter Kältefertigkeitsschaden um|Dégâts des compétences de froid augmentés de |Daño de Habilidad de Frío aumentado un|Obrażenia umiejętności lodowych zwiększone o
buff_additive_lightning_damage|Additive Lightning Damage Increased by|Salaman lisävahinko lisääntynyt|Dano de Relâmpago Adicional Aumentado|Дополнительный урон от молнии повышен|附加閃電傷害增加|追加雷ダメージが増加|추가 번개 데미지 증가|Additiver Blitzschaden erhöht um|Dégâts de foudre augmentés de |Daño de Rayo aumentado un|Addytywne obrażenia błyskawic zwiększone o
buff_lightning_damage|Lightning Damage dealt|Salamavaurio käsitelty|Dano de Relâmpago Causado|Наносимый урон от молнии|造成閃電傷害|与える雷ダメージ|주는 번개 데미지|Verursachter Blitzschaden|Dégâts de foudre infligés |Daño de Rayo infligido|Zadane obrażenia błyskawic
buff_lightning_skill_damage|Lightning Skill Damage Increased by|Salaman taidon vauriot lisääntyneet|Dano de Habilidades de Relâmpago Aumentado|Урон от навыков молнии повышен|閃電技能傷害增加|雷スキルダメージが増加|번개 스킬 데미지 증가|Erhöhter Blitzfertigkeitsschaden um|Dégâts des compétences de foudre augmentés de |Daño de Habilidad de Rayo aumentado un|Obrażenia umiejętności błyskawic zwiększone o
buff_additive_poison_damage|Additive Poison Damage Increased by|Lisäainemyrkytysvaurio lisääntynyt |Dano de Veneno Adicional Aumentado|Дополнительный урон от яда повышен|附加毒素傷害增加|追加毒ダメージが増加|추가 독 데미지 증가|Additiver Giftschaden erhöht um|Dégâts de poison augmentés de |Daño de Veneno aumentado un|Addytywne obrażenia trujące zwiększone o
buff_poison_damage|Poison Damage dealt|Myrkky vahinko käsitelty|Dano de Veneno Causado|Наносимый урон от яда|造成毒素傷害|与える毒ダメージ|주는 독 데미지|Verursachter Giftschaden|Dégâts de poison infligés |Daño de Veneno infligido|Zadane obrażenia trujące
buff_poisoned_damage|Poisoned Damage dealt|Myrkytetty vahinko käsitelty|Dano de Veneno Causado|Наносимый урон от отравления|造成中毒傷害|与える毒ダメージ|가한 독 데미지|Verursachter Vergiftungsschaden|Dégâts empoisonnés infligés |Daño envenenado infligido |Zadane obrażenia zatrucia
buff_poison_skill_damage|Poison Skill Damage Increased by|Poison Skill Damage lisääntynyt|Dano de Habilidades de Veneno Aumentado|Урон от навыков яда повышен|毒素技能傷害增加|毒スキルダメージが増加|독 스킬 데미지 증가|Erhöhter Giftfertigkeitsschaden um|Dégâts des compétences de poison augmentés de |Daño de Habilidad de Veneno aumentado un|Obrażenia umiejętności trujących zwiększone o
buff_additive_magic_damage|Additive Arcane Damage Increased by|Additive Arcane Damage lisääntynyt|Dano Arcano Adicional Aumentado|Дополнительный тайный урон повышен|附加奧術傷害增加|追加秘術ダメージが増加|추가 아케인 데미지 증가|Additiver Arkanschaden erhöht um|Dégâts d'arcane augmentés de |Daño Arcano aumentado un|Addytywne obrażenia arkaniczne zwiększone o
buff_magic_damage|Arcane Damage dealt|Arcane Damage jaettu|Dano Arcano Causado|Наносимый тайный урон|造成奧術傷害|与える秘術ダメージ|주는 아케인 데미지|Verursachter Arkanschaden|Dégâts d'arcane infligés |Daño Arcano infligido|Zadane obrażenia arkaniczne
buff_magic_skill_damage|Arcane Skill Damage Increased by|Arcane Skill Damage lisääntynyt|Dano de Habilidades Arcanas Aumentado|Урон от тайных навыков повышен|奧術技能傷害增加|秘術スキルダメージが増加|아케인 스킬 데미지 증가|Erhöhter Arkanfertigkeitsschaden um|Dégâts des compétences d'arcane augmentés de |Daño de Habilidad Arcana aumentado un|Obrażenia umiejętności arkanicznych zwiększone o
buff_fire_resistance|Fire Resistance Increased by|Palonkestävyys lisääntynyt|Resistência a Fogo Aumentada|Сопротивление огню повышено|火焰抗性增加|火耐性が増加|불 저항력 증가|Erhöhter Feuerresistenz um|Résistance au feu augmentée de |Resistencia al Fuego aumentada en|Odporność na ogień zwiększona o
buff_cold_resistance|Cold Resistance Increased by|Kylmäkestävyys lisääntynyt|Resistência a Gelo Aumentada|Сопротивление холоду повышено|冰冷抗性增加|冷気耐性が増加|냉기 저항력 증가|Erhöhter Kälteresistenz um|Résistance au froid augmentée de |Resistencia al Frío aumentada en|Odporność na zimno zwiększona o
buff_lightning_resistance|Lightning Resistance Increased by|Salamankestävyys lisääntynyt|Resistência a Relâmpago Aumentada|Сопротивление молнии повышено|閃電抗性增加|雷耐性が増加|번개 저항력 증가|Erhöhter Blitzresistenz um|Résistance à la foudre augmentée de |Resistencia al Rayo aumentada en|Odporność na błyskawice zwiększona o
buff_poison_resistance|Poison Resistance Increased by|Myrkkynkestävyys lisääntynyt|Resistência a Veneno Aumentada|Сопротивление яду повышено|毒素抗性增加|毒耐性が増加|독 저항력 증가|Erhöhter Giftresistenz um|Résistance au poison augmentée de |Resistencia al Veneno aumentada en|Odporność na truciznę zwiększona o
buff_magic_resistance|Arcane Resistance Increased by|Arkaaninen vastustuskyky lisääntynyt|Resistência Arcana Aumentada|Сопротивление тайной магии повышено|秘術抗性增加|秘術耐性が増加|아케인 저항력 증가|Erhöhter Arkanresistenz um|Résistance à l'arcane augmentée de |Resistencia Arcana aumentada en|Odporność arkaniczna zwiększona o
buff_all_resistances|All Resistances Increased by|Kaikki vastukset lisääntyneet|Todas as Resistências Aumentadas|Все сопротивления повышены|所有抗性增加|すべての耐性が増加|모든 저항력 증가|Erhöhter Alle Widerstände um|Toutes les résistances augmentées de |Todas las Resistencias aumentadas en|Wszystkie odporności zwiększone o
buff_all_resistances_reduced|All Resistances Decreased by|Kaikki vastukset vähentyneet|Todas as Resistências Reduzidas|Все сопротивления снижены|所有抗性降低|すべての耐性が減少|모든 저항력 감소|Erhöhter Alle Widerstände um|Toutes les résistances diminuées par |Todas las resistencias disminuyeron por |Wszystkie odporności zmniejszone o
buff_multicast|Cast times increased by|Näyttelyajat kasvoivat|Quantidade de Conjurações Aumentada|Количество применений заклинаний повышено|施法次數增加|キャスト時間が増加|시전 시간 증가|Erhöhter Zauberzeiten um|Nombre de sort lancé augmenté de |Lanzamientos Múltiples|Czas rzucania zwiększony o
buff_bleed_damage|Bleeding damage |Verenvuotovaurio |Dano de Sangramento|Урон от кровотечения|流血傷害|出血ダメージ |출혈 데미지 |Blutungsschaden|Dégâts de saignement|Daño de Sangrado|Obrażenia krwawienia
buff_homing_projectiles|Homing Projectiles|Kohdistusammukset|Projéteis Teleguiados|Самонаводящиеся снаряды|追蹤投射物|ホーミング弾|추적 투사체|Zielsuchende Projektile|Projectiles à tête chercheuse|Proyectiles Teledirigidos|Pociski samonaprowadzające
buff_arcane_break|Arcane Break|Arkaaninen tauko|Quebra Arcana|Пробитие тайной магией|奧術破壞|アーケイン ブレイク|아케인 브레이크|Arkaner Bruch|Arcane Break|Ruptura Arcana|Przebicie arkaniczne
buff_phasing|Phasing|Vaiheittainen|Fase|Фазовый сдвиг|相位狀態|フェーズ|위상|Geisterschritt|Phasing|Fase|Fazowanie
buff_critical_damage|Critical Strike Damage Increased by|Kriittinen iskuvahinko lisääntynyt|Dano de Acerto Crítico Aumentado|Урон от критического удара повышен|暴擊傷害提高|クリティカル ストライク ダメージが増加|치명타 데미지 증가|Kritischer Trefferschaden erhöht um|Dégâts de coup critique augmentés de|Daño de Golpe Crítico aumentado un|Obrażenia trafienia krytycznego zwiększone o
